round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 02/08/2013,15:30,RWDM Brüssel,Lommel United,?,Stijn Vreven,1000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353034
2,sex 09/08/2013,15:30,Lommel United,KVC Westerlo,?,Stijn Vreven,2500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352736
3,sáb 31/08/2013,14:00,Boussu Dour,Lommel United,?,Stijn Vreven,600,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352746
4,qua 04/09/2013,15:30,White Star,Lommel United,?,Stijn Vreven,400,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352827
5,sáb 07/09/2013,15:00,Lommel United,KSV Roeselare,?,Stijn Vreven,1000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352817
6,qua 11/09/2013,15:30,Lommel United,Dessel Sport,?,Stijn Vreven,1500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352847
7,dom 15/09/2013,10:00,Antuérpia,Lommel United,?,Stijn Vreven,7800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352798
8,sáb 21/09/2013,15:00,Lommel United,Eendracht Aalst,?,Stijn Vreven,1500,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352807
9,sáb 28/09/2013,15:00,KSK Heist,Lommel United,?,Stijn Vreven,900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352791
10,dom 06/10/2013,10:00,Lommel United,ASV Geel,?,Stijn Vreven,2000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352803
11,sáb 12/10/2013,15:00,Royal Mouscron,Lommel United,?,Stijn Vreven,1500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352766
12,sex 18/10/2013,15:30,Lommel United,KAS Eupen,?,Stijn Vreven,1000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352789
13,sáb 26/10/2013,16:00,AFC Tubize,Lommel United,?,Stijn Vreven,300,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352764
14,sáb 02/11/2013,17:00,Lommel United,Hoogstraten VV,?,Stijn Vreven,1700,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352785
15,sáb 09/11/2013,17:00,Lommel United,CS Visé,?,Stijn Vreven,1200,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352868
16,sáb 16/11/2013,17:00,RE Virton,Lommel United,?,Stijn Vreven,1050,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352856
17,dom 24/11/2013,12:00,Lommel United,St.Truiden,?,Stijn Vreven,4000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352859
18,sáb 30/11/2013,17:00,Lommel United,RWDM Brüssel,?,Stijn Vreven,1800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352901
19,dom 08/12/2013,12:00,KVC Westerlo,Lommel United,?,Stijn Vreven,3500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352905
20,sáb 14/12/2013,17:00,Lommel United,Boussu Dour,?,Stijn Vreven,1150,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352895
21,sex 20/12/2013,17:30,KSV Roeselare,Lommel United,?,Stijn Vreven,1500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352907
22,dom 19/01/2014,12:00,Lommel United,White Star,?,Stijn Vreven,1200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352920
23,dom 26/01/2014,12:00,Dessel Sport,Lommel United,?,Stijn Vreven,1000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352949
24,sex 31/01/2014,17:30,Lommel United,Antuérpia,?,Stijn Vreven,3000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352935
25,dom 09/02/2014,12:00,Eendracht Aalst,Lommel United,?,Stijn Vreven,2500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352945
26,sáb 15/02/2014,17:00,Lommel United,KSK Heist,?,Stijn Vreven,1000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352992
27,sáb 01/03/2014,16:00,ASV Geel,Lommel United,?,Stijn Vreven,3000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353000
28,sáb 08/03/2014,16:00,Lommel United,Royal Mouscron,?,Stijn Vreven,2000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352981
29,sáb 15/03/2014,16:00,KAS Eupen,Lommel United,?,Stijn Vreven,1300,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352972
30,sex 28/03/2014,16:30,Lommel United,AFC Tubize,?,Stijn Vreven,1500,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352963
31,sáb 05/04/2014,15:00,Hoogstraten VV,Lommel United,?,Stijn Vreven,550,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352959
32,dom 13/04/2014,10:00,CS Visé,Lommel United,?,Stijn Vreven,350,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353017
33,dom 20/04/2014,10:00,Lommel United,RE Virton,?,Stijn Vreven,1100,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353007
34,dom 27/04/2014,10:00,St.Truiden,Lommel United,?,Stijn Vreven,6000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352997
