round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 04/08/2013,10:00,White Star,ASV Geel,?,Abdou Karim Ba,1000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2355521
2,sáb 10/08/2013,15:00,Royal Mouscron,White Star,?,Abdou Karim Ba,1300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352738
3,dom 01/09/2013,13:00,White Star,KAS Eupen,?,Abdou Karim Ba,300,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352740
4,qua 04/09/2013,15:30,White Star,Lommel United,?,Abdou Karim Ba,400,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352827
5,sáb 07/09/2013,15:00,AFC Tubize,White Star,?,Abdou Karim Ba,600,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352829
6,qua 11/09/2013,15:30,CS Visé,White Star,?,Abdou Karim Ba,450,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352851
7,dom 15/09/2013,10:00,White Star,RE Virton,?,Abdou Karim Ba,150,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352797
8,dom 22/09/2013,10:00,St.Truiden,White Star,?,Lionel Bah,4350,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352804
9,dom 29/09/2013,10:00,White Star,RWDM Brüssel,?,Lionel Bah,2000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352833
10,dom 06/10/2013,10:00,KVC Westerlo,White Star,?,Lionel Bah,1800,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352824
11,dom 13/10/2013,10:00,White Star,Boussu Dour,?,Philippe Droeven,600,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352772
12,sáb 19/10/2013,15:00,KSV Roeselare,White Star,?,Philippe Droeven,1100,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352788
13,sáb 26/10/2013,16:00,Hoogstraten VV,White Star,4-3-3 defensivo,Lionel Bah,600,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352749
14,dom 03/11/2013,12:00,White Star,Dessel Sport,?,Philippe Droeven,200,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352741
15,sáb 09/11/2013,17:00,Antuérpia,White Star,?,Philippe Droeven,6000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352876
16,dom 17/11/2013,12:00,White Star,Eendracht Aalst,?,Philippe Droeven,600,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352857
17,sáb 23/11/2013,17:00,KSK Heist,White Star,?,Philippe Droeven,650,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352862
18,sáb 30/11/2013,17:00,ASV Geel,White Star,?,Bernard Smeets,1500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352886
19,dom 08/12/2013,12:00,White Star,Royal Mouscron,?,Bernard Smeets,300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352906
20,sex 13/12/2013,17:30,KAS Eupen,White Star,?,Bernard Smeets,1600,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352882
21,sáb 11/01/2014,17:00,White Star,AFC Tubize,?,John Bico,150,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352936
22,dom 19/01/2014,12:00,Lommel United,White Star,?,John Bico,1200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352920
23,sáb 25/01/2014,17:00,White Star,CS Visé,?,John Bico,200,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352914
24,sáb 01/02/2014,17:00,RE Virton,White Star,?,John Bico,950,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352910
25,dom 09/02/2014,12:00,White Star,St.Truiden,4-3-3 ofensivo,John Bico,1500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352940
26,dom 16/02/2014,11:00,RWDM Brüssel,White Star,4-3-3 ofensivo,John Bico,2500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352999
27,dom 02/03/2014,11:00,White Star,KVC Westerlo,4-3-3 defensivo,John Bico,800,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353001
28,sáb 08/03/2014,15:00,Boussu Dour,White Star,4-3-3 ofensivo,John Bico,430,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352996
29,dom 16/03/2014,11:00,White Star,KSV Roeselare,?,John Bico,300,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352973
30,dom 30/03/2014,10:00,White Star,Hoogstraten VV,4-4-2,John Bico,400,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352956
31,sáb 05/04/2014,14:30,Dessel Sport,White Star,4-4-2,John Bico,700,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352969
32,dom 13/04/2014,10:00,White Star,Antuérpia,4-4-2,John Bico,1500,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353015
33,dom 20/04/2014,10:00,Eendracht Aalst,White Star,4-3-3 defensivo,John Bico,2500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353008
34,dom 27/04/2014,10:00,White Star,KSK Heist,4-3-3 defensivo,John Bico,450,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353005
