round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 08/08/2015,15:00,Union SG,KAS Eupen,4-4-2 duplo 6,Jordi Condom,900,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2600372
2,qua 12/08/2015,15:30,KAS Eupen,KMSK Deinze,4-4-2 duplo 6,Jordi Condom,1257,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2612356
3,dom 30/08/2015,10:00,KVV Coxyde,KAS Eupen,4-4-2 duplo 6,Jordi Condom,600,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617097
4,sáb 05/09/2015,14:30,Dessel Sport,KAS Eupen,4-4-2 duplo 6,Jordi Condom,1300,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2620133
5,dom 13/09/2015,10:00,KAS Eupen,Lierse SK,4-4-2 duplo 6,Jordi Condom,1841,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2620146
7,sáb 26/09/2015,15:00,KAS Eupen,White Star,4-4-2 duplo 6,Jordi Condom,1100,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625203
8,sáb 03/10/2015,15:00,KSK Heist,KAS Eupen,4-4-2 duplo 6,Jordi Condom,900,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625213
9,qua 07/10/2015,15:30,KAS Eupen,Patro Eisden,4-4-2 duplo 6,Jordi Condom,1381,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625223
10,dom 11/10/2015,10:00,Cercle Brügge,KAS Eupen,4-4-2 duplo 6,Jordi Condom,3900,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625228
11,dom 18/10/2015,11:00,KAS Eupen,RFC Seraing,4-4-2 duplo 6,Jordi Condom,2280,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625237
12,sáb 24/10/2015,16:00,KSV Roeselare,KAS Eupen,?,Jordi Condom,1700,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625248
13,dom 01/11/2015,12:00,KAS Eupen,Lommel United,?,Jordi Condom,1750,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625252
14,sáb 07/11/2015,15:00,RE Virton,KAS Eupen,?,Jordi Condom,1515,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2625268
15,dom 15/11/2015,12:00,KAS Eupen,AFC Tubize,?,Jordi Condom,4507,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2639480
16,sáb 21/11/2015,16:30,ASV Geel,KAS Eupen,?,Jordi Condom,800,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2640384
17,qua 16/12/2015,17:30,KAS Eupen,Antuérpia,?,Jordi Condom,2477,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2641774
18,sex 04/12/2015,17:30,KAS Eupen,Union SG,?,Jordi Condom,1680,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2641913
19,sáb 12/12/2015,17:00,KMSK Deinze,KAS Eupen,?,Jordi Condom,1000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2641923
20,sáb 19/12/2015,17:00,KAS Eupen,KVV Coxyde,?,Jordi Condom,1350,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2641933
21,sáb 16/01/2016,17:00,KAS Eupen,Dessel Sport,4-4-2 duplo 6,Jordi Condom,1700,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2641943
22,sáb 23/01/2016,17:00,Lierse SK,KAS Eupen,4-2-3-1,Jordi Condom,4240,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658402
24,sáb 06/02/2016,17:00,White Star,KAS Eupen,4-2-3-1,Jordi Condom,150,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658759
25,sáb 13/02/2016,17:00,KAS Eupen,KSK Heist,4-4-2 duplo 6,Jordi Condom,600,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658767
26,dom 21/02/2016,11:00,Patro Eisden,KAS Eupen,?,Jordi Condom,500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658779
27,dom 06/03/2016,11:00,KAS Eupen,Cercle Brügge,?,Jordi Condom,1514,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658784
28,sáb 12/03/2016,16:00,RFC Seraing,KAS Eupen,?,Jordi Condom,1250,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658793
29,sex 18/03/2016,16:30,KAS Eupen,KSV Roeselare,?,Jordi Condom,1487,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658798
30,sáb 02/04/2016,15:00,Lommel United,KAS Eupen,?,Jordi Condom,2500,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658809
31,sáb 09/04/2016,15:00,KAS Eupen,RE Virton,?,Jordi Condom,1857,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658817
32,sex 15/04/2016,15:30,AFC Tubize,KAS Eupen,?,Jordi Condom,800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658826
33,dom 24/04/2016,10:00,KAS Eupen,ASV Geel,4-4-2 duplo 6,Jordi Condom,1800,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658830
34,sáb 30/04/2016,15:00,Antuérpia,KAS Eupen,4-4-2 duplo 6,Jordi Condom,13000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2658847
