round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 13/08/2021,15:00,KMSK Deinze,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3594677
2,dom 22/08/2021,11:00,KSK Lierse Kem.,RE Virton,4-2-3-1,Tom Van Imschoot,4000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3594683
3,sáb 28/08/2021,15:45,KVC Westerlo,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,3500,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3594686
4,dom 12/09/2021,11:00,KSK Lierse Kem.,RWDM,4-2-3-1,Tom Van Imschoot,4000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597644
5,dom 19/09/2021,15:00,Lommel SK,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,1370,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597647
6,sex 24/09/2021,15:00,KSK Lierse Kem.,Waasland-Beveren,4-2-3-1,Tom Van Imschoot,5500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597652
7,sáb 02/10/2021,15:45,KSK Lierse Kem.,Mouscron,4-2-3-1,Tom Van Imschoot,5000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597655
8,sáb 16/10/2021,15:45,RE Virton,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,1500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597658
9,sáb 23/10/2021,15:45,KSK Lierse Kem.,KMSK Deinze,4-2-3-1,Tom Van Imschoot,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597663
10,sáb 30/10/2021,15:45,Waasland-Beveren,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,2500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597666
11,dom 07/11/2021,12:00,RWDM,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,2500,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597669
12,sáb 20/11/2021,16:45,KSK Lierse Kem.,KVC Westerlo,4-2-3-1,Tom Van Imschoot,6500,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597676
13,dom 28/11/2021,12:00,Mouscron,KSK Lierse Kem.,5-3-2,Tom Van Imschoot,800,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597679
14,dom 05/12/2021,16:00,KSK Lierse Kem.,Lommel SK,5-3-2,Tom Van Imschoot,3000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597683
15,dom 12/12/2021,16:00,RE Virton,KSK Lierse Kem.,5-3-2,Tom Van Imschoot,850,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597686
16,dom 19/12/2021,12:00,KSK Lierse Kem.,RWDM,4-2-3-1,Tom Van Imschoot,3000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597691
17,dom 23/01/2022,16:00,Mouscron,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,x,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597695
18,sex 28/01/2022,16:00,Lommel SK,KSK Lierse Kem.,4-2-3-1,Tom Van Imschoot,600,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597700
19,sex 04/02/2022,16:00,KSK Lierse Kem.,KMSK Deinze,4-3-3 defensivo,Tom Van Imschoot,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597703
20,sex 11/02/2022,16:00,Waasland-Beveren,KSK Lierse Kem.,4-3-3 defensivo,Tom Van Imschoot,2000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597706
21,qua 16/03/2022,14:45,KSK Lierse Kem.,KVC Westerlo,5-4-1 plano,Tom Van Imschoot,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597712
22,dom 27/02/2022,16:00,RWDM,KSK Lierse Kem.,4-3-3 defensivo,Tom Van Imschoot,2500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597713
23,sáb 05/03/2022,16:45,KSK Lierse Kem.,Lommel SK,4-4-2,Tom Van Imschoot,2000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597720
24,dom 13/03/2022,16:00,KSK Lierse Kem.,Mouscron,4-4-1-1,Tom Van Imschoot,2500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597724
25,dom 20/03/2022,16:00,KVC Westerlo,KSK Lierse Kem.,5-4-1 plano,Tom Van Imschoot,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597728
26,sex 01/04/2022,15:00,KSK Lierse Kem.,Waasland-Beveren,4-4-2 duplo 6,Tom Van Imschoot,3000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597732
27,sáb 09/04/2022,11:00,KMSK Deinze,KSK Lierse Kem.,4-4-1-1,Tom Van Imschoot,1000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597736
28,dom 17/04/2022,15:00,KSK Lierse Kem.,RE Virton,4-4-2 duplo 6,Tom Van Imschoot,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3597739
