round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 12/08/2022,15:00,RE Virton,RWDM,4-4-2,Christian Bracconi,1662,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3848878
2,sáb 20/08/2022,11:00,SK Beveren,RE Virton,4-5-1,Christian Bracconi,1780,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851376
3,sáb 27/08/2022,15:00,KMSK Deinze,RE Virton,4-3-3 ofensivo,Christian Bracconi,450,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851365
4,dom 04/09/2022,11:00,RE Virton,FCV Dender EH,4-2-3-1,Christian Bracconi,1430,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851381
5,dom 11/09/2022,11:00,Jong Genk,RE Virton,4-2-3-1,Christian Bracconi,525,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851373
6,dom 18/09/2022,11:00,RE Virton,Beerschot VA,4-2-3-1,Christian Bracconi,1509,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851411
7,sex 30/09/2022,15:00,RE Virton,Club NXT,5-3-2,Christian Bracconi,1408,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851440
8,sex 07/10/2022,15:00,RSCA Futures,RE Virton,5-3-2,Christian Bracconi,471,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851451
9,sáb 15/10/2022,11:00,RE Virton,KSK Lierse Kem.,5-3-2,Christian Bracconi,1239,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851452
10,sex 21/10/2022,15:00,SL16 FC,RE Virton,3-4-1-2,Christian Bracconi,454,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851391
11,sex 28/10/2022,15:00,Lommel SK,RE Virton,5-3-2,Christian Bracconi,736,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851426
12,sáb 05/11/2022,12:00,RE Virton,KMSK Deinze,4-3-3 defensivo,Christian Bracconi,1240,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851398
13,sáb 12/11/2022,16:00,Beerschot VA,RE Virton,4-5-1,Christian Bracconi,4045,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851406
14,sex 18/11/2022,16:00,RE Virton,SL16 FC,4-4-2,Christian Bracconi,1311,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851434
15,dom 27/11/2022,16:00,KSK Lierse Kem.,RE Virton,5-3-2,Christian Bracconi,1522,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851417
16,sáb 03/12/2022,12:00,RE Virton,Lommel SK,5-3-2,Christian Bracconi,977,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851429
17,dom 11/12/2022,09:30,RWDM,RE Virton,5-4-1 plano,Christian Bracconi,1433,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851470
18,sáb 17/12/2022,12:00,RE Virton,SK Beveren,3-4-3 plano,Christian Bracconi,1110,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851464
19,sáb 21/01/2023,16:00,FCV Dender EH,RE Virton,3-5-2,Christian Bracconi,900,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851459
20,sáb 28/01/2023,12:00,RE Virton,RSCA Futures,4-3-3 defensivo,Christian Bracconi,1648,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851476
21,dom 05/02/2023,12:00,Club NXT,RE Virton,4-3-3 defensivo,Christian Bracconi,237,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851485
22,dom 12/02/2023,12:00,RE Virton,Jong Genk,3-5-2,José Jeunechamps,1333,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3851488
