round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 13/08/2023,11:00,KV Oostende,Lommel SK,4-2-3-1,Stijn Vreven,2913,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4093119
2,sáb 19/08/2023,15:00,KMSK Deinze,KV Oostende,4-2-3-1,Stijn Vreven,1134,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099006
3,dom 27/08/2023,11:00,RFC Lüttich,KV Oostende,4-2-3-1,Stijn Vreven,1807,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099209
4,sáb 02/09/2023,15:00,KV Oostende,RFC Seraing,4-2-3-1,Stijn Vreven,2541,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099222
5,dom 17/09/2023,14:15,SL16 FC,KV Oostende,4-2-3-1,Stijn Vreven,245,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099194
6,sáb 23/09/2023,15:00,KV Oostende,Jong Genk,4-3-3 defensivo,Stijn Vreven,2034,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099000
7,sáb 30/09/2023,11:00,Beerschot VA,KV Oostende,4-2-3-1,Stijn Vreven,3881,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099164
8,dom 08/10/2023,11:00,KV Oostende,RSCA Futures,4-2-3-1,Stijn Vreven,2731,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099024
9,dom 22/10/2023,08:30,FCV Dender EH,KV Oostende,4-2-3-1,Stijn Vreven,1008,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099017
10,sex 27/10/2023,15:00,KV Oostende,Patro Eisden,4-2-3-1,Stijn Vreven,2089,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099136
11,sex 03/11/2023,16:00,Zulte Waregem,KV Oostende,5-3-2,Stijn Vreven,6104,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099123
12,sáb 11/11/2023,16:00,KV Oostende,Francs Borains,5-3-2,Stijn Vreven,2399,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099215
13,sáb 25/11/2023,12:00,Club NXT,KV Oostende,4-2-3-1,Stijn Vreven,1043,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099085
14,dom 03/12/2023,09:30,KV Oostende,KSK Lierse Kem.,4-3-3 defensivo,Stijn Vreven,2612,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099072
15,dom 10/12/2023,15:15,KV Oostende,SK Beveren,3-4-3 plano,Stijn Vreven,2165,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099040
16,sáb 16/12/2023,16:00,RSCA Futures,KV Oostende,5-3-2,Michiel Jonckheere,352,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099061
17,dom 14/01/2024,09:30,KV Oostende,Zulte Waregem,5-3-2,Michiel Jonckheere,2774,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099032
18,qua 14/02/2024,16:00,Francs Borains,KV Oostende,3-4-3 plano,Jamath Shoffner,347,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099082
19,dom 28/01/2024,15:15,KV Oostende,KMSK Deinze,5-3-2,Jamath Shoffner,2104,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099047
20,sáb 03/02/2024,12:00,KSK Lierse Kem.,KV Oostende,5-4-1 plano,Jamath Shoffner,2150,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099053
21,dom 11/02/2024,15:15,KV Oostende,RFC Lüttich,3-4-3 plano,Jamath Shoffner,2007,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099121
22,sáb 17/02/2024,12:00,Lommel SK,KV Oostende,5-3-2,Jamath Shoffner,1421,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099157
23,sáb 24/02/2024,16:00,KV Oostende,Club NXT,5-3-2,Jamath Shoffner,2498,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099095
24,dom 03/03/2024,15:15,SK Beveren,KV Oostende,5-3-2,Jamath Shoffner,2509,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099099
25,sáb 09/03/2024,16:00,KV Oostende,FCV Dender EH,5-3-2,Jamath Shoffner,2317,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099150
26,sáb 16/03/2024,16:45,Jong Genk,KV Oostende,5-3-2,Jamath Shoffner,398,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099146
27,dom 31/03/2024,08:30,RFC Seraing,KV Oostende,4-3-3 defensivo,Jamath Shoffner,1369,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099112
28,dom 07/04/2024,11:00,KV Oostende,Beerschot VA,4-3-3 defensivo,Jamath Shoffner,4233,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099201
29,dom 14/04/2024,14:15,Patro Eisden,KV Oostende,4-3-3 defensivo,Jamath Shoffner,2233,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099186
30,sex 19/04/2024,15:00,KV Oostende,SL16 FC,5-3-2,Jamath Shoffner,4048,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4099175
