round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 07/08/2004,11:00,Plymouth Argyle,Millwall,?,Bobby Williamson,16063,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240566
2,ter 10/08/2004,15:45,Brighton,Plymouth Argyle,?,Bobby Williamson,6387,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240573
3,sex 13/08/2004,15:45,Cardiff,Plymouth Argyle,?,Bobby Williamson,12697,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240584
4,sáb 21/08/2004,11:00,Plymouth Argyle,AFC Sunderland,?,Bobby Williamson,16874,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240602
5,sáb 28/08/2004,11:00,Watford,Plymouth Argyle,?,Bobby Williamson,13104,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240615
6,seg 30/08/2004,16:00,Plymouth Argyle,Nott'm Forest,?,Bobby Williamson,17538,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240627
7,sáb 11/09/2004,11:00,QPR,Plymouth Argyle,?,Bobby Williamson,15425,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240637
8,ter 14/09/2004,15:45,Plymouth Argyle,Leeds,?,Bobby Williamson,20555,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240648
9,sáb 18/09/2004,11:00,Plymouth Argyle,Wolves,?,Bobby Williamson,18635,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240660
10,sáb 25/09/2004,11:00,Ipswich,Plymouth Argyle,?,Bobby Williamson,23270,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240672
11,ter 28/09/2004,15:45,Preston NE,Plymouth Argyle,?,Bobby Williamson,11445,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240683
12,sáb 02/10/2004,11:00,Plymouth Argyle,Gillingham,?,Bobby Williamson,13665,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240695
13,sáb 16/10/2004,11:30,Plymouth Argyle,Wigan,?,Bobby Williamson,14443,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240714
14,ter 19/10/2004,15:45,Rotherham,Plymouth Argyle,?,Bobby Williamson,5088,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240728
15,sáb 23/10/2004,11:00,Sheff Utd,Plymouth Argyle,?,Bobby Williamson,18893,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2240739
