round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 10/08/2008,09:15,Nott'm Forest,Reading,4-4-2,Steve Coppell,21571,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/921611
2,sáb 16/08/2008,11:00,Reading,Plymouth Argyle,4-4-2,Steve Coppell,19202,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/921724
3,sáb 23/08/2008,08:45,Charlton,Reading,4-4-2,Steve Coppell,20020,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923224
4,sáb 30/08/2008,11:00,Reading,Crystal Palace,3-5-2,Steve Coppell,20441,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923802
5,sáb 13/09/2008,11:00,Ipswich,Reading,4-4-2 duplo 6,Steve Coppell,21366,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924696
6,ter 16/09/2008,16:00,Reading,Sheff Wed,4-4-2,Steve Coppell,18159,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924964
7,sáb 20/09/2008,11:00,Watford,Reading,4-4-2,Steve Coppell,14761,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/925355
8,sáb 27/09/2008,11:00,Reading,Swansea,4-4-2,Steve Coppell,20093,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926140
9,ter 30/09/2008,15:45,Wolves,Reading,4-4-2 duplo 6,Steve Coppell,24302,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926380
10,sáb 04/10/2008,11:00,Reading,FC Burnley,4-4-2,Steve Coppell,18621,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926496
11,sáb 18/10/2008,11:00,Preston NE,Reading,4-4-2,Steve Coppell,12316,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/927375
12,ter 21/10/2008,17:00,Reading,Doncaster Rov.,4-4-2,Steve Coppell,17294,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/927633
13,sáb 25/10/2008,14:20,Reading,QPR,4-4-2,Steve Coppell,20571,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928177
14,ter 28/10/2008,17:45,FC Burnley,Reading,4-4-2,Steve Coppell,11538,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928429
15,sáb 01/11/2008,13:00,Bristol City,Reading,4-4-2,Steve Coppell,18296,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928511
16,sáb 08/11/2008,13:00,Reading,Derby,4-4-2,Steve Coppell,18724,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928589
17,sáb 15/11/2008,13:00,Sheff Utd,Reading,4-4-2,Steve Coppell,25065,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928878
18,sáb 22/11/2008,13:00,Reading,Southampton,4-4-2,Steve Coppell,23121,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/929395
19,ter 25/11/2008,17:45,Cardiff,Reading,4-4-2,Steve Coppell,17154,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/929677
20,seg 01/12/2008,18:00,Reading,Coventry City,4-4-2,Steve Coppell,16803,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/931427
21,sáb 06/12/2008,13:15,Barnsley FC,Reading,4-4-2,Steve Coppell,11938,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/931878
22,ter 09/12/2008,18:00,Reading,Blackpool,4-4-2,Steve Coppell,16514,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/932740
23,sáb 13/12/2008,13:00,Reading,Norwich,4-4-2,Steve Coppell,19382,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/932805
24,sáb 20/12/2008,10:45,Birmingham,Reading,4-4-2,Steve Coppell,19695,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933194
25,sex 26/12/2008,13:00,Reading,Cardiff,4-4-2,Steve Coppell,22770,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933262
26,dom 28/12/2008,13:00,Southampton,Reading,4-4-2,Steve Coppell,20142,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933416
27,sex 09/01/2009,18:00,Reading,Watford,4-4-2,Steve Coppell,18072,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933418
28,sáb 17/01/2009,13:00,Swansea,Reading,4-4-2,Steve Coppell,15197,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933917
29,ter 27/01/2009,18:00,Reading,Wolves,4-4-2,Steve Coppell,23009,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933928
30,sáb 31/01/2009,13:00,QPR,Reading,4-4-2,Steve Coppell,17120,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/935397
31,ter 17/03/2009,16:45,Doncaster Rov.,Reading,4-3-3 ofensivo,Steve Coppell,10393,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/935814
32,sáb 07/02/2009,13:00,Reading,Preston NE,4-4-2,Steve Coppell,19570,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936133
33,ter 21/04/2009,15:45,Derby,Reading,4-4-2,Steve Coppell,31345,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936250
34,sáb 21/02/2009,12:00,Reading,Bristol City,4-4-2,Steve Coppell,22462,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936987
