round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 18/08/2012,11:00,Barnsley FC,Middlesbrough,4-4-2,Tony Mowbray,12203,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2230158
2,ter 21/08/2012,15:45,Middlesbrough,FC Burnley,4-4-2,Tony Mowbray,15559,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225883
3,sáb 25/08/2012,11:00,Middlesbrough,Crystal Palace,4-5-1,Tony Mowbray,15494,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225885
4,sáb 01/09/2012,08:45,Millwall,Middlesbrough,4-4-2,Tony Mowbray,9576,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225866
5,sáb 15/09/2012,11:00,Middlesbrough,Ipswich,4-4-2,Tony Mowbray,14887,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225858
6,ter 18/09/2012,16:00,Blackpool,Middlesbrough,4-4-2,Tony Mowbray,12746,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225842
7,sex 21/09/2012,15:45,Blackburn,Middlesbrough,4-4-2,Tony Mowbray,13405,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225844
8,sáb 29/09/2012,11:00,Middlesbrough,Leicester,4-4-1-1,Tony Mowbray,15679,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225835
9,qua 03/10/2012,15:45,Middlesbrough,Derby,4-4-2,Tony Mowbray,13377,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225820
10,sáb 06/10/2012,11:00,Watford,Middlesbrough,4-4-2,Tony Mowbray,12006,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225904
11,sáb 20/10/2012,11:00,Brighton,Middlesbrough,4-3-1-2,Tony Mowbray,26293,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225963
12,ter 23/10/2012,16:45,Middlesbrough,Hull City,4-4-2,Tony Mowbray,14129,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225953
13,sáb 27/10/2012,12:00,Middlesbrough,Bolton,4-4-2,Tony Mowbray,16200,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225935
14,sáb 03/11/2012,13:00,Charlton,Middlesbrough,4-4-2 duplo 6,Tony Mowbray,17736,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225923
15,ter 06/11/2012,17:45,Nott'm Forest,Middlesbrough,4-4-2,Tony Mowbray,20150,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226024
16,sex 09/11/2012,17:45,Middlesbrough,Sheff Wed,4-4-2 duplo 6,Tony Mowbray,28229,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226020
17,sáb 17/11/2012,13:00,Cardiff,Middlesbrough,4-4-2,Tony Mowbray,21578,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226007
18,sáb 24/11/2012,13:00,Middlesbrough,Bristol City,4-4-2,Tony Mowbray,20585,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225993
19,ter 27/11/2012,17:45,Middlesbrough,Huddersfield,4-4-2,Tony Mowbray,21850,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225989
20,sex 30/11/2012,17:45,Birmingham,Middlesbrough,4-4-2,Tony Mowbray,15322,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226034
21,sáb 08/12/2012,13:00,Peterborough,Middlesbrough,4-4-2,Tony Mowbray,6612,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226128
22,sáb 15/12/2012,13:00,Middlesbrough,Wolves,4-4-2,Tony Mowbray,15662,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226106
23,sáb 22/12/2012,13:00,Leeds,Middlesbrough,4-4-2,Tony Mowbray,25406,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226085
24,qua 26/12/2012,13:00,Middlesbrough,Blackburn,4-4-2,Tony Mowbray,22882,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226049
25,sáb 29/12/2012,13:00,Middlesbrough,Blackpool,4-4-2,Tony Mowbray,18164,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226059
26,ter 01/01/2013,13:00,Derby,Middlesbrough,4-4-2,Tony Mowbray,22523,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226069
27,sáb 12/01/2013,13:00,Middlesbrough,Watford,4-4-2,Tony Mowbray,17499,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226088
28,sex 18/01/2013,17:45,Leicester,Middlesbrough,4-1-4-1,Tony Mowbray,8585,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226125
29,ter 12/02/2013,17:45,Middlesbrough,Leeds,4-4-2 duplo 6,Tony Mowbray,18388,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226250
30,sáb 02/02/2013,13:00,Ipswich,Middlesbrough,4-4-2,Tony Mowbray,16389,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226235
31,sáb 09/02/2013,13:00,Middlesbrough,Barnsley FC,4-4-2,Tony Mowbray,15034,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226154
32,sáb 16/02/2013,13:00,Crystal Palace,Middlesbrough,4-4-2 duplo 6,Tony Mowbray,17213,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226162
33,ter 19/02/2013,16:45,FC Burnley,Middlesbrough,4-1-4-1,Tony Mowbray,12394,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226142
34,sáb 23/02/2013,14:20,Middlesbrough,Millwall,4-1-4-1,Tony Mowbray,15377,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226196
35,sáb 02/03/2013,12:00,Middlesbrough,Cardiff,4-4-2,Tony Mowbray,15440,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226195
36,ter 05/03/2013,16:45,Huddersfield,Middlesbrough,4-4-2,Tony Mowbray,12705,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226177
37,sáb 09/03/2013,12:00,Bristol City,Middlesbrough,5-4-1 plano,Tony Mowbray,13524,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226219
38,sáb 16/03/2013,12:00,Middlesbrough,Birmingham,4-4-2,Tony Mowbray,14348,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226199
39,sáb 30/03/2013,12:00,Wolves,Middlesbrough,4-1-4-1,Tony Mowbray,21277,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226252
40,ter 02/04/2013,15:45,Middlesbrough,Peterborough,4-4-2,Tony Mowbray,13683,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226321
41,sáb 06/04/2013,11:00,Hull City,Middlesbrough,4-4-2,Tony Mowbray,17901,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226289
42,sáb 13/04/2013,11:00,Middlesbrough,Brighton,4-4-2,Tony Mowbray,14925,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226263
43,ter 16/04/2013,15:45,Middlesbrough,Nott'm Forest,4-4-2,Tony Mowbray,13861,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226268
