round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 17/08/2012,15:45,Cardiff,Huddersfield,4-1-4-1,Simon Grayson,21127,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2230151
2,ter 21/08/2012,15:45,Huddersfield,Nott'm Forest,4-4-2,Simon Grayson,15434,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225872
3,sáb 25/08/2012,11:00,Huddersfield,FC Burnley,4-4-2,Simon Grayson,15483,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225880
4,sáb 01/09/2012,11:00,Ipswich,Huddersfield,4-4-2,Simon Grayson,16843,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225903
5,sáb 15/09/2012,11:00,Huddersfield,Derby,4-4-1-1,Simon Grayson,15265,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225861
6,qua 19/09/2012,15:45,Sheff Wed,Huddersfield,4-4-2,Simon Grayson,25230,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225848
7,seg 24/09/2012,15:45,Blackpool,Huddersfield,4-4-2,Simon Grayson,13886,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225846
8,sáb 29/09/2012,11:00,Huddersfield,Watford,4-4-2,Simon Grayson,14564,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225828
9,ter 02/10/2012,15:45,Huddersfield,Leicester,4-4-2,Simon Grayson,13821,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225817
10,sáb 06/10/2012,11:00,Birmingham,Huddersfield,4-4-2,Simon Grayson,18437,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225912
11,sáb 20/10/2012,11:00,Huddersfield,Wolves,4-4-2,Simon Grayson,18012,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225968
12,ter 23/10/2012,16:45,Peterborough,Huddersfield,4-4-2,Simon Grayson,6348,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225958
13,sáb 27/10/2012,12:00,Millwall,Huddersfield,4-4-2 duplo 6,Simon Grayson,11066,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225937
14,sáb 03/11/2012,13:00,Huddersfield,Bristol City,4-5-1,Simon Grayson,12561,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225934
15,ter 06/11/2012,17:45,Huddersfield,Blackburn,4-4-2,Simon Grayson,14597,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226018
16,sáb 10/11/2012,13:00,Barnsley FC,Huddersfield,4-4-2 duplo 6,Simon Grayson,12130,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226027
17,sáb 17/11/2012,13:00,Huddersfield,Brighton,4-4-2,Simon Grayson,13299,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226002
