round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 18/08/2012,08:45,Leeds,Wolves,4-4-2,Neil Warnock,23745,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2230154
2,ter 21/08/2012,16:00,Blackpool,Leeds,4-4-2,Neil Warnock,14315,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225890
3,sáb 25/08/2012,11:00,Peterborough,Leeds,4-4-2 duplo 6,Neil Warnock,10432,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225892
4,sáb 01/09/2012,11:00,Leeds,Blackburn,4-4-1-1,Neil Warnock,24411,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225864
5,sáb 15/09/2012,11:00,Cardiff,Leeds,4-4-2,Neil Warnock,23836,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225875
6,ter 18/09/2012,15:45,Leeds,Hull City,4-4-2,Neil Warnock,19750,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225856
7,sáb 22/09/2012,11:00,Leeds,Nott'm Forest,4-4-2,Neil Warnock,24292,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225836
8,sáb 29/09/2012,11:00,Bristol City,Leeds,4-4-2,Neil Warnock,15692,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225830
9,ter 02/10/2012,16:00,Bolton,Leeds,4-4-2,Neil Warnock,21255,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225825
10,sáb 06/10/2012,11:00,Leeds,Barnsley FC,4-4-2,Neil Warnock,22569,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225902
11,sex 19/10/2012,15:45,Sheff Wed,Leeds,4-4-2,Neil Warnock,28582,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225971
12,ter 23/10/2012,16:45,Leeds,Charlton,4-4-2,Neil Warnock,17484,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225950
13,sáb 27/10/2012,12:00,Leeds,Birmingham,4-4-2,Neil Warnock,22152,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225941
14,sex 02/11/2012,17:45,Brighton,Leeds,4-4-2,Neil Warnock,26402,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225925
15,ter 06/11/2012,17:45,FC Burnley,Leeds,4-4-2,Neil Warnock,14470,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226013
16,sáb 10/11/2012,13:00,Leeds,Watford,3-5-2 ofensivo,Neil Warnock,19104,1:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2225998
17,dom 18/11/2012,11:15,Millwall,Leeds,4-4-2,Neil Warnock,13117,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226005
