round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 03/08/2013,11:00,Barnsley FC,Wigan,4-4-2,David Flitcroft,13096,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2345056
2,sáb 10/08/2013,11:00,Blackpool,Barnsley FC,3-5-2 plano,David Flitcroft,14268,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332867
3,sáb 17/08/2013,11:00,Barnsley FC,Charlton,3-5-2 plano,David Flitcroft,9554,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332968
4,sáb 24/08/2013,11:00,Blackburn,Barnsley FC,3-5-2 plano,David Flitcroft,13058,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332958
5,sáb 31/08/2013,11:00,Barnsley FC,Huddersfield,3-5-2 plano,David Flitcroft,13593,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332975
6,sáb 14/09/2013,11:00,Nott'm Forest,Barnsley FC,4-4-2,David Flitcroft,21181,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332962
7,ter 17/09/2013,15:45,Bournemouth,Barnsley FC,4-5-1 plano,David Flitcroft,7574,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332918
8,sáb 21/09/2013,11:00,Barnsley FC,Watford,4-4-2,David Flitcroft,9850,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332925
9,sáb 28/09/2013,11:00,Leicester,Barnsley FC,4-4-2,David Flitcroft,21591,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332886
10,ter 01/10/2013,15:45,Barnsley FC,Reading,4-4-2,David Flitcroft,9084,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332887
11,sáb 05/10/2013,11:00,QPR,Barnsley FC,4-4-2,David Flitcroft,16202,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332890
12,sáb 19/10/2013,11:00,Barnsley FC,Middlesbrough,4-4-2,David Flitcroft,11438,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332999
13,sáb 26/10/2013,09:15,Barnsley FC,Sheff Wed,4-4-2,David Flitcroft,13268,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333003
14,sex 01/11/2013,17:45,Ipswich,Barnsley FC,4-4-2,David Flitcroft,18361,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333298
15,sáb 09/11/2013,13:00,Barnsley FC,Doncaster Rov.,4-4-2,David Flitcroft,11843,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333243
16,sáb 23/11/2013,13:00,Millwall,Barnsley FC,4-5-1 plano,David Flitcroft,9057,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333265
17,sáb 30/11/2013,13:00,Barnsley FC,Birmingham,4-4-2,David Flitcroft,10077,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333056
18,ter 03/12/2013,17:45,Brighton,Barnsley FC,4-5-1 plano,Micky Mellon,25759,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333065
19,sáb 07/12/2013,13:00,FC Burnley,Barnsley FC,4-5-1 plano,Micky Mellon,11462,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333082
20,sáb 14/12/2013,13:00,Barnsley FC,Yeovil Town,4-4-2,Micky Mellon,13361,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333019
21,sáb 21/12/2013,13:00,Leeds,Barnsley FC,4-1-4-1,Danny Wilson,31031,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333014
22,qui 26/12/2013,13:00,Barnsley FC,Bolton,4-4-2,Danny Wilson,12484,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333048
23,dom 29/12/2013,13:00,Barnsley FC,Derby,4-5-1 plano,Danny Wilson,16338,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333110
24,qua 01/01/2014,13:00,Birmingham,Barnsley FC,4-5-1 plano,Danny Wilson,14422,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333119
25,ter 15/04/2014,15:45,Charlton,Barnsley FC,4-5-1 plano,Danny Wilson,16320,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333097
26,sáb 18/01/2014,13:00,Barnsley FC,Blackpool,4-2-3-1,Danny Wilson,9866,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333105
27,ter 18/02/2014,16:45,Wigan,Barnsley FC,4-4-2,Danny Wilson,14121,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333133
28,ter 28/01/2014,17:45,Barnsley FC,Blackburn,4-4-2,Danny Wilson,9703,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333199
29,sáb 01/02/2014,13:00,Sheff Wed,Barnsley FC,4-4-2,Danny Wilson,25139,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333200
30,sáb 08/02/2014,13:00,Barnsley FC,Ipswich,4-4-2,Danny Wilson,9929,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333202
31,sáb 15/02/2014,13:00,Doncaster Rov.,Barnsley FC,4-4-2 duplo 6,Danny Wilson,10216,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333165
32,sáb 22/02/2014,12:00,Barnsley FC,Millwall,4-4-2,Danny Wilson,9653,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333186
33,sáb 01/03/2014,12:00,Huddersfield,Barnsley FC,4-4-2,Danny Wilson,14236,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333288
34,sáb 08/03/2014,12:00,Barnsley FC,Nott'm Forest,4-4-2,Danny Wilson,12157,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333292
35,ter 11/03/2014,16:45,Barnsley FC,Leicester,4-4-2,Danny Wilson,12539,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333333
36,sáb 15/03/2014,12:00,Watford,Barnsley FC,4-4-2,Danny Wilson,14531,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333215
37,sáb 22/03/2014,12:00,Barnsley FC,Bournemouth,4-4-2,Danny Wilson,9392,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333233
38,ter 25/03/2014,17:00,Reading,Barnsley FC,3-5-2 plano,Danny Wilson,16645,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333267
39,sáb 29/03/2014,12:00,Yeovil Town,Barnsley FC,4-4-2,Danny Wilson,6579,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333033
40,sáb 05/04/2014,11:00,Barnsley FC,Brighton,4-5-1 plano,Danny Wilson,10195,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333362
41,ter 08/04/2014,15:45,Barnsley FC,FC Burnley,4-4-2,Danny Wilson,12904,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333383
42,sáb 12/04/2014,11:05,Bolton,Barnsley FC,4-5-1 plano,Danny Wilson,15845,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333398
43,sáb 19/04/2014,11:00,Barnsley FC,Leeds,4-5-1 plano,Danny Wilson,15190,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333380
44,seg 21/04/2014,11:00,Derby,Barnsley FC,4-5-1 plano,Danny Wilson,26046,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2333353
