round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 10/08/2014,12:00,Wolves,Norwich,4-4-2 losango,Neil Adams,22053,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2464948
2,sáb 16/08/2014,11:00,Norwich,Watford,4-2-3-1,Neil Adams,26375,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2484440
3,ter 19/08/2014,15:45,Norwich,Blackburn,4-2-3-1,Neil Adams,25835,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2485906
4,sáb 23/08/2014,08:15,Ipswich,Norwich,4-2-3-1,Neil Adams,25245,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2485912
5,sáb 30/08/2014,11:00,Norwich,Bournemouth,4-2-3-1,Neil Adams,25814,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2485931
6,sáb 13/09/2014,11:00,Cardiff,Norwich,4-2-3-1,Neil Adams,21746,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2485942
7,ter 16/09/2014,15:45,Brentford,Norwich,4-4-2 duplo 6,Neil Adams,10074,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2485952
8,sáb 20/09/2014,11:00,Norwich,Birmingham,4-4-2 duplo 6,Neil Adams,26351,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498458
9,sáb 27/09/2014,11:00,Blackpool,Norwich,4-4-2 duplo 6,Neil Adams,11232,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498489
10,ter 30/09/2014,15:45,Norwich,Charlton,4-4-2 duplo 6,Neil Adams,25983,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498503
11,sáb 04/10/2014,11:00,Norwich,Rotherham,4-4-2 duplo 6,Neil Adams,26114,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498519
12,sáb 18/10/2014,11:00,Fulham,Norwich,4-2-3-1,Neil Adams,20766,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498528
13,ter 21/10/2014,16:45,Norwich,Leeds,4-2-3-1,Neil Adams,26565,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498543
14,sáb 25/10/2014,12:00,Sheff Wed,Norwich,4-3-1-2,Neil Adams,20898,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498568
