round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 04/08/2017,15:45,AFC Sunderland,Derby,4-4-2 duplo 6,Simon Grayson,29578,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2867252
2,dom 13/08/2017,09:30,Norwich,AFC Sunderland,4-4-2 duplo 6,Simon Grayson,26343,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893422
3,qua 16/08/2017,15:45,Sheff Wed,AFC Sunderland,4-4-2 duplo 6,Simon Grayson,27631,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893436
4,sáb 19/08/2017,13:30,AFC Sunderland,Leeds,4-4-2 duplo 6,Simon Grayson,31237,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893446
5,sáb 26/08/2017,11:00,Barnsley FC,AFC Sunderland,4-4-2 duplo 6,Simon Grayson,15697,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893448
6,sáb 09/09/2017,11:00,AFC Sunderland,Sheff Utd,3-5-2,Simon Grayson,29579,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893470
7,ter 12/09/2017,15:45,AFC Sunderland,Nott'm Forest,4-2-3-1,Simon Grayson,26061,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893481
8,sáb 16/09/2017,11:00,Hull City,AFC Sunderland,4-2-3-1,Simon Grayson,16597,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893490
9,sáb 23/09/2017,11:00,AFC Sunderland,Cardiff,5-3-2,Simon Grayson,25733,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893507
10,ter 26/09/2017,15:45,Ipswich,AFC Sunderland,4-4-1-1,Simon Grayson,14907,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893516
11,sáb 30/09/2017,11:00,Preston NE,AFC Sunderland,4-2-3-1,Simon Grayson,17621,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893529
12,sáb 14/10/2017,11:00,AFC Sunderland,QPR,4-4-2 duplo 6,Simon Grayson,26066,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893543
13,sáb 21/10/2017,12:00,Brentford,AFC Sunderland,4-2-3-1,Simon Grayson,10726,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893548
14,sáb 28/10/2017,12:00,AFC Sunderland,Bristol City,4-2-3-1,Simon Grayson,27317,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893568
15,ter 31/10/2017,17:45,AFC Sunderland,Bolton,4-2-3-1,Simon Grayson,26395,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893579
16,dom 05/11/2017,10:15,Middlesbrough,AFC Sunderland,4-4-1-1,Robbie Stockdale,29277,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893588
17,sáb 18/11/2017,13:00,AFC Sunderland,Millwall,4-4-1-1,Robbie Stockdale,27399,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893604
18,ter 21/11/2017,17:45,Aston Villa,AFC Sunderland,4-1-4-1,Chris Coleman,27662,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893608
19,sáb 25/11/2017,13:00,Burton Albion,AFC Sunderland,4-1-4-1,Chris Coleman,4808,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893625
20,sáb 02/12/2017,13:00,AFC Sunderland,Reading,4-2-3-1,Chris Coleman,27386,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2893687
