round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 08/08/2021,09:30,Fulham,Middlesbrough,4-2-3-1,Marco Silva,16058,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587431
2,sáb 14/08/2021,11:00,Huddersfield,Fulham,4-2-3-1,Marco Silva,15126,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587440
3,ter 17/08/2021,15:45,Millwall,Fulham,4-3-3 ofensivo,Marco Silva,12700,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587452
4,sáb 21/08/2021,11:00,Fulham,Hull City,4-1-4-1,Marco Silva,16189,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587484
5,sáb 28/08/2021,11:00,Fulham,Stoke,4-2-3-1,Marco Silva,16791,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587494
6,sáb 11/09/2021,11:00,Blackpool,Fulham,4-2-3-1,Marco Silva,11268,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587508
7,qua 15/09/2021,15:45,Birmingham,Fulham,4-3-3 ofensivo,Marco Silva,14562,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589160
8,sáb 18/09/2021,11:00,Fulham,Reading,4-2-3-1,Marco Silva,18901,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589179
9,sáb 25/09/2021,11:00,Bristol City,Fulham,4-2-3-1,Marco Silva,19326,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589192
10,qua 29/09/2021,15:45,Fulham,Swansea,4-2-3-1,Marco Silva,16113,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589218
11,sáb 02/10/2021,08:30,Coventry City,Fulham,4-3-3 ofensivo,Marco Silva,18497,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589237
12,sáb 16/10/2021,08:30,Fulham,QPR,4-2-3-1,Marco Silva,18371,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589246
13,qua 20/10/2021,15:45,Fulham,Cardiff,4-2-3-1,Marco Silva,15789,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589867
14,dom 24/10/2021,11:00,Nott'm Forest,Fulham,4-3-3 ofensivo,Marco Silva,27470,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589886
15,sáb 30/10/2021,08:30,Fulham,West Brom,4-3-3 ofensivo,Marco Silva,18103,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589891
16,qua 03/11/2021,16:45,Blackburn,Fulham,4-2-3-1,Marco Silva,9326,0:7,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592344
17,sáb 06/11/2021,12:00,Peterborough,Fulham,4-2-3-1,Marco Silva,11214,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592334
18,sáb 20/11/2021,12:00,Fulham,Barnsley FC,4-1-4-1,Marco Silva,18047,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592350
19,qua 24/11/2021,16:45,Fulham,Derby,4-2-3-1,Marco Silva,16468,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592410
20,sáb 27/11/2021,09:30,Preston NE,Fulham,4-2-3-1,Marco Silva,9838,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592391
21,sex 03/12/2021,16:45,Fulham,Bournemouth,4-2-3-1,Marco Silva,19020,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592402
22,sáb 11/12/2021,12:00,Luton,Fulham,4-3-3 ofensivo,Marco Silva,9992,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592377
23,seg 20/12/2021,16:45,Fulham,Sheff Utd,4-3-3 ofensivo,Marco Silva,17308,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592366
24,ter 18/01/2022,16:45,Fulham,Birmingham,4-2-3-1,Marco Silva,16491,6:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592567
25,ter 11/01/2022,17:00,Reading,Fulham,4-2-3-1,Marco Silva,11472,0:7,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592559
26,ter 08/03/2022,16:45,Swansea,Fulham,4-2-3-1,Marco Silva,17012,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592430
