round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 07/08/2021,11:00,Preston NE,Hull City,3-5-2 plano,Frankie McAvoy,12452,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587433
2,sáb 14/08/2021,11:00,Reading,Preston NE,5-3-2,Frankie McAvoy,12156,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587446
3,ter 17/08/2021,15:45,Huddersfield,Preston NE,3-5-2,Frankie McAvoy,15278,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587451
4,sáb 21/08/2021,11:00,Preston NE,Peterborough,5-3-2,Frankie McAvoy,9952,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587486
5,sáb 28/08/2021,11:00,Preston NE,Swansea,5-3-2,Frankie McAvoy,10180,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587501
6,sáb 11/09/2021,11:00,Bristol City,Preston NE,5-3-2,Frankie McAvoy,17967,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3587509
7,ter 14/09/2021,15:45,Sheff Utd,Preston NE,5-3-2,Frankie McAvoy,25463,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589158
8,sáb 18/09/2021,11:00,Preston NE,West Brom,5-3-2,Frankie McAvoy,13850,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589186
9,sáb 25/09/2021,11:00,Birmingham,Preston NE,3-5-2 plano,Frankie McAvoy,14925,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589189
10,ter 28/09/2021,15:45,Preston NE,Stoke,5-3-2,Frankie McAvoy,10930,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589214
11,sáb 02/10/2021,11:00,QPR,Preston NE,3-5-2 plano,Frankie McAvoy,13624,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589242
12,sáb 16/10/2021,11:00,Preston NE,Derby,5-3-2,Frankie McAvoy,18092,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589251
13,qua 20/10/2021,15:45,Preston NE,Coventry City,5-3-2,Frankie McAvoy,10837,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589874
14,sáb 23/10/2021,11:00,Blackpool,Preston NE,5-3-2,Frankie McAvoy,13946,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589880
15,sáb 30/10/2021,11:00,Preston NE,Luton,3-4-1-2,Frankie McAvoy,11059,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3589895
16,qua 03/11/2021,16:45,Bournemouth,Preston NE,3-4-1-2,Frankie McAvoy,8578,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592342
17,sáb 06/11/2021,12:00,Nott'm Forest,Preston NE,3-4-1-2,Frankie McAvoy,27129,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592333
18,sáb 20/11/2021,12:00,Preston NE,Cardiff,3-4-1-2,Frankie McAvoy,10749,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592354
19,ter 23/11/2021,16:45,Middlesbrough,Preston NE,3-4-1-2,Frankie McAvoy,18013,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592411
20,sáb 27/11/2021,09:30,Preston NE,Fulham,3-4-1-2,Frankie McAvoy,9838,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592391
21,sáb 04/12/2021,12:00,Blackburn,Preston NE,3-4-1-2,Frankie McAvoy,18487,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592397
22,sáb 11/12/2021,12:00,Preston NE,Barnsley FC,3-4-1-2,Ryan Lowe,11106,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592379
23,ter 01/02/2022,12:00,Millwall,Preston NE,5-3-2,Ryan Lowe,10183,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592368
24,ter 18/01/2022,16:45,Preston NE,Sheff Utd,3-5-2 plano,Ryan Lowe,12954,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592574
25,qua 26/01/2022,17:00,West Brom,Preston NE,3-4-1-2,Ryan Lowe,20776,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592563
26,seg 03/01/2022,12:00,Stoke,Preston NE,3-5-2 plano,Ryan Lowe,20002,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592429
27,sáb 15/01/2022,12:00,Preston NE,Birmingham,3-4-1-2,Ryan Lowe,12821,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592665
28,sáb 22/01/2022,12:00,Swansea,Preston NE,3-4-1-2,Ryan Lowe,16842,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592514
29,sáb 29/01/2022,12:00,Preston NE,Bristol City,3-4-1-2,Ryan Lowe,11936,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592526
