round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 10/03/2012,02:00,C'dole Sapporo,Júbilo Iwata,4-2-3-1,Nobuhiro Ishizaki,25353,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1178248
2,sáb 17/03/2012,05:00,Vissel Kobe,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,14036,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1178851
3,sáb 24/03/2012,04:00,C'dole Sapporo,Urawa Reds,4-2-3-1,Nobuhiro Ishizaki,20192,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1185977
4,sáb 31/03/2012,05:30,Shimizu S-Pulse,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,14216,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1185987
5,sáb 07/04/2012,02:00,C'dole Sapporo,Kashiwa Reysol,4-2-3-1,Nobuhiro Ishizaki,14023,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187180
6,sáb 14/04/2012,04:00,Nagoya Grampus,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,12896,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187185
7,sáb 21/04/2012,02:00,C'dole Sapporo,Kawasaki Front.,4-2-3-1,Nobuhiro Ishizaki,11119,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187192
8,sáb 28/04/2012,04:00,Omiya Ardija,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,8435,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187213
9,qui 03/05/2012,02:00,C'dole Sapporo,Cerezo Osaka,4-4-2 duplo 6,Nobuhiro Ishizaki,9596,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187216
10,dom 06/05/2012,01:00,Yokohama F. M.,C'dole Sapporo,4-4-2 duplo 6,Nobuhiro Ishizaki,24183,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187219
11,sáb 12/05/2012,01:00,C'dole Sapporo,FC Tokyo,4-4-2 duplo 6,Nobuhiro Ishizaki,10816,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187234
12,sáb 19/05/2012,05:00,Kashima Antlers,C'dole Sapporo,4-4-2 duplo 6,Nobuhiro Ishizaki,13915,7:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187249
13,sáb 26/05/2012,02:00,C'dole Sapporo,Sanf. Hiroshima,4-2-3-1,Nobuhiro Ishizaki,6870,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187258
14,sáb 16/06/2012,01:30,Vegalta Sendai,C'dole Sapporo,4-4-2 duplo 6,Nobuhiro Ishizaki,13554,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187266
15,sáb 23/06/2012,02:00,C'dole Sapporo,Gamba Osaka,4-4-2 duplo 6,Nobuhiro Ishizaki,14759,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187338
16,sáb 30/06/2012,07:00,Sagan Tosu,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,10345,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187349
17,sáb 07/07/2012,02:00,C'dole Sapporo,Albirex Niigata,4-2-3-1,Nobuhiro Ishizaki,7673,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187350
18,sáb 14/07/2012,07:00,Júbilo Iwata,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,11367,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187275
19,sáb 28/07/2012,04:00,C'dole Sapporo,Nagoya Grampus,4-2-3-1,Nobuhiro Ishizaki,8360,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187287
20,sáb 04/08/2012,07:00,Cerezo Osaka,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,8226,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187299
21,sáb 11/08/2012,02:00,C'dole Sapporo,Vegalta Sendai,4-2-3-1,Nobuhiro Ishizaki,11945,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187297
22,sáb 18/08/2012,02:00,C'dole Sapporo,Vissel Kobe,4-2-3-1,Nobuhiro Ishizaki,8117,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187310
23,sáb 25/08/2012,07:00,Gamba Osaka,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,15056,7:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187320
24,sáb 01/09/2012,02:00,C'dole Sapporo,Shimizu S-Pulse,4-2-3-1,Nobuhiro Ishizaki,10783,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187329
25,sáb 15/09/2012,07:00,Kashiwa Reysol,C'dole Sapporo,4-2-3-1,Nobuhiro Ishizaki,10445,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187397
26,sáb 22/09/2012,02:00,C'dole Sapporo,Omiya Ardija,3-4-2-1,Nobuhiro Ishizaki,7474,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187393
27,sáb 29/09/2012,07:00,Kawasaki Front.,C'dole Sapporo,3-4-2-1,Nobuhiro Ishizaki,20909,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187378
28,sáb 06/10/2012,07:00,Urawa Reds,C'dole Sapporo,3-4-2-1,Nobuhiro Ishizaki,30692,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187431
29,sáb 20/10/2012,04:00,C'dole Sapporo,Kashima Antlers,3-4-2-1,Nobuhiro Ishizaki,7208,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187421
30,sáb 27/10/2012,06:00,FC Tokyo,C'dole Sapporo,3-4-2-1,Nobuhiro Ishizaki,20696,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187410
31,qua 07/11/2012,08:00,Sanf. Hiroshima,C'dole Sapporo,3-4-2-1,Nobuhiro Ishizaki,13204,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187374
32,sáb 17/11/2012,06:00,C'dole Sapporo,Sagan Tosu,3-4-2-1,Nobuhiro Ishizaki,10266,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187372
33,sáb 24/11/2012,06:30,C'dole Sapporo,Yokohama F. M.,3-4-2-1,Nobuhiro Ishizaki,19587,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187443
34,sáb 01/12/2012,04:30,Albirex Niigata,C'dole Sapporo,3-4-2-1,Nobuhiro Ishizaki,28055,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1187435
