round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 02/03/2013,02:00,Vegalta Sendai,Ventforet Kofu,4-4-2 duplo 6,Makoto Teguramori,16353,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2286658
2,sáb 09/03/2013,02:00,Kashima Antlers,Vegalta Sendai,4-4-2 duplo 6,Makoto Teguramori,19981,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2287814
3,sáb 16/03/2013,02:00,Vegalta Sendai,Kashiwa Reysol,4-4-2 duplo 6,Makoto Teguramori,13232,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296348
4,sáb 30/03/2013,01:00,Cerezo Osaka,Vegalta Sendai,4-2-3-1,Makoto Teguramori,13721,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296335
5,sáb 06/04/2013,02:00,Vegalta Sendai,Albirex Niigata,4-2-3-1,Makoto Teguramori,12883,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296324
6,sáb 13/04/2013,02:00,Vegalta Sendai,FC Tokyo,4-4-2 duplo 6,Makoto Teguramori,13655,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296378
7,sáb 20/04/2013,01:00,Kawasaki Front.,Vegalta Sendai,4-4-2 duplo 6,Makoto Teguramori,14739,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296371
8,dom 28/04/2013,04:00,Vegalta Sendai,Sagan Tosu,4-4-2 duplo 6,Makoto Teguramori,14359,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296356
9,qua 29/05/2013,07:30,Urawa Reds,Vegalta Sendai,4-4-2 duplo 6,Makoto Teguramori,24184,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296402
10,seg 06/05/2013,07:00,Nagoya Grampus,Vegalta Sendai,4-4-2 duplo 6,Makoto Teguramori,12075,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2296400
