round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 06/03/2010,01:00,Avispa Fukuoka,Ventforet Kofu,4-4-2 duplo 6,Yoshiyuki Shinoda,7653,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998765
2,sáb 13/03/2010,04:00,C'dole Sapporo,Avispa Fukuoka,4-4-2 duplo 6,Yoshiyuki Shinoda,21071,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002702
3,dom 21/03/2010,01:00,Kashiwa Reysol,Avispa Fukuoka,4-4-2 duplo 6,Yoshiyuki Shinoda,7115,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003724
4,dom 28/03/2010,00:00,Avispa Fukuoka,Kataller Toyama,4-4-2 duplo 6,Yoshiyuki Shinoda,8214,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004045
5,sáb 03/04/2010,01:00,Tokyo Verdy,Avispa Fukuoka,4-4-2 duplo 6,Yoshiyuki Shinoda,3145,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004099
6,dom 11/04/2010,04:00,Avispa Fukuoka,FC Gifu,4-4-2 duplo 6,Yoshiyuki Shinoda,5012,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004115
7,sáb 17/04/2010,04:00,Mito HollyHock,Avispa Fukuoka,4-4-2 duplo 6,Yoshiyuki Shinoda,6069,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004308
8,dom 25/04/2010,01:00,Avispa Fukuoka,Sagan Tosu,4-4-2 duplo 6,Yoshiyuki Shinoda,8715,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004319
9,qui 29/04/2010,04:00,Ehime FC,Avispa Fukuoka,4-4-2 duplo 6,Yoshiyuki Shinoda,3029,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004329
11,qua 05/05/2010,02:00,Avispa Fukuoka,Roasso Kumamoto,4-4-2 duplo 6,Yoshiyuki Shinoda,8850,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1017545
12,dom 09/05/2010,02:00,JEF Utd. Chiba,Avispa Fukuoka,4-4-2 duplo 6,Yoshiyuki Shinoda,12163,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1020219
13,dom 16/05/2010,01:00,Avispa Fukuoka,Yokohama FC,4-4-2 duplo 6,Yoshiyuki Shinoda,6137,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1020230
