round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 07/03/2010,01:00,FC Gifu,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,4050,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998768
3,sáb 20/03/2010,01:00,Kataller Toyama,Oita Trinita,4-4-2,Hiroshi Sowa,10726,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003720
4,dom 28/03/2010,00:00,Avispa Fukuoka,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,8214,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004045
5,dom 04/04/2010,04:00,Kataller Toyama,Yokohama FC,4-4-2 duplo 6,Hiroshi Sowa,5646,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004105
6,dom 11/04/2010,04:00,Kataller Toyama,Gir. Kitakyushu,4-4-2 duplo 6,Hiroshi Sowa,2542,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004114
7,dom 18/04/2010,04:00,Ventforet Kofu,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,10316,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004313
8,dom 25/04/2010,01:00,Kataller Toyama,Tokushima Vort.,4-4-2 duplo 6,Hiroshi Sowa,3026,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004318
9,qui 29/04/2010,07:30,Thespa Kusatsu,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,2703,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004332
10,dom 02/05/2010,07:00,Kataller Toyama,Mito HollyHock,4-4-2 duplo 6,Hiroshi Sowa,3664,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004341
11,qua 05/05/2010,06:00,JEF Utd. Chiba,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,10313,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1017547
12,dom 09/05/2010,01:00,Kataller Toyama,Fagiano Okayama,4-4-2 duplo 6,Hiroshi Sowa,3343,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1020217
13,dom 16/05/2010,04:00,Tochigi SC,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,3330,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1020231
14,sáb 22/05/2010,01:00,Kataller Toyama,Kashiwa Reysol,4-4-2 duplo 6,Hiroshi Sowa,4555,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1020233
15,dom 30/05/2010,01:00,C'dole Sapporo,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,7614,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1020247
16,sáb 05/06/2010,04:00,Kataller Toyama,Sagan Tosu,4-4-2 duplo 6,Hiroshi Sowa,3139,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022154
17,sáb 12/06/2010,01:00,Tokyo Verdy,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,3316,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022161
18,sáb 17/07/2010,06:00,Ehime FC,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,5867,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1028796
19,sáb 24/07/2010,06:00,Kataller Toyama,Roasso Kumamoto,4-4-2 duplo 6,Hiroshi Sowa,3427,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1030565
20,dom 01/08/2010,06:00,Kataller Toyama,FC Gifu,4-5-1,Hiroshi Sowa,6169,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1030578
21,sáb 07/08/2010,07:00,Oita Trinita,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,9344,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1030727
22,dom 15/08/2010,06:00,Kataller Toyama,Thespa Kusatsu,4-4-2 duplo 6,Hiroshi Sowa,3767,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1030746
23,dom 22/08/2010,07:00,Sagan Tosu,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,5105,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1030764
24,sáb 28/08/2010,19:00,Kataller Toyama,Avispa Fukuoka,4-4-2 duplo 6,Hiroshi Sowa,3921,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1030961
25,sáb 11/09/2010,07:00,Kashiwa Reysol,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,7456,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1030965
26,sáb 18/09/2010,01:00,Mito HollyHock,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,1844,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1031104
27,qui 23/09/2010,04:00,Kataller Toyama,Ventforet Kofu,4-4-2 duplo 6,Hiroshi Sowa,3319,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1031116
28,dom 26/09/2010,01:00,Yokohama FC,Kataller Toyama,4-4-2 duplo 6,Hiroshi Sowa,10809,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1031126
