round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 02/03/2014,01:00,FC Gifu,Kamatam. Sanuki,4-2-3-1,Makoto Kitano,11069,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2422147
2,dom 09/03/2014,01:00,Kamatam. Sanuki,Júbilo Iwata,4-4-2 duplo 6,Makoto Kitano,10421,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2422162
3,dom 16/03/2014,01:00,Oita Trinita,Kamatam. Sanuki,4-2-3-1,Makoto Kitano,7053,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2447677
4,sáb 22/03/2014,01:00,Kamatam. Sanuki,Matsumoto Yama.,3-4-2-1,Makoto Kitano,2916,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2449160
5,dom 30/03/2014,01:00,Gir. Kitakyushu,Kamatam. Sanuki,4-4-2 duplo 6,Makoto Kitano,1573,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2449161
6,sáb 05/04/2014,01:00,Kamatam. Sanuki,Tochigi SC,4-4-2 duplo 6,Makoto Kitano,1450,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2451983
7,dom 13/04/2014,07:00,Roasso Kumamoto,Kamatam. Sanuki,4-4-2 duplo 6,Makoto Kitano,6574,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2453206
8,dom 20/04/2014,04:00,Kamatam. Sanuki,Avispa Fukuoka,4-4-2 duplo 6,Makoto Kitano,2015,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2453207
9,sáb 26/04/2014,04:00,JEF Utd. Chiba,Kamatam. Sanuki,4-4-2 duplo 6,Makoto Kitano,6581,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2456366
10,ter 29/04/2014,01:00,Kamatam. Sanuki,Yokohama FC,4-4-2 duplo 6,Makoto Kitano,3807,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2456367
11,sáb 03/05/2014,06:00,Kyoto Sanga,Kamatam. Sanuki,3-4-2-1,Makoto Kitano,7340,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2456926
12,ter 06/05/2014,03:00,Kamatam. Sanuki,Tokyo Verdy,3-4-2-1,Makoto Kitano,3388,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2456965
13,dom 11/05/2014,04:00,Thespaku. Gunma,Kamatam. Sanuki,3-4-2-1,Makoto Kitano,2929,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2457458
14,dom 18/05/2014,01:00,Ehime FC,Kamatam. Sanuki,4-2-3-1,Makoto Kitano,7166,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2458018
15,sáb 24/05/2014,07:00,Kamatam. Sanuki,Kataller Toyama,4-4-2 duplo 6,Makoto Kitano,2772,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2458025
