position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Shonan Bellmare,42,24,11,7,58:36,22,83,https://www.transfermarkt.com.br/shonan-bellmare/spielplan/verein/8457/saison_id/2016
2,V-Varen Nagasaki,42,24,8,10,59:41,18,80,https://www.transfermarkt.com.br/v-varen-nagasaki/spielplan/verein/23581/saison_id/2016
3,Nagoya Grampus,42,23,6,13,85:65,20,75,https://www.transfermarkt.com.br/nagoya-grampus/spielplan/verein/1066/saison_id/2016
4,Avispa Fukuoka,42,21,11,10,54:36,18,74,https://www.transfermarkt.com.br/avispa-fukuoka/spielplan/verein/9597/saison_id/2016
5,Tokyo Verdy,42,20,10,12,64:49,15,70,https://www.transfermarkt.com.br/tokyo-verdy/spielplan/verein/3734/saison_id/2016
6,JEF United Chiba,42,20,8,14,70:58,12,68,https://www.transfermarkt.com.br/jef-united-chiba/spielplan/verein/672/saison_id/2016
7,Tokushima Vortis,42,18,13,11,71:45,26,67,https://www.transfermarkt.com.br/tokushima-vortis/spielplan/verein/17832/saison_id/2016
8,Matsumoto Yamaga,42,19,9,14,61:45,16,66,https://www.transfermarkt.com.br/matsumoto-yamaga/spielplan/verein/25765/saison_id/2016
9,Oita Trinita,42,17,13,12,58:50,8,64,https://www.transfermarkt.com.br/oita-trinita/spielplan/verein/3935/saison_id/2016
10,Yokohama FC,42,17,12,13,60:49,11,63,https://www.transfermarkt.com.br/yokohama-fc/spielplan/verein/943/saison_id/2016
11,Montedio Yamagata,42,14,17,11,45:47,-2,59,https://www.transfermarkt.com.br/montedio-yamagata/spielplan/verein/16190/saison_id/2016
12,Kyoto Sanga,42,14,15,13,55:47,8,57,https://www.transfermarkt.com.br/kyoto-sanga/spielplan/verein/593/saison_id/2016
13,Fagiano Okayama,42,13,16,13,44:49,-5,55,https://www.transfermarkt.com.br/fagiano-okayama/spielplan/verein/22171/saison_id/2016
14,Mito HollyHock,42,14,12,16,45:48,-3,54,https://www.transfermarkt.com.br/mito-hollyhock/spielplan/verein/21975/saison_id/2016
15,Ehime FC,42,14,9,19,54:68,-14,51,https://www.transfermarkt.com.br/ehime-fc/spielplan/verein/20682/saison_id/2016
16,Machida Zelvia,42,11,17,14,53:53,0,50,https://www.transfermarkt.com.br/machida-zelvia/spielplan/verein/23568/saison_id/2016
17,Zweigen Kanazawa,42,13,10,19,49:67,-18,49,https://www.transfermarkt.com.br/zweigen-kanazawa/spielplan/verein/24321/saison_id/2016
18,FC Gifu,42,11,13,18,56:68,-12,46,https://www.transfermarkt.com.br/fc-gifu/spielplan/verein/13600/saison_id/2016
19,Kamatamare Sanuki,42,8,14,20,41:61,-20,38,https://www.transfermarkt.com.br/kamatamare-sanuki/spielplan/verein/28522/saison_id/2016
20,Renofa Yamaguchi,42,11,5,26,48:69,-21,38,https://www.transfermarkt.com.br/renofa-yamaguchi/spielplan/verein/28730/saison_id/2016
21,Roasso Kumamoto,42,9,10,23,36:59,-23,37,https://www.transfermarkt.com.br/roasso-kumamoto/spielplan/verein/22175/saison_id/2016
22,Thespakusatsu Gunma,42,5,5,32,32:88,-56,20,https://www.transfermarkt.com.br/thespakusatsu-gunma/spielplan/verein/22178/saison_id/2016
