round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 28/02/2021,01:00,SC Sagamihara,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,2470,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3505169
2,dom 07/03/2021,02:00,Kyoto Sanga,Matsumoto Yama.,4-3-3 ofensivo,Gwi-jae Jo,6556,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509137
3,qua 24/03/2021,07:00,Omiya Ardija,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,2531,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509159
4,dom 21/03/2021,02:00,Kyoto Sanga,Júbilo Iwata,4-3-3 ofensivo,Gwi-jae Jo,8024,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509127
5,dom 28/03/2021,00:00,Blaublitz Akita,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,3015,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509167
6,dom 04/04/2021,02:00,Kyoto Sanga,JEF Utd. Chiba,4-3-3 ofensivo,Gwi-jae Jo,4473,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509152
7,dom 11/04/2021,02:00,Machida Zelvia,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,2160,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509120
8,sáb 17/04/2021,02:00,Kyoto Sanga,Gir. Kitakyushu,4-3-3 ofensivo,Gwi-jae Jo,3320,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509282
9,qua 21/04/2021,06:00,Tokyo Verdy,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,1789,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509233
10,dom 25/04/2021,02:00,Reno. Yamaguchi,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,2946,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509362
11,sáb 01/05/2021,02:00,Kyoto Sanga,Ehime FC,4-3-3 ofensivo,Gwi-jae Jo,x,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509227
12,qua 05/05/2021,06:00,FC Ryukyu,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,2437,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509210
13,dom 09/05/2021,02:00,Kyoto Sanga,Monte. Yamagata,4-3-3 ofensivo,Gwi-jae Jo,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509307
14,dom 16/05/2021,02:00,Kyoto Sanga,Mito HollyHock,4-3-3 ofensivo,Gwi-jae Jo,3654,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509274
15,dom 23/05/2021,02:00,Albirex Niigata,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,12684,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509216
16,dom 30/05/2021,02:00,Kyoto Sanga,Ventforet Kofu,4-3-3 ofensivo,Gwi-jae Jo,4781,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509686
17,dom 06/06/2021,02:00,Tochigi SC,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,4978,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509329
18,dom 13/06/2021,02:00,Kyoto Sanga,Thespaku. Gunma,4-3-3 ofensivo,Gwi-jae Jo,4139,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509336
19,sáb 19/06/2021,07:00,Zweig. Kanazawa,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,3666,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509258
20,sáb 26/06/2021,06:30,Kyoto Sanga,Fagiano Okayama,4-3-3 ofensivo,Gwi-jae Jo,4669,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509192
21,sáb 03/07/2021,06:30,Kyoto Sanga,V-V. Nagasaki,4-3-3 ofensivo,Gwi-jae Jo,4466,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509249
22,dom 11/07/2021,07:00,Gir. Kitakyushu,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,2394,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509188
23,sáb 17/07/2021,06:30,Kyoto Sanga,Albirex Niigata,4-3-3 ofensivo,Gwi-jae Jo,7949,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509346
24,seg 09/08/2021,06:30,Kyoto Sanga,Machida Zelvia,4-3-3 ofensivo,Gwi-jae Jo,4331,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509314
25,ter 07/09/2021,07:00,Matsumoto Yama.,Kyoto Sanga,4-3-3 ofensivo,Gwi-jae Jo,3904,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509368
