round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 28/02/2021,03:30,Reno. Yamaguchi,Matsumoto Yama.,3-1-4-2,Kei Shibata,4862,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3505170
2,dom 07/03/2021,02:00,Kyoto Sanga,Matsumoto Yama.,3-1-4-2,Kei Shibata,6556,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509137
3,dom 14/03/2021,02:00,Matsumoto Yama.,Monte. Yamagata,3-1-4-2,Kei Shibata,7718,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509157
4,dom 21/03/2021,02:00,Matsumoto Yama.,JEF Utd. Chiba,3-1-4-2,Kei Shibata,4143,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509126
5,dom 28/03/2021,01:00,Mito HollyHock,Matsumoto Yama.,3-1-4-2,Kei Shibata,2127,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509174
6,dom 04/04/2021,02:00,Matsumoto Yama.,Blaublitz Akita,3-4-2-1,Kei Shibata,4825,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509151
7,sáb 10/04/2021,02:00,Júbilo Iwata,Matsumoto Yama.,3-4-2-1,Kei Shibata,5392,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509115
8,sáb 17/04/2021,02:00,Matsumoto Yama.,Ventforet Kofu,3-4-2-1,Kei Shibata,4822,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509280
9,qua 21/04/2021,07:00,Ehime FC,Matsumoto Yama.,3-1-4-2,Kei Shibata,915,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509242
10,dom 25/04/2021,02:00,Matsumoto Yama.,Thespaku. Gunma,3-4-2-1,Kei Shibata,6770,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509359
11,sáb 01/05/2021,02:00,Gir. Kitakyushu,Matsumoto Yama.,3-1-4-2,Kei Shibata,2739,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509228
12,qua 05/05/2021,03:00,Matsumoto Yama.,SC Sagamihara,3-1-4-2,Kei Shibata,5820,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509208
13,dom 09/05/2021,02:00,Albirex Niigata,Matsumoto Yama.,3-4-2-1,Kei Shibata,13101,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509305
14,sáb 15/05/2021,02:00,Matsumoto Yama.,Zweig. Kanazawa,3-4-2-1,Kei Shibata,6601,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509267
15,dom 23/05/2021,02:00,Tochigi SC,Matsumoto Yama.,3-4-2-1,Kei Shibata,7461,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509214
16,dom 30/05/2021,00:00,Matsumoto Yama.,Fagiano Okayama,3-4-2-1,Kei Shibata,6710,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509683
17,sáb 05/06/2021,02:00,Matsumoto Yama.,Machida Zelvia,3-4-2-1,Kei Shibata,5977,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509324
18,dom 13/06/2021,02:00,V-V. Nagasaki,Matsumoto Yama.,3-1-4-2,Kei Shibata,4832,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509337
19,sáb 19/06/2021,06:00,Matsumoto Yama.,Omiya Ardija,3-4-2-1,Kei Shibata,4933,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509257
20,sáb 26/06/2021,06:30,FC Ryukyu,Matsumoto Yama.,3-4-2-1,Hiroshi Nanami,x,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509193
21,sáb 03/07/2021,06:00,Matsumoto Yama.,Tokyo Verdy,3-4-1-2,Hiroshi Nanami,6890,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509248
22,dom 11/07/2021,06:00,Monte. Yamagata,Matsumoto Yama.,3-4-1-2,Hiroshi Nanami,5383,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509179
23,sáb 17/07/2021,06:00,Matsumoto Yama.,Mito HollyHock,3-4-1-2,Hiroshi Nanami,7569,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509345
24,seg 09/08/2021,06:30,Blaublitz Akita,Matsumoto Yama.,3-4-1-2,Hiroshi Nanami,3703,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509313
25,ter 07/09/2021,07:00,Matsumoto Yama.,Kyoto Sanga,3-4-2-1,Hiroshi Nanami,3904,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509368
26,dom 22/08/2021,06:00,Matsumoto Yama.,Ehime FC,3-4-1-2,Hiroshi Nanami,5531,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509292
27,dom 29/08/2021,07:00,Omiya Ardija,Matsumoto Yama.,3-4-1-2,Hiroshi Nanami,3615,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509696
28,sáb 04/09/2021,06:00,Matsumoto Yama.,Júbilo Iwata,3-4-2-1,Hiroshi Nanami,4922,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509705
29,sáb 11/09/2021,06:00,Tokyo Verdy,Matsumoto Yama.,3-4-2-1,Hiroshi Nanami,3505,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509714
