round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 28/02/2021,02:00,Mito HollyHock,Omiya Ardija,4-3-3 ofensivo,Tadahiro Akiba,3312,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3505163
2,sáb 06/03/2021,02:00,Gir. Kitakyushu,Mito HollyHock,4-3-3 ofensivo,Tadahiro Akiba,2504,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509140
3,sáb 13/03/2021,02:00,Júbilo Iwata,Mito HollyHock,4-3-3 ofensivo,Tadahiro Akiba,3878,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509160
4,dom 21/03/2021,04:00,Mito HollyHock,Machida Zelvia,4-3-3 ofensivo,Tadahiro Akiba,1400,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509130
5,dom 28/03/2021,01:00,Mito HollyHock,Matsumoto Yama.,4-3-3 ofensivo,Tadahiro Akiba,2127,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509174
6,dom 04/04/2021,03:00,Tokyo Verdy,Mito HollyHock,4-3-3 ofensivo,Tadahiro Akiba,2197,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509155
7,dom 11/04/2021,02:00,Mito HollyHock,FC Ryukyu,4-3-3 ofensivo,Tadahiro Akiba,2401,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509118
8,sáb 17/04/2021,04:00,Fagiano Okayama,Mito HollyHock,4-3-3 ofensivo,Tadahiro Akiba,2902,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509285
9,qua 21/04/2021,07:00,Mito HollyHock,JEF Utd. Chiba,4-3-3 ofensivo,Tadahiro Akiba,1677,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509235
10,dom 25/04/2021,01:00,Blaublitz Akita,Mito HollyHock,4-3-3 ofensivo,Tadahiro Akiba,1319,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509355
11,dom 02/05/2021,02:00,Mito HollyHock,V-V. Nagasaki,4-3-3 ofensivo,Tadahiro Akiba,2799,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509230
12,qua 05/05/2021,02:00,Zweig. Kanazawa,Mito HollyHock,3-4-3 plano,Tadahiro Akiba,1548,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509202
13,dom 09/05/2021,02:00,Mito HollyHock,Tochigi SC,4-4-2 duplo 6,Tadahiro Akiba,3064,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509302
14,dom 16/05/2021,02:00,Kyoto Sanga,Mito HollyHock,3-1-4-2,Tadahiro Akiba,3654,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509274
15,dom 23/05/2021,02:00,Mito HollyHock,Ventforet Kofu,4-3-3 ofensivo,Tadahiro Akiba,2341,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509213
16,dom 30/05/2021,05:00,Ehime FC,Mito HollyHock,4-3-3 ofensivo,Tadahiro Akiba,1432,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509688
17,sex 04/06/2021,07:00,Thespaku. Gunma,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,1061,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509321
18,dom 13/06/2021,02:00,Mito HollyHock,SC Sagamihara,4-4-2 duplo 6,Tadahiro Akiba,2834,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509333
19,dom 20/06/2021,06:00,Mito HollyHock,Monte. Yamagata,4-4-2 duplo 6,Tadahiro Akiba,2150,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509262
20,sáb 26/06/2021,06:00,Albirex Niigata,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,13413,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509199
21,sáb 03/07/2021,06:00,Mito HollyHock,Reno. Yamaguchi,4-3-3 ofensivo,Tadahiro Akiba,3637,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509244
22,dom 11/07/2021,07:30,Machida Zelvia,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,1670,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509185
23,sáb 17/07/2021,06:00,Matsumoto Yama.,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,7569,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509345
24,seg 09/08/2021,07:00,Mito HollyHock,Tokyo Verdy,4-4-2 duplo 6,Tadahiro Akiba,2758,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509316
25,sáb 14/08/2021,06:30,FC Ryukyu,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,x,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509369
26,dom 22/08/2021,07:00,Mito HollyHock,Kyoto Sanga,4-4-2 duplo 6,Tadahiro Akiba,1922,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509296
27,sáb 28/08/2021,07:00,Mito HollyHock,Albirex Niigata,4-4-2 duplo 6,Tadahiro Akiba,2217,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509692
28,sáb 04/09/2021,07:00,Monte. Yamagata,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,4515,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509702
29,sáb 11/09/2021,06:00,Mito HollyHock,Blaublitz Akita,4-4-2 duplo 6,Tadahiro Akiba,1833,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509712
30,sáb 18/09/2021,06:00,Tochigi SC,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,2676,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509724
31,dom 26/09/2021,02:00,Mito HollyHock,Zweig. Kanazawa,4-4-2 duplo 6,Tadahiro Akiba,2249,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509741
32,dom 03/10/2021,01:00,SC Sagamihara,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,2225,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509752
33,dom 10/10/2021,02:00,Mito HollyHock,Thespaku. Gunma,4-4-2 duplo 6,Tadahiro Akiba,3641,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509762
34,dom 17/10/2021,02:00,Reno. Yamaguchi,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,2820,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509777
35,dom 24/10/2021,02:00,Mito HollyHock,Fagiano Okayama,4-4-2 duplo 6,Tadahiro Akiba,3507,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509783
36,sáb 30/10/2021,02:00,V-V. Nagasaki,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,5022,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509796
37,qua 03/11/2021,02:00,Mito HollyHock,Gir. Kitakyushu,4-4-2 duplo 6,Tadahiro Akiba,2014,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509801
38,dom 07/11/2021,02:00,JEF Utd. Chiba,Mito HollyHock,3-1-4-2,Tadahiro Akiba,4700,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509815
39,dom 14/11/2021,02:00,Mito HollyHock,Júbilo Iwata,3-1-4-2,Tadahiro Akiba,4574,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509828
40,dom 21/11/2021,02:00,Omiya Ardija,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,5424,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509840
41,dom 28/11/2021,02:00,Mito HollyHock,Ehime FC,4-4-2 duplo 6,Tadahiro Akiba,4168,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509846
42,dom 05/12/2021,01:00,Ventforet Kofu,Mito HollyHock,4-4-2 duplo 6,Tadahiro Akiba,5791,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3509860
