round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/02/2022,02:00,JEF Utd. Chiba,Iwate Grulla M.,3-4-2-1,Yutaka Akita,5588,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3724343
2,dom 27/02/2022,02:00,Machida Zelvia,Iwate Grulla M.,3-4-2-1,Yutaka Akita,2232,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746341
3,sáb 05/03/2022,04:00,FC Ryukyu,Iwate Grulla M.,3-4-2-1,Yutaka Akita,1249,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746327
4,sáb 12/03/2022,01:00,Vegalta Sendai,Iwate Grulla M.,3-4-2-1,Yutaka Akita,7207,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746444
5,dom 20/03/2022,02:00,Iwate Grulla M.,Tochigi SC,3-4-2-1,Tetsuji Nakamikawa,1572,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746394
6,sáb 26/03/2022,01:00,Iwate Grulla M.,Reno. Yamaguchi,3-4-2-1,Yutaka Akita,681,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746369
7,qua 30/03/2022,07:00,Fagiano Okayama,Iwate Grulla M.,3-1-4-2,Yutaka Akita,4253,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746353
8,dom 03/04/2022,01:00,Blaublitz Akita,Iwate Grulla M.,3-1-4-2,Yutaka Akita,1903,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746400
9,sáb 09/04/2022,01:00,Iwate Grulla M.,Thespaku. Gunma,3-4-2-1,Yutaka Akita,1142,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746378
10,sáb 16/04/2022,01:00,Iwate Grulla M.,Oita Trinita,3-1-4-2,Yutaka Akita,1319,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746422
11,qua 20/04/2022,07:00,Tokushima Vort.,Iwate Grulla M.,3-4-2-1,Yutaka Akita,2316,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746356
12,qua 27/04/2022,07:00,Albirex Niigata,Iwate Grulla M.,3-4-2-1,Yutaka Akita,7556,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746437
13,dom 01/05/2022,01:00,Iwate Grulla M.,Roasso Kumamoto,3-4-2-1,Yutaka Akita,849,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746459
14,qua 04/05/2022,01:00,Iwate Grulla M.,V-V. Nagasaki,3-4-2-1,Yutaka Akita,1856,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746466
15,qua 18/05/2022,07:00,Omiya Ardija,Iwate Grulla M.,3-4-2-1,Yutaka Akita,3542,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746412
16,qua 15/06/2022,06:00,Iwate Grulla M.,Monte. Yamagata,3-4-2-1,Yutaka Akita,1087,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746477
17,sáb 21/05/2022,04:00,Mito HollyHock,Iwate Grulla M.,3-4-2-1,Yutaka Akita,2678,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746659
18,qua 25/05/2022,06:00,Iwate Grulla M.,Yokohama FC,3-4-2-1,Yutaka Akita,2249,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746521
19,dom 29/05/2022,07:00,Zweig. Kanazawa,Iwate Grulla M.,3-4-2-1,Yutaka Akita,2040,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746729
20,dom 05/06/2022,06:00,Iwate Grulla M.,Ventforet Kofu,3-4-2-1,Yutaka Akita,1551,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746627
21,dom 12/06/2022,06:00,Tokyo Verdy,Iwate Grulla M.,3-4-2-1,Yutaka Akita,3149,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746551
22,sáb 18/06/2022,06:00,Iwate Grulla M.,Tokushima Vort.,3-4-2-1,Yutaka Akita,1869,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746610
23,dom 26/06/2022,06:00,Tochigi SC,Iwate Grulla M.,3-4-2-1,Yutaka Akita,3497,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746746
24,sáb 02/07/2022,06:00,Iwate Grulla M.,Omiya Ardija,3-4-2-1,Yutaka Akita,2891,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746500
25,qua 06/07/2022,06:00,Iwate Grulla M.,FC Ryukyu,3-4-2-1,Yutaka Akita,1044,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746488
26,dom 10/07/2022,06:00,V-V. Nagasaki,Iwate Grulla M.,3-4-2-1,Yutaka Akita,7919,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746712
27,sáb 16/07/2022,06:00,Iwate Grulla M.,Vegalta Sendai,3-4-2-1,Yutaka Akita,3029,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746532
28,sáb 23/07/2022,06:00,Iwate Grulla M.,Machida Zelvia,3-4-2-1,Yutaka Akita,988,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746565
