round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/02/2022,02:00,Yokohama FC,Omiya Ardija,4-3-3 ofensivo,Masahiro Shimoda,4596,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3724345
2,sáb 26/02/2022,01:00,Omiya Ardija,Albirex Niigata,4-3-3 ofensivo,Masahiro Shimoda,7174,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746334
3,sáb 05/03/2022,01:00,Omiya Ardija,Roasso Kumamoto,4-3-3 ofensivo,Masahiro Shimoda,4531,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746323
4,dom 13/03/2022,02:00,Tochigi SC,Omiya Ardija,4-3-3 ofensivo,Masahiro Shimoda,4825,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746450
5,sáb 19/03/2022,01:00,Omiya Ardija,Tokushima Vort.,4-3-3 ofensivo,Masahiro Shimoda,4714,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746390
6,sáb 26/03/2022,01:00,Omiya Ardija,Fagiano Okayama,4-3-3 defensivo,Masahiro Shimoda,3841,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746370
7,qua 30/03/2022,07:00,Machida Zelvia,Omiya Ardija,4-3-3 defensivo,Masahiro Shimoda,2503,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746350
8,dom 03/04/2022,02:00,Reno. Yamaguchi,Omiya Ardija,4-3-3 ofensivo,Masahiro Shimoda,3406,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746408
9,sáb 09/04/2022,02:00,Omiya Ardija,Ventforet Kofu,4-3-3 ofensivo,Masahiro Shimoda,4838,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746379
10,sáb 16/04/2022,02:00,Omiya Ardija,JEF Utd. Chiba,4-3-3 ofensivo,Masahiro Shimoda,5432,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746423
11,sáb 23/04/2022,02:00,Monte. Yamagata,Omiya Ardija,4-3-3 ofensivo,Masahiro Shimoda,4905,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746360
12,qua 27/04/2022,07:00,Omiya Ardija,Thespaku. Gunma,4-4-2 duplo 6,Masahiro Shimoda,4761,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746434
13,dom 01/05/2022,02:00,Zweig. Kanazawa,Omiya Ardija,4-4-2 duplo 6,Masahiro Shimoda,2532,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3746464
