round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 18/02/2023,02:00,Iwaki FC,Fujieda MYFC,3-4-2-1,Daisuke Sudo,4318,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006222
2,sáb 25/02/2023,02:00,Fujieda MYFC,V-V. Nagasaki,3-4-2-1,Daisuke Sudo,2615,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006236
3,sáb 04/03/2023,02:00,Fujieda MYFC,Blaublitz Akita,3-4-2-1,Daisuke Sudo,2020,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006245
4,sáb 11/03/2023,01:00,Ventforet Kofu,Fujieda MYFC,3-4-2-1,Daisuke Sudo,6941,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006255
5,dom 19/03/2023,02:00,Fujieda MYFC,Tokyo Verdy,3-4-2-1,Daisuke Sudo,3235,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006273
6,dom 26/03/2023,01:00,Reno. Yamaguchi,Fujieda MYFC,3-4-2-1,Daisuke Sudo,4039,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006284
7,dom 02/04/2023,02:00,Machida Zelvia,Fujieda MYFC,3-4-2-1,Daisuke Sudo,3571,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006296
8,sáb 08/04/2023,02:00,Fujieda MYFC,Fagiano Okayama,3-4-2-1,Daisuke Sudo,2243,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006306
9,qua 12/04/2023,07:00,Fujieda MYFC,JEF Utd. Chiba,3-4-2-1,Daisuke Sudo,1561,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006316
10,dom 16/04/2023,03:00,Mito HollyHock,Fujieda MYFC,3-4-2-1,Daisuke Sudo,2433,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006330
11,dom 23/04/2023,02:00,Fujieda MYFC,Vegalta Sendai,3-4-2-1,Daisuke Sudo,2816,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006396
12,dom 30/04/2023,02:00,Zweig. Kanazawa,Fujieda MYFC,3-4-2-1,Daisuke Sudo,3480,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006342
13,qua 03/05/2023,02:00,Fujieda MYFC,Oita Trinita,3-4-2-1,Daisuke Sudo,4363,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006369
14,dom 07/05/2023,02:00,Monte. Yamagata,Fujieda MYFC,3-4-2-1,Daisuke Sudo,5390,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006400
15,sáb 13/05/2023,02:00,Shimizu S-Pulse,Fujieda MYFC,3-4-2-1,Daisuke Sudo,14167,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006359
16,qua 17/05/2023,07:00,Fujieda MYFC,Júbilo Iwata,3-4-1-2,Daisuke Sudo,5696,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006383
17,dom 21/05/2023,02:00,Fujieda MYFC,Tokushima Vort.,3-4-2-1,Daisuke Sudo,2353,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006414
18,dom 28/05/2023,02:00,Thespaku. Gunma,Fujieda MYFC,3-4-2-1,Daisuke Sudo,3854,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006645
19,sáb 03/06/2023,05:00,Fujieda MYFC,Tochigi SC,3-4-2-1,Daisuke Sudo,1511,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006347
20,dom 11/06/2023,06:00,Omiya Ardija,Fujieda MYFC,3-4-2-1,Daisuke Sudo,3427,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006516
21,sáb 17/06/2023,02:00,Fujieda MYFC,Roasso Kumamoto,3-4-2-1,Daisuke Sudo,2134,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006453
22,sáb 24/06/2023,02:00,Blaublitz Akita,Fujieda MYFC,3-4-2-1,Daisuke Sudo,3688,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006462
23,sáb 01/07/2023,07:00,Fujieda MYFC,Reno. Yamaguchi,3-4-2-1,Daisuke Sudo,1614,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006491
24,qua 05/07/2023,07:00,Fagiano Okayama,Fujieda MYFC,3-4-2-1,Daisuke Sudo,4254,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006483
25,dom 09/07/2023,06:00,Fujieda MYFC,Ventforet Kofu,3-1-4-2,Daisuke Sudo,3225,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006446
26,dom 16/07/2023,07:00,Júbilo Iwata,Fujieda MYFC,3-4-2-1,Daisuke Sudo,13688,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006605
27,sáb 22/07/2023,07:00,Fujieda MYFC,Zweig. Kanazawa,3-4-2-1,Daisuke Sudo,3557,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006533
28,sáb 29/07/2023,07:00,Vegalta Sendai,Fujieda MYFC,3-4-2-1,Daisuke Sudo,10021,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006569
29,sáb 05/08/2023,07:00,Fujieda MYFC,Monte. Yamagata,3-4-2-1,Daisuke Sudo,3015,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006607
30,sáb 12/08/2023,07:00,Oita Trinita,Fujieda MYFC,3-4-2-1,Daisuke Sudo,11021,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006425
31,sáb 19/08/2023,07:00,JEF Utd. Chiba,Fujieda MYFC,3-4-2-1,Daisuke Sudo,9693,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006580
32,sáb 14/10/2023,05:00,Fujieda MYFC,Thespaku. Gunma,3-4-2-1,Daisuke Sudo,3121,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006558
33,dom 03/09/2023,07:00,Tochigi SC,Fujieda MYFC,3-4-2-1,Daisuke Sudo,3702,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006502
34,dom 10/09/2023,06:00,Roasso Kumamoto,Fujieda MYFC,3-4-2-1,Daisuke Sudo,17805,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006439
35,dom 17/09/2023,06:00,Fujieda MYFC,Machida Zelvia,3-4-2-1,Daisuke Sudo,4566,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006626
36,dom 24/09/2023,04:00,Tokyo Verdy,Fujieda MYFC,3-4-2-1,Daisuke Sudo,7831,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006658
37,sáb 30/09/2023,01:00,Fujieda MYFC,Shimizu S-Pulse,3-4-2-1,Daisuke Sudo,6288,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006675
38,sáb 07/10/2023,05:00,V-V. Nagasaki,Fujieda MYFC,3-4-2-1,Daisuke Sudo,5221,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006588
39,dom 22/10/2023,02:00,Fujieda MYFC,Omiya Ardija,3-4-2-1,Daisuke Sudo,3487,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006471
40,sáb 28/10/2023,02:00,Fujieda MYFC,Mito HollyHock,3-4-2-1,Daisuke Sudo,3203,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006632
41,sáb 04/11/2023,02:00,Tokushima Vort.,Fujieda MYFC,3-4-2-1,Daisuke Sudo,8004,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006544
42,dom 12/11/2023,01:00,Fujieda MYFC,Iwaki FC,3-4-2-1,Daisuke Sudo,3425,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006670
