round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 25/02/2024,02:00,Thespa Gunma,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,4056,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4258604
2,sáb 02/03/2024,03:05,Kagoshima Utd.,Tokushima Vort.,4-2-3-1,Yasuaki Oshima,7034,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277921
3,sáb 09/03/2024,02:00,Iwaki FC,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,3599,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277936
4,sáb 16/03/2024,03:00,Kagoshima Utd.,JEF Utd. Chiba,4-2-3-1,Yasuaki Oshima,6084,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277933
5,qua 20/03/2024,02:00,Oita Trinita,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,11245,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277953
6,dom 24/03/2024,02:00,Kagoshima Utd.,Yokohama FC,4-2-3-1,Yasuaki Oshima,3933,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277964
7,sáb 30/03/2024,02:00,Mito HollyHock,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,2575,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277969
8,qua 03/04/2024,07:00,Kagoshima Utd.,Ventforet Kofu,4-2-3-1,Yasuaki Oshima,3208,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278019
9,dom 07/04/2024,02:00,Monte. Yamagata,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,6448,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277977
10,sáb 13/04/2024,04:00,Ehime FC,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,3216,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278001
11,dom 21/04/2024,02:00,Kagoshima Utd.,Tochigi SC,4-2-3-1,Yasuaki Oshima,4545,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4277995
12,dom 28/04/2024,02:00,Kagoshima Utd.,Reno. Yamaguchi,4-2-3-1,Yasuaki Oshima,7827,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278015
13,sex 03/05/2024,02:00,Roasso Kumamoto,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,11532,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278034
14,seg 06/05/2024,02:00,Kagoshima Utd.,Vegalta Sendai,4-2-3-1,Yasuaki Oshima,4892,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278053
15,sáb 11/05/2024,02:00,Shimizu S-Pulse,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,13863,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278067
16,sáb 18/05/2024,03:00,Kagoshima Utd.,V-V. Nagasaki,4-2-3-1,Yasuaki Oshima,6471,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278042
17,sáb 25/05/2024,02:00,Fujieda MYFC,Kagoshima Utd.,4-2-3-1,Yasuaki Oshima,2465,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278057
18,dom 02/06/2024,02:00,Kagoshima Utd.,Blaublitz Akita,4-2-3-1,Tetsuya Asano,6526,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278114
19,dom 09/06/2024,07:00,Fagiano Okayama,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,5480,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278125
20,sáb 15/06/2024,07:00,Kagoshima Utd.,Monte. Yamagata,4-2-3-1,Tetsuya Asano,5225,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278097
21,sáb 22/06/2024,07:00,Kagoshima Utd.,Oita Trinita,4-2-3-1,Tetsuya Asano,7523,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278083
22,dom 30/06/2024,07:00,JEF Utd. Chiba,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,7709,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278095
23,sáb 06/07/2024,07:00,Reno. Yamaguchi,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,5869,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278173
24,sáb 13/07/2024,07:00,Kagoshima Utd.,Thespa Gunma,4-2-3-1,Tetsuya Asano,5227,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278127
25,sáb 03/08/2024,07:00,Kagoshima Utd.,Fujieda MYFC,4-2-3-1,Tetsuya Asano,7686,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278154
26,dom 11/08/2024,06:00,Blaublitz Akita,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,4058,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278163
27,sáb 17/08/2024,07:00,Vegalta Sendai,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,13603,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278197
28,sáb 24/08/2024,07:00,Kagoshima Utd.,Shimizu S-Pulse,4-2-3-1,Tetsuya Asano,10406,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278180
29,sáb 31/08/2024,06:00,Ventforet Kofu,Kagoshima Utd.,4-4-2 duplo 6,Tetsuya Asano,4792,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278137
30,sáb 07/09/2024,07:00,Kagoshima Utd.,Iwaki FC,4-2-3-1,Tetsuya Asano,7511,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278193
31,dom 15/09/2024,06:00,Kagoshima Utd.,Roasso Kumamoto,4-4-2 duplo 6,Tetsuya Asano,10277,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278215
32,dom 22/09/2024,07:00,Tochigi SC,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,4650,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278222
33,sáb 28/09/2024,06:00,Kagoshima Utd.,Mito HollyHock,4-2-3-1,Tetsuya Asano,6547,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278229
34,dom 06/10/2024,02:00,Yokohama FC,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,6031,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278273
35,sáb 19/10/2024,01:55,Kagoshima Utd.,Ehime FC,4-2-3-1,Tetsuya Asano,5935,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278238
36,dom 27/10/2024,02:00,V-V. Nagasaki,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,17978,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278265
37,dom 03/11/2024,02:00,Tokushima Vort.,Kagoshima Utd.,4-2-3-1,Tetsuya Asano,9423,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278252
38,dom 10/11/2024,02:00,Kagoshima Utd.,Fagiano Okayama,4-2-3-1,Tetsuya Asano,8467,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4278285
