round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 30/07/2011,13:00,RAEC Mons,Standard Liège,?,Dennis van Wijk,8316,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1126212
2,sáb 06/08/2011,15:00,Cercle Brügge,RAEC Mons,?,Dennis van Wijk,5950,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1133376
3,sáb 13/08/2011,15:00,RAEC Mons,St.Truiden,?,Dennis van Wijk,3841,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1133394
4,dom 21/08/2011,13:00,Anderlecht,RAEC Mons,?,Dennis van Wijk,22047,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1133422
5,sáb 27/08/2011,15:00,RAEC Mons,Zulte Waregem,?,Dennis van Wijk,3576,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1133429
6,sáb 10/09/2011,15:00,OH Leuven,RAEC Mons,?,Dennis van Wijk,5672,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1148532
7,sáb 17/09/2011,15:00,RAEC Mons,KV Mechelen,?,Dennis van Wijk,4283,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134217
8,sáb 24/09/2011,15:00,Club Brugge,RAEC Mons,?,Dennis van Wijk,23012,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134229
9,sáb 01/10/2011,15:00,RAEC Mons,KSC Lokeren,?,Dennis van Wijk,4166,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134241
10,sáb 15/10/2011,15:00,RAEC Mons,KV Kortrijk,?,Dennis van Wijk,3929,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134250
11,sáb 22/10/2011,16:00,KRC Genk,RAEC Mons,?,Dennis van Wijk,21405,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134325
12,sáb 29/10/2011,16:00,RAEC Mons,KAA Gent,?,Dennis van Wijk,5691,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134338
13,sáb 05/11/2011,17:00,Beerschot AC,RAEC Mons,?,Dennis van Wijk,7906,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134347
14,sáb 19/11/2011,17:00,RAEC Mons,Lierse SK,?,Dennis van Wijk,3886,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134354
15,sáb 26/11/2011,17:00,KVC Westerlo,RAEC Mons,4-4-2 duplo 6,Dennis van Wijk,3697,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134361
16,sáb 03/12/2011,17:00,St.Truiden,RAEC Mons,4-2-3-1,Dennis van Wijk,8235,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134366
17,sáb 10/12/2011,17:00,RAEC Mons,Cercle Brügge,4-2-3-1,Dennis van Wijk,4484,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134378
18,sáb 17/12/2011,17:00,Zulte Waregem,RAEC Mons,4-2-3-1,Dennis van Wijk,6677,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134383
19,ter 27/12/2011,17:00,RAEC Mons,Anderlecht,4-2-3-1,Dennis van Wijk,8068,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134402
20,sáb 14/01/2012,17:00,KV Mechelen,RAEC Mons,4-2-3-1,Dennis van Wijk,9980,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134392
21,sáb 21/01/2012,17:00,RAEC Mons,OH Leuven,4-2-3-1,Dennis van Wijk,5209,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134409
22,qui 26/01/2012,17:30,Standard Liège,RAEC Mons,4-2-3-1,Dennis van Wijk,26745,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134423
23,dom 29/01/2012,17:30,RAEC Mons,Club Brugge,4-2-3-1,Dennis van Wijk,5497,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134433
24,sáb 04/02/2012,17:00,KSC Lokeren,RAEC Mons,4-2-3-1,Dennis van Wijk,2071,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134441
25,sáb 11/02/2012,17:00,KV Kortrijk,RAEC Mons,4-2-3-1,Dennis van Wijk,5155,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134448
26,sáb 18/02/2012,17:00,RAEC Mons,KRC Genk,4-4-2 duplo 6,Dennis van Wijk,4246,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134484
27,sáb 25/02/2012,17:00,KAA Gent,RAEC Mons,4-2-3-1,Dennis van Wijk,10948,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134553
28,sáb 03/03/2012,16:00,RAEC Mons,Beerschot AC,4-2-3-1,Enzo Scifo,3922,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134566
29,dom 18/03/2012,10:30,Lierse SK,RAEC Mons,4-2-3-1,Enzo Scifo,7597,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134579
30,qua 21/03/2012,16:30,RAEC Mons,KVC Westerlo,4-2-3-1,Enzo Scifo,3680,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1134597
