round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 27/07/2013,15:00,Lierse SK,Zulte Waregem,4-1-3-2,Francky Dury,6523,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2351402
2,sáb 03/08/2013,15:00,Zulte Waregem,KV Kortrijk,4-3-3 ofensivo,Francky Dury,10500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329678
3,dom 11/08/2013,09:30,Club Brugge,Zulte Waregem,4-3-3 defensivo,Francky Dury,24500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329676
4,sáb 17/08/2013,15:00,Zulte Waregem,RAEC Mons,4-3-3 ofensivo,Francky Dury,6630,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329694
5,dom 25/08/2013,13:00,KV Oostende,Zulte Waregem,4-3-3 ofensivo,Francky Dury,5254,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329698
6,dom 01/09/2013,13:00,Zulte Waregem,Anderlecht,4-3-3 defensivo,Francky Dury,9489,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329689
7,dom 15/09/2013,13:00,KRC Genk,Zulte Waregem,4-3-3 defensivo,Francky Dury,22286,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329781
8,dom 22/09/2013,15:30,Zulte Waregem,OH Leuven,4-3-3 defensivo,Francky Dury,6644,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329741
9,sáb 28/09/2013,13:00,KSC Lokeren,Zulte Waregem,4-3-3 defensivo,Francky Dury,7046,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329749
10,dom 06/10/2013,13:00,Zulte Waregem,Standard Liège,4-3-3 defensivo,Francky Dury,9482,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329726
11,sáb 19/10/2013,15:00,Cercle Brügge,Zulte Waregem,4-3-3 defensivo,Francky Dury,10139,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329841
12,dom 27/10/2013,17:30,Zulte Waregem,R Charleroi SC,4-3-3 defensivo,Francky Dury,6969,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329859
13,qua 30/10/2013,17:30,Zulte Waregem,KAA Gent,4-3-3 defensivo,Francky Dury,9034,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329863
14,sáb 02/11/2013,17:00,KV Mechelen,Zulte Waregem,4-3-3 defensivo,Francky Dury,9396,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329858
15,dom 10/11/2013,17:30,Zulte Waregem,Waasland-Beveren,4-3-3 defensivo,Francky Dury,7722,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329850
16,sáb 23/11/2013,17:00,Zulte Waregem,KV Mechelen,4-3-3 defensivo,Francky Dury,7823,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329822
17,dom 01/12/2013,17:30,KV Kortrijk,Zulte Waregem,4-3-3 defensivo,Francky Dury,8655,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329830
18,sáb 07/12/2013,17:00,RAEC Mons,Zulte Waregem,4-3-3 defensivo,Francky Dury,2769,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329782
19,dom 15/12/2013,17:30,Zulte Waregem,Lierse SK,4-3-3 defensivo,Francky Dury,6726,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329817
20,sáb 21/12/2013,17:00,Zulte Waregem,KV Oostende,4-3-3 defensivo,Francky Dury,7851,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329760
21,qui 26/12/2013,15:00,Anderlecht,Zulte Waregem,4-2-3-1,Francky Dury,19982,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329776
22,dom 19/01/2014,15:00,Zulte Waregem,KRC Genk,4-3-3 defensivo,Francky Dury,8565,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329779
23,sáb 25/01/2014,17:00,OH Leuven,Zulte Waregem,4-3-3 defensivo,Francky Dury,8235,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329794
24,dom 02/02/2014,15:00,Zulte Waregem,KSC Lokeren,4-3-3 defensivo,Francky Dury,8075,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329720
25,dom 09/02/2014,11:30,Standard Liège,Zulte Waregem,4-3-3 defensivo,Francky Dury,26782,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329752
26,sáb 15/02/2014,17:00,Zulte Waregem,Cercle Brügge,4-3-3 defensivo,Francky Dury,7769,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329871
27,sáb 22/02/2014,16:00,R Charleroi SC,Zulte Waregem,4-3-3 defensivo,Francky Dury,5711,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329901
28,sáb 01/03/2014,16:00,Waasland-Beveren,Zulte Waregem,4-3-3 defensivo,Francky Dury,6085,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329868
29,sáb 08/03/2014,16:00,Zulte Waregem,Club Brugge,4-3-3 defensivo,Francky Dury,9482,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329869
30,dom 16/03/2014,14:00,KAA Gent,Zulte Waregem,4-3-3 defensivo,Francky Dury,19928,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2329892
