position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Club Brugge,30,21,1,8,64:30,34,64,https://www.transfermarkt.com.br/fc-brugge/spielplan/verein/2282/saison_id/2015
2,KAA Gent,30,17,9,4,56:29,27,60,https://www.transfermarkt.com.br/kaa-gent/spielplan/verein/157/saison_id/2015
3,RSC Anderlecht,30,15,10,5,51:29,22,55,https://www.transfermarkt.com.br/rsc-anderlecht/spielplan/verein/58/saison_id/2015
4,KV Oostende (-2024),30,14,7,9,55:44,11,49,https://www.transfermarkt.com.br/kv-oostende/spielplan/verein/2861/saison_id/2015
5,KRC Genk,30,14,6,10,42:30,12,48,https://www.transfermarkt.com.br/krc-genk/spielplan/verein/1184/saison_id/2015
6,Zulte Waregem,30,12,7,11,51:50,1,43,https://www.transfermarkt.com.br/sv-zulte-waregem/spielplan/verein/3508/saison_id/2015
7,Standard de Liège,30,12,5,13,41:51,-10,41,https://www.transfermarkt.com.br/standard-luttich/spielplan/verein/3057/saison_id/2015
8,R Charleroi SC,30,10,9,11,36:39,-3,39,https://www.transfermarkt.com.br/rsc-charleroi/spielplan/verein/172/saison_id/2015
9,KV Kortrijk,30,10,9,11,31:35,-4,39,https://www.transfermarkt.com.br/kv-kortrijk/spielplan/verein/601/saison_id/2015
10,KV Mechelen,30,10,7,13,48:50,-2,37,https://www.transfermarkt.com.br/kv-mechelen/spielplan/verein/354/saison_id/2015
11,KSC Lokeren (-2020),30,8,10,12,35:40,-5,34,https://www.transfermarkt.com.br/ksc-lokeren/spielplan/verein/498/saison_id/2015
12,KVRS Waasland - SK Beveren,30,9,6,15,40:57,-17,33,https://www.transfermarkt.com.br/waasland-beveren/spielplan/verein/28643/saison_id/2015
13,Royal Mouscron-Péruwelz,30,7,9,14,39:51,-12,30,https://www.transfermarkt.com.br/royal-excel-mouscron/spielplan/verein/29228/saison_id/2015
14,VV St.Truiden,30,8,6,16,28:47,-19,30,https://www.transfermarkt.com.br/vv-st-truiden/spielplan/verein/475/saison_id/2015
15,KVC Westerlo,30,7,9,14,35:59,-24,30,https://www.transfermarkt.com.br/kvc-westerlo/spielplan/verein/968/saison_id/2015
16,Oud-Heverlee Leuven,30,7,8,15,42:53,-11,29,https://www.transfermarkt.com.br/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2015
