round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 30/07/2016,15:30,R Charleroi SC,Waasland-Beveren,4-3-3 defensivo,Felice Mazzù,7466,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2705351
2,sáb 06/08/2016,13:00,Mouscron,R Charleroi SC,4-3-3 defensivo,Felice Mazzù,1500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2705356
3,sáb 13/08/2016,13:00,R Charleroi SC,KAA Gent,4-3-3 defensivo,Felice Mazzù,7832,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2705364
4,sex 19/08/2016,15:30,Standard Liège,R Charleroi SC,4-2-3-1,Felice Mazzù,24150,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732073
5,sex 26/08/2016,15:30,R Charleroi SC,KAS Eupen,4-3-3 defensivo,Felice Mazzù,7268,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732085
6,dom 11/09/2016,13:00,Anderlecht,R Charleroi SC,4-2-3-1,Felice Mazzù,19000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732093
7,sex 16/09/2016,15:30,R Charleroi SC,KV Mechelen,4-4-2 duplo 6,Felice Mazzù,7592,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732105
8,sáb 24/09/2016,15:30,R Charleroi SC,KV Oostende,4-3-3 defensivo,Felice Mazzù,7614,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732112
9,sáb 01/10/2016,13:00,Zulte Waregem,R Charleroi SC,4-3-3 defensivo,Felice Mazzù,9500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732118
10,sex 14/10/2016,15:30,R Charleroi SC,Club Brugge,4-4-2 duplo 6,Felice Mazzù,11616,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732162
11,sáb 22/10/2016,16:30,KVC Westerlo,R Charleroi SC,4-3-3 defensivo,Felice Mazzù,5000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732178
12,qua 26/10/2016,16:30,R Charleroi SC,KRC Genk,4-3-3 defensivo,Felice Mazzù,8196,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732191
13,sáb 29/10/2016,16:30,St.Truiden,R Charleroi SC,4-2-3-1,Felice Mazzù,7083,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732199
14,sex 04/11/2016,17:30,KV Kortrijk,R Charleroi SC,4-4-1-1,Felice Mazzù,6025,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732217
15,dom 20/11/2016,17:00,R Charleroi SC,KSC Lokeren,4-3-3 defensivo,Felice Mazzù,12762,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732225
16,sáb 26/11/2016,15:00,Waasland-Beveren,R Charleroi SC,4-3-3 defensivo,Felice Mazzù,3094,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732131
17,dom 04/12/2016,15:00,R Charleroi SC,Standard Liège,4-3-3 defensivo,Felice Mazzù,14783,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732129
18,sáb 10/12/2016,15:00,KAS Eupen,R Charleroi SC,4-3-3 defensivo,Felice Mazzù,2864,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732136
19,sáb 17/12/2016,17:00,R Charleroi SC,Mouscron,4-4-2 duplo 6,Felice Mazzù,7961,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732151
20,ter 20/12/2016,17:30,KV Mechelen,R Charleroi SC,4-3-3 defensivo,Felice Mazzù,11084,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732158
21,seg 26/12/2016,15:00,R Charleroi SC,Anderlecht,4-4-2 duplo 6,Felice Mazzù,14061,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732176
22,sex 20/01/2017,17:30,KAA Gent,R Charleroi SC,4-4-2 duplo 6,Felice Mazzù,19999,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732209
23,ter 24/01/2017,17:30,KV Oostende,R Charleroi SC,3-5-2 ofensivo,Felice Mazzù,6440,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732232
24,sex 27/01/2017,17:30,R Charleroi SC,Zulte Waregem,3-5-2,Felice Mazzù,8465,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732243
25,dom 05/02/2017,11:30,Club Brugge,R Charleroi SC,3-5-2,Felice Mazzù,26953,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732239
26,sáb 11/02/2017,17:00,R Charleroi SC,KVC Westerlo,3-5-2,Felice Mazzù,8977,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732256
27,dom 19/02/2017,16:00,KRC Genk,R Charleroi SC,3-5-2,Felice Mazzù,17350,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732257
28,sáb 25/02/2017,14:00,R Charleroi SC,St.Truiden,3-5-2,Felice Mazzù,8636,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732268
29,sáb 04/03/2017,16:00,R Charleroi SC,KV Kortrijk,3-5-2,Felice Mazzù,10156,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732284
30,dom 12/03/2017,10:30,KSC Lokeren,R Charleroi SC,3-4-3 plano,Felice Mazzù,7280,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732280
