round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 30/07/2016,15:00,St.Truiden,KSC Lokeren,4-5-1,Ivan Leko,4066,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2705349
2,sáb 06/08/2016,15:30,Standard Liège,St.Truiden,4-2-3-1,Ivan Leko,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2705359
3,sex 12/08/2016,15:30,St.Truiden,Anderlecht,4-2-3-1,Ivan Leko,10039,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2705363
4,sáb 20/08/2016,15:00,Mouscron,St.Truiden,4-3-3 defensivo,Ivan Leko,1500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732075
5,sáb 27/08/2016,15:00,St.Truiden,KV Kortrijk,4-3-3 defensivo,Ivan Leko,4930,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732091
6,sáb 10/09/2016,15:00,KV Mechelen,St.Truiden,4-3-3 defensivo,Ivan Leko,10791,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732089
7,sáb 17/09/2016,15:00,St.Truiden,Waasland-Beveren,4-3-3 defensivo,Ivan Leko,6730,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732107
8,sáb 24/09/2016,15:00,KAA Gent,St.Truiden,4-3-3 defensivo,Ivan Leko,19597,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732111
9,sex 30/09/2016,15:30,KV Oostende,St.Truiden,4-3-3 defensivo,Ivan Leko,6354,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732116
10,sáb 15/10/2016,15:00,St.Truiden,KVC Westerlo,4-4-2 duplo 6,Ivan Leko,6442,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732174
11,dom 23/10/2016,14:00,KRC Genk,St.Truiden,4-2-3-1,Ivan Leko,19434,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732184
12,qua 26/10/2016,16:30,St.Truiden,Zulte Waregem,4-3-3 defensivo,Ivan Leko,5113,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732190
13,sáb 29/10/2016,16:30,St.Truiden,R Charleroi SC,4-2-3-1,Ivan Leko,7083,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732199
14,sáb 05/11/2016,17:00,KAS Eupen,St.Truiden,4-3-3 defensivo,Ivan Leko,2850,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732201
15,sex 18/11/2016,17:30,St.Truiden,Club Brugge,5-3-2,Ivan Leko,8252,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732206
16,sáb 26/11/2016,17:00,KSC Lokeren,St.Truiden,5-3-2,Ivan Leko,6635,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732125
17,sáb 03/12/2016,17:00,St.Truiden,Mouscron,4-2-3-1,Ivan Leko,5061,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732134
18,sáb 10/12/2016,17:00,KV Kortrijk,St.Truiden,5-3-2,Ivan Leko,4830,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732141
19,sáb 17/12/2016,17:30,St.Truiden,KAA Gent,5-3-2,Ivan Leko,7904,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732149
20,ter 20/12/2016,17:30,Waasland-Beveren,St.Truiden,5-3-2,Ivan Leko,4621,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732173
21,ter 27/12/2016,17:30,St.Truiden,Standard Liège,3-5-2,Ivan Leko,9670,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732157
22,dom 22/01/2017,15:00,Anderlecht,St.Truiden,5-3-2,Ivan Leko,19000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732211
23,qua 25/01/2017,17:30,St.Truiden,KV Mechelen,3-5-2,Ivan Leko,4500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732227
24,sáb 28/01/2017,17:00,St.Truiden,KV Oostende,5-3-2,Ivan Leko,6405,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732245
25,dom 05/02/2017,17:00,KVC Westerlo,St.Truiden,5-3-2,Ivan Leko,5000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732253
26,sex 10/02/2017,17:30,St.Truiden,KRC Genk,5-3-2,Ivan Leko,11600,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732255
27,sáb 18/02/2017,17:30,Zulte Waregem,St.Truiden,3-5-2,Ivan Leko,9056,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732261
28,sáb 25/02/2017,14:00,R Charleroi SC,St.Truiden,3-5-2,Ivan Leko,8636,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732268
29,sáb 04/03/2017,16:00,St.Truiden,KAS Eupen,3-5-2,Ivan Leko,5321,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732285
30,dom 12/03/2017,10:30,Club Brugge,St.Truiden,5-3-2,Ivan Leko,26605,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732277
