round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 29/07/2017,13:00,KSC Lokeren,Club Brugge,3-4-3 plano,Ivan Leko,7441,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2864877
2,dom 06/08/2017,15:00,Club Brugge,KAS Eupen,3-4-2-1,Ivan Leko,25723,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2864891
3,sex 11/08/2017,15:30,Zulte Waregem,Club Brugge,3-5-2 plano,Ivan Leko,11204,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2864892
4,dom 20/08/2017,13:00,KV Kortrijk,Club Brugge,3-5-2,Ivan Leko,8813,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2906846
5,dom 27/08/2017,09:30,Club Brugge,Standard Liège,3-5-2 plano,Ivan Leko,27472,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2906853
6,sáb 09/09/2017,13:00,Mouscron,Club Brugge,3-5-2 plano,Ivan Leko,9579,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2906867
7,sex 15/09/2017,15:30,Club Brugge,KV Mechelen,3-5-2,Ivan Leko,26500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2918772
8,dom 24/09/2017,13:00,R Charleroi SC,Club Brugge,3-5-2 plano,Ivan Leko,13879,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2924597
9,dom 01/10/2017,09:30,Club Brugge,KAA Gent,3-5-2 plano,Ivan Leko,26500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2924604
10,dom 15/10/2017,14:00,KV Oostende,Club Brugge,3-5-2 plano,Ivan Leko,8155,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2924613
11,dom 22/10/2017,10:30,Club Brugge,Antuérpia,3-5-2 plano,Ivan Leko,27610,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2933480
12,qua 25/10/2017,16:30,KRC Genk,Club Brugge,3-5-2 plano,Ivan Leko,19130,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2933503
13,dom 29/10/2017,11:30,Club Brugge,St.Truiden,3-5-2 plano,Ivan Leko,26803,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2933512
14,dom 05/11/2017,15:00,Anderlecht,Club Brugge,3-5-2 plano,Ivan Leko,20500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2933531
15,dom 19/11/2017,15:00,Club Brugge,Waasland-Beveren,3-5-2 plano,Ivan Leko,27198,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2933539
16,dom 26/11/2017,17:00,Club Brugge,Zulte Waregem,3-5-2 plano,Ivan Leko,26200,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958575
17,dom 03/12/2017,15:00,KAS Eupen,Club Brugge,3-5-2 plano,Ivan Leko,3476,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958582
18,dom 10/12/2017,11:30,Club Brugge,KSC Lokeren,3-5-2 plano,Ivan Leko,21000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958589
19,dom 17/12/2017,11:30,Club Brugge,Anderlecht,3-5-2 plano,Ivan Leko,27667,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958606
20,qua 20/12/2017,17:30,KV Mechelen,Club Brugge,3-5-2 plano,Ivan Leko,14915,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958612
21,ter 26/12/2017,11:30,Club Brugge,Mouscron,3-5-2 plano,Ivan Leko,27145,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958620
22,dom 21/01/2018,11:30,Antuérpia,Club Brugge,3-5-2 plano,Ivan Leko,12975,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958633
23,qui 25/01/2018,17:30,Club Brugge,KV Oostende,3-5-2 plano,Ivan Leko,26400,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958643
24,dom 28/01/2018,11:30,KAA Gent,Club Brugge,3-5-2 plano,Ivan Leko,19999,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2958649
25,dom 04/02/2018,15:00,Club Brugge,R Charleroi SC,3-5-2 plano,Ivan Leko,26567,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2987586
26,dom 11/02/2018,11:30,Waasland-Beveren,Club Brugge,3-5-2,Ivan Leko,7806,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2987593
27,sáb 17/02/2018,17:30,Club Brugge,KRC Genk,3-5-2 plano,Ivan Leko,27539,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2987600
28,dom 25/02/2018,14:00,Standard Liège,Club Brugge,3-5-2 plano,Ivan Leko,25118,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2987610
29,sáb 03/03/2018,16:00,Club Brugge,KV Kortrijk,3-5-2 plano,Ivan Leko,27445,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2987612
30,dom 11/03/2018,10:30,St.Truiden,Club Brugge,3-5-2 plano,Ivan Leko,10037,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2987637
