round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 28/07/2019,15:00,KAS Eupen,Antuérpia,4-2-3-1,Beñat San José,4000,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3216670
2,dom 04/08/2019,09:30,KAA Gent,KAS Eupen,4-2-3-1,Beñat San José,17780,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3216685
3,sáb 10/08/2019,15:00,KAS Eupen,Waasland-Beveren,4-2-3-1,Beñat San José,2145,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3216699
4,sex 16/08/2019,15:30,Club Brugge,KAS Eupen,4-4-2,Beñat San José,27000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3216736
5,dom 25/08/2019,15:00,Mouscron,KAS Eupen,5-3-2,Beñat San José,3136,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237861
6,sáb 31/08/2019,13:00,KAS Eupen,St.Truiden,4-4-2 duplo 6,Beñat San José,2593,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237905
7,sáb 14/09/2019,15:00,KAS Eupen,Zulte Waregem,4-4-2,Beñat San José,2348,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237921
8,dom 22/09/2019,09:30,Standard Liège,KAS Eupen,4-4-2,Beñat San José,18745,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237942
9,sáb 28/09/2019,15:00,Cercle Brügge,KAS Eupen,4-4-2 duplo 6,Beñat San José,4215,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237984
10,sáb 05/10/2019,13:00,KAS Eupen,KV Mechelen,4-3-3 defensivo,Beñat San José,2693,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237990
11,sáb 19/10/2019,15:00,KV Oostende,KAS Eupen,4-3-3 defensivo,Beñat San José,3449,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3266504
12,sex 25/10/2019,15:30,KAS Eupen,Anderlecht,4-4-2 duplo 6,Beñat San José,5833,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3266610
13,ter 29/10/2019,16:30,KV Kortrijk,KAS Eupen,4-3-1-2,Beñat San José,4962,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3266618
14,sáb 02/11/2019,14:00,KAS Eupen,KRC Genk,4-4-2,Beñat San José,3407,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3274377
15,sáb 09/11/2019,14:00,R Charleroi SC,KAS Eupen,4-4-2 duplo 6,Beñat San José,8021,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3274387
16,sáb 23/11/2019,14:00,KAS Eupen,Standard Liège,3-4-2-1,Beñat San José,7463,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3274393
17,sáb 30/11/2019,16:00,Zulte Waregem,KAS Eupen,3-4-3 plano,Beñat San José,6662,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3274402
18,dom 08/12/2019,16:00,KAS Eupen,KV Oostende,3-5-2,Beñat San José,3500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3274422
19,sáb 14/12/2019,14:00,Antuérpia,KAS Eupen,5-3-2,Beñat San José,10468,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3274427
20,sáb 21/12/2019,16:00,KAS Eupen,KV Kortrijk,3-4-1-2,Beñat San José,2376,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3274433
21,qui 26/12/2019,10:30,KRC Genk,KAS Eupen,3-5-2 plano,Beñat San José,17104,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3299452
22,sáb 18/01/2020,14:00,KAS Eupen,R Charleroi SC,3-4-2-1,Beñat San José,2458,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302900
23,sáb 25/01/2020,16:00,Waasland-Beveren,KAS Eupen,3-4-3 plano,Beñat San José,3033,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302910
24,sáb 01/02/2020,16:00,KAS Eupen,Cercle Brügge,5-4-1 plano,Beñat San José,3327,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302917
25,sáb 08/02/2020,16:00,St.Truiden,KAS Eupen,3-5-2,Beñat San José,4194,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302926
26,sex 14/02/2020,16:30,KAS Eupen,KAA Gent,3-4-2-1,Beñat San José,2337,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302931
27,dom 23/02/2020,14:00,Anderlecht,KAS Eupen,5-3-2,Beñat San José,20000,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302945
28,sáb 29/02/2020,16:00,KAS Eupen,Mouscron,5-3-2,Beñat San José,1670,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302949
29,sáb 07/03/2020,16:00,KV Mechelen,KAS Eupen,3-5-2,Beñat San José,15524,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3302962
