round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 26/08/2001,16:00,Sevilla,Barcelona,?,Joaquín Caparrós,42000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1081902
2,dom 09/09/2001,16:00,Zaragoza,Sevilla,?,Joaquín Caparrós,22000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1081913
3,dom 16/09/2001,13:00,Espanyol,Sevilla,?,Joaquín Caparrós,21000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1081924
4,dom 23/09/2001,14:00,Sevilla,Rayo Vallecano,?,Joaquín Caparrós,35000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1081937
5,dom 30/09/2001,13:00,Osasuna,Sevilla,?,Joaquín Caparrós,16670,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1082059
6,qua 03/10/2001,16:00,Sevilla,Tenerife,?,Joaquín Caparrós,30000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1082072
7,dom 07/10/2001,13:00,Real Sociedad,Sevilla,?,Joaquín Caparrós,21800,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1082080
8,sáb 13/10/2001,16:00,Sevilla,Mallorca,?,Joaquín Caparrós,30000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1082086
9,sáb 20/10/2001,16:45,Deportivo,Sevilla,?,Joaquín Caparrós,26000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1082097
10,dom 28/10/2001,15:00,Sevilla,Valencia,?,Joaquín Caparrós,35000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1082113
11,dom 04/11/2001,14:00,Málaga CF,Sevilla,?,Joaquín Caparrós,23000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1083510
12,sáb 10/11/2001,18:30,Sevilla,Betis,?,Joaquín Caparrós,40000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1083521
13,sáb 17/11/2001,16:30,Real Madrid,Sevilla,?,Joaquín Caparrós,65000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1083541
14,dom 25/11/2001,14:00,Sevilla,Valladolid,?,Joaquín Caparrós,28000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1083555
15,sáb 01/12/2001,15:00,Las Palmas,Sevilla,?,Joaquín Caparrós,15951,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1083569
16,sáb 08/12/2001,18:30,Sevilla,Athletic Club,?,Joaquín Caparrós,30000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089631
17,sáb 15/12/2001,15:00,Alavés,Sevilla,?,Joaquín Caparrós,14756,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089649
18,sáb 22/12/2001,18:00,Sevilla,Celta de Vigo,?,Joaquín Caparrós,27000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089653
19,sáb 05/01/2002,14:00,Villarreal,Sevilla,?,Joaquín Caparrós,9000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089661
20,dom 13/01/2002,14:00,Barcelona,Sevilla,?,Joaquín Caparrós,60000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089677
21,dom 20/01/2002,14:00,Sevilla,Zaragoza,?,Joaquín Caparrós,35000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089699
22,dom 27/01/2002,14:00,Sevilla,Espanyol,?,Joaquín Caparrós,22000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089710
23,sáb 02/02/2002,18:30,Rayo Vallecano,Sevilla,?,Joaquín Caparrós,9000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089715
24,qua 06/02/2002,18:00,Sevilla,Osasuna,?,Joaquín Caparrós,30000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089729
25,dom 10/02/2002,15:00,Tenerife,Sevilla,?,Joaquín Caparrós,22000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089740
26,dom 17/02/2002,13:00,Sevilla,Real Sociedad,?,Joaquín Caparrós,27000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089747
27,dom 24/02/2002,13:00,Mallorca,Sevilla,?,Joaquín Caparrós,15500,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089758
28,sáb 02/03/2002,17:00,Sevilla,Deportivo,?,Joaquín Caparrós,35000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089763
29,dom 10/03/2002,13:00,Valencia,Sevilla,?,Joaquín Caparrós,45000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089779
30,dom 17/03/2002,13:00,Sevilla,Málaga CF,?,Joaquín Caparrós,25000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089788
31,sáb 23/03/2002,17:30,Betis,Sevilla,?,Joaquín Caparrós,50000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089804
32,sáb 30/03/2002,16:00,Sevilla,Real Madrid,?,Joaquín Caparrós,30000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089813
33,dom 07/04/2002,13:00,Valladolid,Sevilla,?,Joaquín Caparrós,15000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089829
34,dom 14/04/2002,13:00,Sevilla,Las Palmas,?,Joaquín Caparrós,30000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089835
35,dom 21/04/2002,13:00,Athletic Club,Sevilla,?,Joaquín Caparrós,32000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089848
36,dom 28/04/2002,13:00,Sevilla,Alavés,?,Joaquín Caparrós,40000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089882
37,dom 05/05/2002,15:00,Celta de Vigo,Sevilla,?,Joaquín Caparrós,28000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089890
38,sáb 11/05/2002,16:00,Sevilla,Villarreal,?,Joaquín Caparrós,40000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1089900
