round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 31/08/2002,15:30,Rac. Santander,Valladolid,?,Pepe Moré,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/987769
2,dom 15/09/2002,15:00,Valladolid,Villarreal,?,Pepe Moré,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998912
3,sáb 21/09/2002,16:30,Deportivo,Valladolid,?,Pepe Moré,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998917
4,sáb 28/09/2002,16:30,Valladolid,Real Madrid,?,Pepe Moré,21000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998927
5,dom 06/10/2002,13:00,Real Sociedad,Valladolid,?,Pepe Moré,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998936
6,dom 20/10/2002,15:30,Valladolid,Barcelona,4-2-3-1,Pepe Moré,15700,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998954
7,dom 27/10/2002,14:00,Sevilla,Valladolid,?,Pepe Moré,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998962
8,sáb 02/11/2002,14:00,Valladolid,Mallorca,?,Pepe Moré,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998966
9,dom 10/11/2002,14:00,Recr. Huelva,Valladolid,?,Pepe Moré,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998983
10,dom 17/11/2002,14:00,Valladolid,Málaga CF,?,Pepe Moré,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000091
11,dom 24/11/2002,14:00,Valencia,Valladolid,5-3-2,Pepe Moré,40000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000102
12,dom 01/12/2002,14:00,Valladolid,Celta de Vigo,?,Pepe Moré,,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000110
13,dom 08/12/2002,17:30,Atlético,Valladolid,?,Pepe Moré,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000125
14,dom 15/12/2002,14:00,Valladolid,Athletic Club,?,Pepe Moré,13500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000132
15,dom 22/12/2002,14:00,Espanyol,Valladolid,?,Pepe Moré,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000142
16,sáb 04/01/2003,15:00,Valladolid,Betis,?,Pepe Moré,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000146
17,dom 12/01/2003,14:00,Osasuna,Valladolid,?,Pepe Moré,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000160
18,dom 19/01/2003,14:00,Rayo Vallecano,Valladolid,?,Pepe Moré,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000171
19,dom 26/01/2003,14:00,Valladolid,Alavés,?,Pepe Moré,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000182
20,dom 02/02/2003,14:00,Valladolid,Rac. Santander,?,Pepe Moré,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000191
21,sáb 08/02/2003,17:15,Villarreal,Valladolid,?,Pepe Moré,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000204
22,sáb 15/02/2003,18:30,Valladolid,Deportivo,?,Pepe Moré,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004563
23,sáb 22/02/2003,15:00,Real Madrid,Valladolid,?,Pepe Moré,62000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004551
24,dom 02/03/2003,13:00,Valladolid,Real Sociedad,?,Pepe Moré,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004381
25,sáb 08/03/2003,17:00,Barcelona,Valladolid,4-2-3-1,Pepe Moré,68138,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004388
26,dom 16/03/2003,13:00,Valladolid,Sevilla,?,Pepe Moré,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004403
27,dom 23/03/2003,13:00,Mallorca,Valladolid,?,Pepe Moré,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004408
28,dom 06/04/2003,13:00,Valladolid,Recr. Huelva,?,Pepe Moré,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004424
29,dom 13/04/2003,13:00,Málaga CF,Valladolid,?,Pepe Moré,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004433
30,sáb 19/04/2003,14:00,Valladolid,Valencia,?,Pepe Moré,10000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004437
31,dom 27/04/2003,13:00,Celta de Vigo,Valladolid,?,Pepe Moré,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004449
32,dom 04/05/2003,13:00,Valladolid,Atlético,?,Pepe Moré,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004461
33,sáb 10/05/2003,15:00,Athletic Club,Valladolid,?,Pepe Moré,36000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004468
34,dom 18/05/2003,13:00,Valladolid,Espanyol,?,Pepe Moré,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004480
35,dom 25/05/2003,14:30,Betis,Valladolid,?,Pepe Moré,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004511
36,dom 01/06/2003,14:00,Valladolid,Osasuna,?,Pepe Moré,,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004525
37,sáb 14/06/2003,14:00,Valladolid,Rayo Vallecano,?,Pepe Moré,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004531
38,sáb 21/06/2003,15:00,Alavés,Valladolid,?,Pepe Moré,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004544
