round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 30/08/2003,14:30,Espanyol,Real Sociedad,5-4-1,Javier Clemente,17800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/494
2,qua 03/09/2003,16:00,Betis,Espanyol,?,Javier Clemente,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/702
3,dom 14/09/2003,14:00,Espanyol,Villarreal,?,Javier Clemente,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/905
4,dom 21/09/2003,12:00,Valladolid,Espanyol,?,Javier Clemente,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1104
5,dom 28/09/2003,12:00,Espanyol,Málaga CF,?,Javier Clemente,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1306
6,dom 05/10/2003,14:00,Real Madrid,Espanyol,5-3-2,Javier Clemente,76300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1501
7,dom 19/10/2003,13:00,Valencia,Espanyol,?,Javier Clemente,45000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1699
8,dom 26/10/2003,14:00,Espanyol,Celta de Vigo,?,Javier Clemente,,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1898
9,qua 29/10/2003,18:00,Rac. Santander,Espanyol,?,Javier Clemente,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2096
10,dom 02/11/2003,14:00,Espanyol,Zaragoza,?,Javier Clemente,,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2293
11,sáb 08/11/2003,16:30,Athletic Club,Espanyol,?,Luis Fernandez,28000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486
12,dom 23/11/2003,14:00,Espanyol,Sevilla,?,Luis Fernandez,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2696
13,dom 30/11/2003,14:00,Albacete,Espanyol,?,Luis Fernandez,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2892
14,qua 03/12/2003,17:00,Espanyol,Osasuna,?,Luis Fernandez,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3087
15,dom 07/12/2003,16:00,Atlético,Espanyol,?,Luis Fernandez,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3277
16,sáb 13/12/2003,16:30,Espanyol,Barcelona,?,Luis Fernandez,30000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3444
17,dom 21/12/2003,14:00,Deportivo,Espanyol,?,Luis Fernandez,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3666
18,dom 04/01/2004,14:00,Espanyol,Mallorca,?,Luis Fernandez,22000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3826
19,dom 11/01/2004,14:00,Real Murcia,Espanyol,?,Luis Fernandez,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3909
20,dom 18/01/2004,14:00,Real Sociedad,Espanyol,?,Luis Fernandez,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4177
21,dom 25/01/2004,14:00,Espanyol,Betis,?,Luis Fernandez,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4369
22,dom 01/02/2004,14:00,Villarreal,Espanyol,?,Luis Fernandez,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4527
23,dom 08/02/2004,14:00,Espanyol,Valladolid,?,Luis Fernandez,21200,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4740
24,dom 15/02/2004,13:00,Málaga CF,Espanyol,?,Luis Fernandez,27825,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4935
25,sáb 21/02/2004,15:30,Espanyol,Real Madrid,?,Luis Fernandez,46750,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5144
26,dom 29/02/2004,13:00,Espanyol,Valencia,5-4-1,Luis Fernandez,11000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5337
27,sáb 06/03/2004,15:30,Celta de Vigo,Espanyol,4-3-3 defensivo,Luis Fernandez,16000,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5516
28,dom 14/03/2004,13:00,Espanyol,Rac. Santander,4-3-3 defensivo,Luis Fernandez,19300,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5741
29,dom 21/03/2004,13:00,Zaragoza,Espanyol,4-3-3 defensivo,Luis Fernandez,30000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5954
30,sáb 27/03/2004,17:30,Espanyol,Athletic Club,?,Luis Fernandez,9950,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6156
31,sáb 03/04/2004,13:00,Sevilla,Espanyol,?,Luis Fernandez,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6365
32,dom 11/04/2004,12:30,Espanyol,Albacete,?,Luis Fernandez,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6582
33,dom 18/04/2004,12:30,Osasuna,Espanyol,?,Luis Fernandez,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6772
34,sáb 24/04/2004,15:00,Espanyol,Atlético,?,Luis Fernandez,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6978
35,dom 02/05/2004,16:30,Barcelona,Espanyol,4-2-3-1,Luis Fernandez,76810,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7189
36,sáb 08/05/2004,19:00,Espanyol,Deportivo,?,Luis Fernandez,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7239
37,sáb 15/05/2004,19:00,Mallorca,Espanyol,?,Luis Fernandez,,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7293
38,dom 23/05/2004,16:00,Espanyol,Real Murcia,?,Luis Fernandez,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7337
