round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 28/08/2004,15:00,Atlético,Málaga CF,4-5-1,Alberto Iturralde,40000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27958
2,dom 12/09/2004,16:30,Albacete,Atlético,4-5-1,César Ferrando,13000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28077
3,dom 19/09/2004,14:30,Atlético,Barcelona,4-2-3-1,César Ferrando,54851,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28186
4,qua 22/09/2004,16:00,Levante,Atlético,4-4-2,César Ferrando,22000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28283
5,sáb 25/09/2004,13:00,Atlético,Villarreal,?,César Ferrando,48100,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28288
6,sáb 02/10/2004,17:00,Real Sociedad,Atlético,?,César Ferrando,20498,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28307
7,dom 17/10/2004,14:00,Atlético,Rac. Santander,4-2-3-1,César Ferrando,48000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28309
8,dom 24/10/2004,14:00,Sevilla,Atlético,?,César Ferrando,45000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28323
9,sáb 30/10/2004,17:00,Valencia,Atlético,?,César Ferrando,41000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28328
10,dom 07/11/2004,18:00,Atlético,Zaragoza,?,César Ferrando,50000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27970
11,dom 14/11/2004,14:00,Mallorca,Atlético,?,César Ferrando,15000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27981
12,dom 21/11/2004,16:00,Atlético,Numância,?,César Ferrando,45000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27990
13,sáb 27/11/2004,19:00,Espanyol,Atlético,?,César Ferrando,17102,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28006
14,dom 05/12/2004,18:00,Atlético,Osasuna,4-4-2,César Ferrando,45000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28009
15,sáb 11/12/2004,19:00,Athletic Club,Atlético,?,César Ferrando,35000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28025
16,dom 19/12/2004,18:00,Atlético,Deportivo,?,César Ferrando,45000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28029
17,ter 21/12/2004,19:00,Betis,Atlético,?,César Ferrando,30000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28041
18,dom 09/01/2005,16:00,Atlético,Real Madrid,4-4-2 duplo 6,César Ferrando,55000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28050
19,sáb 15/01/2005,14:00,Getafe,Atlético,?,César Ferrando,14000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28064
