round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 30/08/2004,16:00,Valencia,Villarreal,4-4-2 duplo 6,Manuel Pellegrini,50000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27967
2,dom 12/09/2004,14:30,Villarreal,Real Sociedad,4-4-2 duplo 6,Manuel Pellegrini,15000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28072
3,dom 19/09/2004,12:30,Rac. Santander,Villarreal,4-5-1,Manuel Pellegrini,12000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28185
4,qua 22/09/2004,16:00,Villarreal,Sevilla,4-5-1,Manuel Pellegrini,15000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28279
5,sáb 25/09/2004,13:00,Atlético,Villarreal,?,Manuel Pellegrini,48100,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28288
6,dom 03/10/2004,12:00,Villarreal,Zaragoza,?,Manuel Pellegrini,14000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28298
7,dom 17/10/2004,12:00,Mallorca,Villarreal,4-2-3-1,Manuel Pellegrini,14000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28313
8,dom 24/10/2004,12:00,Villarreal,Numância,?,Manuel Pellegrini,17000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28318
9,dom 31/10/2004,16:00,Espanyol,Villarreal,?,Manuel Pellegrini,18100,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28336
10,dom 07/11/2004,14:00,Villarreal,Osasuna,?,Manuel Pellegrini,16000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27968
11,sáb 13/11/2004,19:00,Athletic Club,Villarreal,?,Manuel Pellegrini,27000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27985
12,sáb 20/11/2004,17:00,Villarreal,Deportivo,?,Manuel Pellegrini,17000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27988
13,dom 28/11/2004,14:00,Betis,Villarreal,?,Manuel Pellegrini,35000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28000
14,dom 05/12/2004,16:00,Villarreal,Real Madrid,4-4-2 losango,Manuel Pellegrini,21000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28008
15,dom 12/12/2004,14:00,Getafe,Villarreal,?,Manuel Pellegrini,12500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28023
16,dom 19/12/2004,14:00,Villarreal,Málaga CF,?,Manuel Pellegrini,14000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28028
17,qua 22/12/2004,17:00,Albacete,Villarreal,?,Manuel Pellegrini,11000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28042
18,dom 09/01/2005,18:00,Villarreal,Barcelona,4-3-1-2,Manuel Pellegrini,22000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28049
19,dom 16/01/2005,14:00,Levante,Villarreal,?,Manuel Pellegrini,19362,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28063
20,dom 23/01/2005,14:00,Villarreal,Valencia,?,Manuel Pellegrini,21000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28078
21,dom 30/01/2005,14:00,Real Sociedad,Villarreal,?,Manuel Pellegrini,20326,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28096
22,dom 06/02/2005,14:00,Villarreal,Rac. Santander,?,Manuel Pellegrini,20000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28098
23,dom 13/02/2005,14:00,Sevilla,Villarreal,?,Manuel Pellegrini,38000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28114
24,dom 20/02/2005,17:00,Villarreal,Atlético,?,Manuel Pellegrini,20000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28118
25,dom 27/02/2005,13:00,Zaragoza,Villarreal,?,Manuel Pellegrini,30000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28130
