round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 29/08/2004,16:30,Rac. Santander,Barcelona,4-2-3-1,Lucas Alcaraz,17589,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27966
2,dom 12/09/2004,14:30,Levante,Rac. Santander,4-5-1,Lucas Alcaraz,20000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28075
3,dom 19/09/2004,12:30,Rac. Santander,Villarreal,4-4-2,Lucas Alcaraz,12000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28185
4,qua 22/09/2004,16:00,Real Sociedad,Rac. Santander,4-5-1,Lucas Alcaraz,20000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28285
5,dom 26/09/2004,12:30,Valencia,Rac. Santander,4-5-1,Lucas Alcaraz,45000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28291
6,dom 03/10/2004,12:00,Rac. Santander,Sevilla,4-4-2,Lucas Alcaraz,12275,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28306
7,dom 17/10/2004,14:00,Atlético,Rac. Santander,4-5-1,Lucas Alcaraz,48000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28309
8,dom 24/10/2004,12:00,Rac. Santander,Zaragoza,5-3-2,Lucas Alcaraz,12280,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28326
9,dom 31/10/2004,13:00,Mallorca,Rac. Santander,?,Lucas Alcaraz,10000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28332
10,dom 07/11/2004,14:00,Rac. Santander,Numância,?,Lucas Alcaraz,12684,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27976
11,dom 14/11/2004,14:00,Espanyol,Rac. Santander,?,Lucas Alcaraz,19665,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27986
12,dom 21/11/2004,14:00,Rac. Santander,Osasuna,?,Lucas Alcaraz,12756,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/27996
13,sáb 27/11/2004,15:00,Athletic Club,Rac. Santander,?,Lucas Alcaraz,34000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28005
14,dom 05/12/2004,14:00,Rac. Santander,Deportivo,?,Lucas Alcaraz,12000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28016
15,dom 12/12/2004,14:00,Betis,Rac. Santander,?,Lucas Alcaraz,35000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28020
16,sáb 18/12/2004,17:00,Rac. Santander,Real Madrid,5-4-1 plano,Lucas Alcaraz,17783,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28036
17,qua 22/12/2004,17:00,Getafe,Rac. Santander,?,Lucas Alcaraz,11000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28044
18,dom 09/01/2005,14:00,Rac. Santander,Málaga CF,?,Lucas Alcaraz,11800,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28055
19,dom 16/01/2005,14:00,Albacete,Rac. Santander,?,Lucas Alcaraz,15000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28061
20,sáb 22/01/2005,17:00,Barcelona,Rac. Santander,?,Lucas Alcaraz,67043,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28080
21,dom 30/01/2005,14:00,Rac. Santander,Levante,?,Lucas Alcaraz,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28095
22,dom 06/02/2005,14:00,Villarreal,Rac. Santander,?,Lucas Alcaraz,20000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28098
23,dom 13/02/2005,14:00,Rac. Santander,Real Sociedad,?,Nando Yosu,13500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28116
24,dom 20/02/2005,15:00,Rac. Santander,Valencia,3-5-2,Lucas Alcaraz,18000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28126
25,dom 27/02/2005,13:00,Sevilla,Rac. Santander,?,Nando Yosu,35000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28134
26,qua 02/03/2005,16:00,Rac. Santander,Atlético,?,Nando Yosu,14000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28146
27,dom 06/03/2005,13:00,Zaragoza,Rac. Santander,?,Nando Yosu,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28150
28,dom 13/03/2005,13:00,Rac. Santander,Mallorca,?,Nando Yosu,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28166
29,dom 20/03/2005,13:00,Numância,Rac. Santander,?,Nando Yosu,,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28171
30,dom 03/04/2005,12:00,Rac. Santander,Espanyol,?,Nando Yosu,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28196
31,dom 10/04/2005,12:00,Osasuna,Rac. Santander,?,Nando Yosu,17814,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28202
32,dom 17/04/2005,12:00,Rac. Santander,Athletic Club,?,Nando Yosu,14000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28216
33,dom 24/04/2005,12:00,Deportivo,Rac. Santander,?,Nando Yosu,,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28227
34,dom 01/05/2005,12:00,Rac. Santander,Betis,?,Nando Yosu,12000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28236
35,sáb 07/05/2005,15:00,Real Madrid,Rac. Santander,?,Nando Yosu,78000,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28244
36,dom 15/05/2005,12:00,Rac. Santander,Getafe,?,Nando Yosu,12955,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28255
37,dom 22/05/2005,16:00,Málaga CF,Rac. Santander,?,Nando Yosu,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28258
38,dom 29/05/2005,14:00,Rac. Santander,Albacete,?,Nando Yosu,9153,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28275
