round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 27/08/2006,14:00,Deportivo,Zaragoza,?,Joaquín Caparrós,16000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58419
2,dom 10/09/2006,14:00,Mallorca,Deportivo,?,Joaquín Caparrós,16000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58432
3,sáb 16/09/2006,17:00,Deportivo,Villarreal,4-2-3-1,Joaquín Caparrós,34178,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58441
4,dom 24/09/2006,15:00,Levante,Deportivo,,Joaquín Caparrós,13971,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58451
5,dom 01/10/2006,13:00,Deportivo,Real Sociedad,,Joaquín Caparrós,22000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58457
6,dom 15/10/2006,16:00,Betis,Deportivo,,Joaquín Caparrós,35000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58467
7,sáb 21/10/2006,17:00,Deportivo,Atlético,,Joaquín Caparrós,16000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58478
8,dom 29/10/2006,14:00,Getafe,Deportivo,,Joaquín Caparrós,14000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58489
9,sáb 04/11/2006,19:00,Deportivo,Barcelona,5-3-2,Joaquín Caparrós,34711,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58499
10,dom 12/11/2006,15:00,Gimnàstic,Deportivo,?,Joaquín Caparrós,13000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58511
11,dom 19/11/2006,19:00,Deportivo,Celta de Vigo,5-4-1,Joaquín Caparrós,33000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58517
12,dom 26/11/2006,14:00,Osasuna,Deportivo,,Joaquín Caparrós,17000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58533
13,dom 03/12/2006,16:00,Deportivo,Rac. Santander,,Joaquín Caparrós,14000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58538
14,dom 10/12/2006,16:00,Valencia,Deportivo,,Joaquín Caparrós,49000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58555
15,dom 17/12/2006,16:00,Deportivo,Athletic Club,?,Joaquín Caparrós,12000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/58559
