round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 26/08/2007,14:00,Mallorca,Levante,4-4-2 losango,Gregorio Manzano,18000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78787
2,dom 02/09/2007,15:00,Atlético,Mallorca,4-4-2 losango,Gregorio Manzano,40000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78795
3,dom 16/09/2007,12:00,Mallorca,Villarreal,4-4-2 losango,Gregorio Manzano,22000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78807
4,dom 23/09/2007,12:00,UD Almería,Mallorca,4-4-2 losango,Gregorio Manzano,13000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78814
5,qua 26/09/2007,15:00,Mallorca,Valladolid,4-4-2 losango,Gregorio Manzano,16000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78827
6,dom 30/09/2007,12:00,Betis,Mallorca,4-4-2 losango,Gregorio Manzano,34000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78836
7,dom 07/10/2007,12:00,Mallorca,Getafe,4-4-2 losango,Gregorio Manzano,20000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78846
8,dom 21/10/2007,13:00,Recr. Huelva,Mallorca,4-5-1,Gregorio Manzano,18000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78861
9,sáb 27/10/2007,15:00,Mallorca,Espanyol,4-5-1,Gregorio Manzano,18000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78867
10,qua 31/10/2007,17:00,Deportivo,Mallorca,4-4-2 losango,Gregorio Manzano,10000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78877
11,sáb 03/11/2007,17:00,Mallorca,Valencia,4-5-1,Gregorio Manzano,18000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78888
12,dom 11/11/2007,16:00,Real Madrid,Mallorca,4-5-1,Gregorio Manzano,78000,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78899
13,sáb 24/11/2007,17:00,Sevilla,Mallorca,4-5-1,Gregorio Manzano,40000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78911
