round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 26/08/2007,17:00,Real Murcia,Zaragoza,4-4-2 duplo 6,Lucas Alcaraz,21880,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78788
2,sáb 01/09/2007,16:00,Levante,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,12547,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78799
3,dom 16/09/2007,12:00,Real Murcia,Atlético,4-4-2 duplo 6,Lucas Alcaraz,27367,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78808
4,dom 23/09/2007,12:00,Villarreal,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,22000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78822
5,qua 26/09/2007,15:00,Real Murcia,UD Almería,4-4-2 duplo 6,Lucas Alcaraz,24250,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78828
6,dom 30/09/2007,12:00,Valladolid,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,18000,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78841
7,dom 07/10/2007,12:00,Real Murcia,Betis,4-4-2 duplo 6,Lucas Alcaraz,26140,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78847
8,dom 21/10/2007,13:00,Getafe,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,13000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78859
9,dom 28/10/2007,14:00,Real Murcia,Recr. Huelva,4-4-2 duplo 6,Lucas Alcaraz,23390,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78868
10,qui 01/11/2007,19:00,Espanyol,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,11150,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78878
11,dom 04/11/2007,14:00,Real Murcia,Deportivo,4-4-2 duplo 6,Lucas Alcaraz,25000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78889
12,sáb 10/11/2007,19:00,Valencia,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,30000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78901
13,sáb 24/11/2007,19:00,Real Murcia,Real Madrid,4-4-2 duplo 6,Lucas Alcaraz,30900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78908
14,dom 02/12/2007,14:00,Mallorca,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,21000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78919
15,dom 09/12/2007,14:00,Sevilla,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,40000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78931
16,dom 16/12/2007,14:00,Real Murcia,Rac. Santander,4-4-2 duplo 6,Lucas Alcaraz,22950,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78939
17,dom 23/12/2007,18:00,Athletic Club,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,32000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78946
18,dom 06/01/2008,14:00,Real Murcia,Osasuna,4-4-2 duplo 6,Lucas Alcaraz,25000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78958
19,sáb 12/01/2008,17:00,Barcelona,Real Murcia,4-4-2 duplo 6,Lucas Alcaraz,61000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78967
20,dom 20/01/2008,14:00,Zaragoza,Real Murcia,4-5-1,Lucas Alcaraz,32000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78983
21,dom 27/01/2008,14:00,Real Murcia,Levante,4-4-2 losango,Lucas Alcaraz,22750,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78988
22,dom 03/02/2008,14:00,Atlético,Real Murcia,4-4-2 losango,Lucas Alcaraz,35000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/78995
