round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 29/08/2009,17:00,Zaragoza,Tenerife,4-5-1 plano,José Luis Oltra,17000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955787
2,dom 13/09/2009,12:00,Tenerife,Osasuna,4-5-1,José Luis Oltra,18300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955803
3,sáb 19/09/2009,13:00,Mallorca,Tenerife,4-5-1,José Luis Oltra,10000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955812
4,qua 23/09/2009,16:00,Tenerife,Athletic Club,4-5-1,José Luis Oltra,20600,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955831
5,sáb 26/09/2009,13:00,Real Madrid,Tenerife,4-2-3-1,José Luis Oltra,79000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955858
6,sáb 03/10/2009,13:00,Tenerife,Deportivo,4-5-1,José Luis Oltra,19500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955868
7,dom 18/10/2009,13:00,Espanyol,Tenerife,4-5-1,José Luis Oltra,29100,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955877
8,dom 25/10/2009,14:00,Tenerife,Xerez CD,4-5-1,José Luis Oltra,15500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955894
9,dom 01/11/2009,14:00,Villarreal,Tenerife,4-5-1,José Luis Oltra,18000,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955898
10,sáb 07/11/2009,15:00,Tenerife,Málaga CF,4-2-3-1,José Luis Oltra,16800,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/955909
11,sáb 21/11/2009,15:00,Tenerife,Sevilla,4-5-1,José Luis Oltra,20551,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957245
12,dom 29/11/2009,14:00,Valladolid,Tenerife,4-5-1,José Luis Oltra,12700,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957256
13,dom 06/12/2009,14:00,Tenerife,Real Sporting,4-5-1,José Luis Oltra,19281,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957302
14,dom 13/12/2009,14:00,Getafe,Tenerife,4-5-1,José Luis Oltra,11000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957313
15,dom 20/12/2009,16:00,Tenerife,Atlético,4-5-1,José Luis Oltra,21414,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957323
16,dom 03/01/2010,14:00,Rac. Santander,Tenerife,4-5-1,José Luis Oltra,15274,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957334
17,dom 10/01/2010,18:00,Tenerife,Barcelona,4-5-1,José Luis Oltra,22510,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957344
18,dom 17/01/2010,14:00,UD Almería,Tenerife,4-5-1,José Luis Oltra,17732,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957355
19,dom 24/01/2010,14:00,Tenerife,Valencia,4-5-1,José Luis Oltra,21366,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957365
20,dom 31/01/2010,14:00,Tenerife,Zaragoza,4-5-1,José Luis Oltra,19198,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957379
21,dom 07/02/2010,14:00,Osasuna,Tenerife,4-5-1,José Luis Oltra,16786,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957385
22,seg 15/02/2010,18:00,Tenerife,Mallorca,4-5-1,José Luis Oltra,17966,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957394
23,dom 21/02/2010,13:00,Athletic Club,Tenerife,4-5-1,José Luis Oltra,36000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957404
24,sáb 27/02/2010,16:00,Tenerife,Real Madrid,4-4-1-1,José Luis Oltra,22123,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957413
25,sáb 06/03/2010,14:00,Deportivo,Tenerife,4-4-2,José Luis Oltra,12000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957430
26,dom 14/03/2010,13:00,Tenerife,Espanyol,4-5-1,José Luis Oltra,18680,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957439
27,sáb 20/03/2010,14:00,Xerez CD,Tenerife,4-5-1,José Luis Oltra,13668,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957456
28,qua 24/03/2010,16:00,Tenerife,Villarreal,4-5-1,José Luis Oltra,17617,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/957460
