round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 21/01/2012,15:00,Rac. Santander,Getafe,4-4-2 duplo 6,Luis García,10000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125067
2,dom 28/08/2011,13:00,Getafe,Levante,4-1-4-1,Luis García,8000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125241
3,sáb 10/09/2011,15:00,Real Madrid,Getafe,4-1-4-1,Luis García,76000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125250
4,dom 18/09/2011,07:00,Getafe,Rayo Vallecano,4-4-2 losango,Luis García,12000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125260
5,qui 22/09/2011,15:00,Espanyol,Getafe,4-1-4-1,Luis García,21414,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125269
6,seg 26/09/2011,16:00,Getafe,Betis,4-2-3-1,Luis García,10000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125279
7,sáb 01/10/2011,17:00,Málaga CF,Getafe,4-2-3-1,Luis García,27000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125288
8,sáb 15/10/2011,13:00,Getafe,Villarreal,4-2-3-1,Luis García,8000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125301
9,dom 23/10/2011,12:00,Real Sociedad,Getafe,4-2-3-1,Luis García,24000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125307
10,qua 26/10/2011,16:00,Getafe,Osasuna,4-2-3-1,Luis García,8000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125317
11,sáb 29/10/2011,14:00,Valencia,Getafe,4-2-3-1,Luis García,20000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125326
12,dom 06/11/2011,19:00,Getafe,Atlético,4-2-3-1,Luis García,8000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125336
13,dom 20/11/2011,13:00,Real Sporting,Getafe,4-2-3-1,Luis García,22000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125345
14,sáb 26/11/2011,19:00,Getafe,Barcelona,4-2-3-1,Luis García,13000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125355
15,seg 05/12/2011,18:00,Sevilla,Getafe,4-3-3 ofensivo,Luis García,30000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125364
16,dom 11/12/2011,13:00,Getafe,Granada CF,4-2-3-1,Luis García,10500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125374
17,sáb 17/12/2011,15:00,Mallorca,Getafe,4-4-2 duplo 6,Luis García,10000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1125383
