round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 25/08/2014,17:00,Rayo Vallecano,Atlético,4-4-2 duplo 6,Paco Jémez,11070,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475182
2,dom 31/08/2014,16:00,Deportivo,Rayo Vallecano,4-2-3-1,Paco Jémez,18054,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475196
3,dom 14/09/2014,07:00,Rayo Vallecano,Elche,4-2-3-1,Paco Jémez,9521,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475206
4,dom 21/09/2014,12:00,Villarreal,Rayo Vallecano,4-2-3-1,Paco Jémez,15050,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475217
5,qua 24/09/2014,15:00,Rayo Vallecano,Athletic Club,4-2-3-1,Paco Jémez,11040,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475227
6,sáb 27/09/2014,17:00,Levante,Rayo Vallecano,4-2-3-1,Paco Jémez,18000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475238
7,sáb 04/10/2014,13:00,Rayo Vallecano,Barcelona,4-2-3-1,Paco Jémez,14070,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475248
8,sex 17/10/2014,16:00,Granada CF,Rayo Vallecano,4-2-3-1,Paco Jémez,19000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475259
9,dom 26/10/2014,09:00,Málaga CF,Rayo Vallecano,4-2-3-1,Paco Jémez,30044,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475269
10,seg 03/11/2014,17:45,Rayo Vallecano,Eibar,4-2-3-1,Paco Jémez,10625,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475279
11,sáb 08/11/2014,17:00,Real Madrid,Rayo Vallecano,4-2-3-1,Paco Jémez,76842,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475288
12,dom 23/11/2014,09:00,Rayo Vallecano,Celta de Vigo,4-2-3-1,Paco Jémez,7100,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475298
13,seg 01/12/2014,17:45,UD Almería,Rayo Vallecano,4-2-3-1,Paco Jémez,8500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475307
14,dom 07/12/2014,09:00,Rayo Vallecano,Sevilla,4-2-3-1,Paco Jémez,11604,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475317
15,sáb 13/12/2014,15:00,Valencia,Rayo Vallecano,4-2-3-1,Paco Jémez,36800,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2475326
