round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 23/08/2015,13:30,Athletic Club,Barcelona,4-3-3 ofensivo,Luis Enrique,44772,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594471
2,sáb 29/08/2015,15:30,Barcelona,Málaga CF,4-3-3 ofensivo,Luis Enrique,80812,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594484
3,sáb 12/09/2015,15:30,Atlético,Barcelona,4-3-3 ofensivo,Luis Enrique,51691,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594493
4,dom 20/09/2015,15:30,Barcelona,Levante,4-2-3-1,Luis Enrique,74383,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594503
5,qua 23/09/2015,15:00,Celta de Vigo,Barcelona,4-3-3 ofensivo,Luis Enrique,23311,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594512
6,sáb 26/09/2015,11:00,Barcelona,Las Palmas,4-3-3 ofensivo,Luis Enrique,73017,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594522
7,sáb 03/10/2015,11:00,Sevilla,Barcelona,4-3-3 ofensivo,Luis Enrique,39374,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594531
8,sáb 17/10/2015,15:30,Barcelona,Rayo Vallecano,4-3-3 ofensivo,Luis Enrique,73805,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594541
9,dom 25/10/2015,15:15,Barcelona,Eibar,4-3-3 ofensivo,Luis Enrique,76622,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594551
10,sáb 31/10/2015,17:30,Getafe,Barcelona,4-3-3 ofensivo,Luis Enrique,10009,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594561
11,dom 08/11/2015,13:00,Barcelona,Villarreal,4-3-3 ofensivo,Luis Enrique,72585,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594572
12,sáb 21/11/2015,15:15,Real Madrid,Barcelona,4-3-3 ofensivo,Luis Enrique,80148,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594583
13,sáb 28/11/2015,13:00,Barcelona,Real Sociedad,4-3-3 ofensivo,Luis Enrique,74020,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594593
14,sáb 05/12/2015,17:30,Valencia,Barcelona,4-3-3 ofensivo,Luis Enrique,46799,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594604
15,sáb 12/12/2015,13:00,Barcelona,Deportivo,4-3-3 ofensivo,Luis Enrique,65531,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594614
16,qua 17/02/2016,15:30,Real Sporting,Barcelona,4-3-3 ofensivo,Luis Enrique,28140,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594625
17,qua 30/12/2015,17:30,Barcelona,Betis,4-3-3 ofensivo,Luis Enrique,81977,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594635
18,sáb 02/01/2016,13:00,Espanyol,Barcelona,4-3-3 ofensivo,Luis Enrique,24203,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594646
19,sáb 09/01/2016,13:00,Barcelona,Granada CF,4-3-3 ofensivo,Luis Enrique,69091,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594656
20,dom 17/01/2016,17:30,Barcelona,Athletic Club,4-3-3 ofensivo,Luis Enrique,66234,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594661
21,sáb 23/01/2016,13:00,Málaga CF,Barcelona,4-3-3 ofensivo,Luis Enrique,27559,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594674
22,sáb 30/01/2016,13:00,Barcelona,Atlético,4-3-3 ofensivo,Luis Enrique,93011,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594683
23,dom 07/02/2016,09:00,Levante,Barcelona,4-3-3 ofensivo,Luis Enrique,22638,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594693
24,dom 14/02/2016,17:30,Barcelona,Celta de Vigo,4-3-3 ofensivo,Luis Enrique,72580,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594702
25,sáb 20/02/2016,13:00,Las Palmas,Barcelona,4-3-3 ofensivo,Luis Enrique,26951,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594712
26,dom 28/02/2016,16:30,Barcelona,Sevilla,4-3-3 ofensivo,Luis Enrique,77837,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594721
27,qui 03/03/2016,17:00,Rayo Vallecano,Barcelona,4-3-3 ofensivo,Luis Enrique,13775,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594731
28,dom 06/03/2016,12:00,Eibar,Barcelona,4-3-3 ofensivo,Luis Enrique,5941,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594741
29,sáb 12/03/2016,12:00,Barcelona,Getafe,4-3-3 ofensivo,Luis Enrique,85862,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594752
30,dom 20/03/2016,12:00,Villarreal,Barcelona,4-3-3 ofensivo,Luis Enrique,24398,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594762
31,sáb 02/04/2016,15:30,Barcelona,Real Madrid,4-3-3 ofensivo,Luis Enrique,98902,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594773
32,sáb 09/04/2016,15:30,Real Sociedad,Barcelona,4-3-3 ofensivo,Luis Enrique,27895,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594783
33,dom 17/04/2016,15:30,Barcelona,Valencia,4-3-3 ofensivo,Luis Enrique,86903,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594794
34,qua 20/04/2016,15:00,Deportivo,Barcelona,4-3-3 ofensivo,Luis Enrique,28956,0:8,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594804
35,sáb 23/04/2016,15:30,Barcelona,Real Sporting,4-3-3 ofensivo,Luis Enrique,75882,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594815
36,sáb 30/04/2016,15:30,Betis,Barcelona,4-3-3 ofensivo,Luis Enrique,44015,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594825
37,dom 08/05/2016,12:00,Barcelona,Espanyol,4-3-3 ofensivo,Luis Enrique,89453,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594836
38,sáb 14/05/2016,12:00,Granada CF,Barcelona,4-3-3 ofensivo,Luis Enrique,21692,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594846
