round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 20/08/2018,17:00,Athletic Club,Leganés,4-2-3-1,Eduardo Berizzo,38327,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079303
2,seg 27/08/2018,17:00,Athletic Club,SD Huesca,4-1-4-1,Eduardo Berizzo,36818,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079314
3,qua 24/10/2018,14:00,Rayo Vallecano,Athletic Club,4-1-4-1,Eduardo Berizzo,11850,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079329
4,sáb 15/09/2018,15:45,Athletic Club,Real Madrid,4-2-3-1,Eduardo Berizzo,46413,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079370
5,dom 23/09/2018,15:00,Betis,Athletic Club,4-2-3-1,Eduardo Berizzo,51093,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079386
6,qua 26/09/2018,15:00,Athletic Club,Villarreal,4-2-3-1,Eduardo Berizzo,39672,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079391
7,sáb 29/09/2018,11:15,Barcelona,Athletic Club,4-2-3-1,Eduardo Berizzo,78015,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079406
8,sex 05/10/2018,16:00,Athletic Club,Real Sociedad,4-2-3-1,Eduardo Berizzo,46684,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079411
9,dom 21/10/2018,11:15,Eibar,Athletic Club,4-2-3-1,Eduardo Berizzo,6475,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079424
10,sáb 27/10/2018,11:15,Athletic Club,Valencia,4-3-3 ofensivo,Eduardo Berizzo,39261,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079433
11,seg 05/11/2018,18:00,Espanyol,Athletic Club,4-2-3-1,Eduardo Berizzo,14328,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079445
12,sáb 10/11/2018,15:30,Atlético,Athletic Club,4-2-3-1,Eduardo Berizzo,59321,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079458
13,dom 25/11/2018,09:00,Athletic Club,Getafe,4-2-3-1,Eduardo Berizzo,39821,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079462
14,seg 03/12/2018,18:00,Levante,Athletic Club,3-4-1-2,Eduardo Berizzo,19928,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079476
15,seg 10/12/2018,18:00,Athletic Club,Girona,4-2-3-1,Gaizka Garitano,34060,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079485
16,seg 17/12/2018,18:00,Alavés,Athletic Club,4-2-3-1,Gaizka Garitano,19349,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079495
17,sáb 22/12/2018,17:45,Athletic Club,Valladolid,4-2-3-1,Gaizka Garitano,42633,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079505
18,seg 07/01/2019,18:00,Celta de Vigo,Athletic Club,4-2-3-1,Gaizka Garitano,13266,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079519
19,dom 13/01/2019,13:15,Athletic Club,Sevilla,4-2-3-1,Gaizka Garitano,41342,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3079525
20,dom 20/01/2019,13:15,Villarreal,Athletic Club,4-2-3-1,Gaizka Garitano,17054,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080770
21,dom 27/01/2019,15:30,Athletic Club,Betis,4-2-3-1,Gaizka Garitano,40282,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080773
22,sáb 02/02/2019,13:15,Real Sociedad,Athletic Club,4-2-3-1,Gaizka Garitano,27073,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080787
23,dom 10/02/2019,17:45,Athletic Club,Barcelona,4-2-3-1,Gaizka Garitano,47557,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080794
24,seg 18/02/2019,17:00,SD Huesca,Athletic Club,4-2-3-1,Gaizka Garitano,6729,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080806
25,sáb 23/02/2019,16:45,Athletic Club,Eibar,4-2-3-1,Gaizka Garitano,43363,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080813
26,dom 03/03/2019,16:45,Valencia,Athletic Club,4-2-3-1,Gaizka Garitano,39041,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080828
27,sex 08/03/2019,17:00,Athletic Club,Espanyol,4-2-3-1,Gaizka Garitano,38453,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080833
28,sáb 16/03/2019,14:30,Athletic Club,Atlético,4-2-3-1,Gaizka Garitano,39659,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3080842
