round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 17/08/2019,15:00,Mallorca,Eibar,4-4-2 duplo 6,José Luis Mendilibar,15127,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208620
2,sáb 24/08/2019,12:00,Osasuna,Eibar,4-4-2 duplo 6,José Luis Mendilibar,13978,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208647
3,dom 01/09/2019,14:00,Atlético,Eibar,4-2-3-1,José Luis Mendilibar,56664,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208650
4,dom 15/09/2019,07:00,Eibar,Espanyol,4-4-2 duplo 6,José Luis Mendilibar,5410,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208663
5,sáb 21/09/2019,11:00,Levante,Eibar,4-2-3-1,José Luis Mendilibar,18904,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208674
6,qui 26/09/2019,14:00,Eibar,Sevilla,4-2-3-1,José Luis Mendilibar,5434,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208682
7,dom 29/09/2019,09:00,Eibar,Celta de Vigo,4-3-3 ofensivo,José Luis Mendilibar,5453,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208695
8,sex 04/10/2019,16:00,Betis,Eibar,4-3-3 ofensivo,José Luis Mendilibar,47056,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208704
9,sáb 19/10/2019,08:00,Eibar,Barcelona,4-4-2 duplo 6,José Luis Mendilibar,7295,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208716
10,sáb 26/10/2019,13:30,Valladolid,Eibar,4-3-3 ofensivo,José Luis Mendilibar,20036,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208732
11,qui 31/10/2019,15:00,Eibar,Villarreal,4-4-2 duplo 6,José Luis Mendilibar,5583,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208746
12,dom 03/11/2019,14:30,Leganés,Eibar,4-4-2 duplo 6,José Luis Mendilibar,9649,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208755
13,sáb 09/11/2019,14:30,Eibar,Real Madrid,4-4-2 duplo 6,José Luis Mendilibar,6945,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208767
14,dom 24/11/2019,12:00,Eibar,Alavés,4-4-2 duplo 6,José Luis Mendilibar,6315,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3208773
