round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 13/09/2020,09:00,Alavés,Betis,4-2-3-1,Manuel Pellegrini,x,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3431904
2,dom 20/09/2020,13:30,Betis,Valladolid,4-2-3-1,Manuel Pellegrini,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3431915
3,sáb 26/09/2020,16:00,Betis,Real Madrid,4-2-3-1,Manuel Pellegrini,x,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3431927
4,ter 29/09/2020,16:30,Getafe,Betis,4-2-3-1,Manuel Pellegrini,x,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3431937
5,sáb 03/10/2020,16:00,Valencia,Betis,4-2-3-1,Manuel Pellegrini,x,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3441595
6,dom 18/10/2020,16:00,Betis,Real Sociedad,4-2-3-1,Manuel Pellegrini,x,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3450967
7,sáb 24/10/2020,16:00,Atlético,Betis,4-2-3-1,Manuel Pellegrini,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3450970
8,dom 01/11/2020,10:00,Betis,Elche,4-3-3 ofensivo,Manuel Pellegrini,x,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3450986
9,sáb 07/11/2020,12:15,Barcelona,Betis,4-2-3-1,Manuel Pellegrini,x,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3450991
10,seg 23/11/2020,17:00,Athletic Club,Betis,4-1-4-1,Manuel Pellegrini,x,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3451001
11,seg 30/11/2020,17:00,Betis,Eibar,4-2-3-1,Manuel Pellegrini,x,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3451015
12,dom 06/12/2020,12:15,Osasuna,Betis,4-4-1-1,Manuel Pellegrini,x,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3451027
