round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 15/08/2021,15:00,Barcelona,Real Sociedad,4-2-3-1,Imanol Alguacil,20384,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605039
2,dom 22/08/2021,12:00,Real Sociedad,Rayo Vallecano,4-1-4-1,Imanol Alguacil,7652,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605057
3,sáb 28/08/2021,14:30,Real Sociedad,Levante,4-1-4-1,Imanol Alguacil,7758,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605064
4,dom 12/09/2021,13:30,Cádiz CF,Real Sociedad,4-1-4-1,Imanol Alguacil,11826,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605196
5,dom 19/09/2021,11:15,Real Sociedad,Sevilla,4-4-2 duplo 6,Imanol Alguacil,23757,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605210
6,qui 23/09/2021,14:30,Granada CF,Real Sociedad,4-2-3-1,Imanol Alguacil,9552,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605217
7,dom 26/09/2021,13:30,Real Sociedad,Elche,4-2-3-1,Imanol Alguacil,23941,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605282
8,dom 03/10/2021,13:30,Getafe,Real Sociedad,4-2-3-1,Imanol Alguacil,8463,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605297
9,sáb 16/10/2021,16:00,Real Sociedad,Mallorca,4-2-3-1,Imanol Alguacil,30831,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605311
10,dom 24/10/2021,16:00,Atlético,Real Sociedad,5-3-2,Imanol Alguacil,50032,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3605323
11,qui 28/10/2021,14:00,Celta de Vigo,Real Sociedad,4-2-3-1,Imanol Alguacil,8726,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607523
12,dom 31/10/2021,17:00,Real Sociedad,Athletic Club,4-3-3 defensivo,Imanol Alguacil,37066,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607536
13,dom 07/11/2021,14:30,Osasuna,Real Sociedad,4-3-3 ofensivo,Imanol Alguacil,21741,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607547
14,dom 21/11/2021,17:00,Real Sociedad,Valencia,4-2-3-1,Imanol Alguacil,28635,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607557
15,dom 28/11/2021,12:15,Espanyol,Real Sociedad,4-4-2 duplo 6,Imanol Alguacil,19935,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607566
16,sáb 04/12/2021,17:00,Real Sociedad,Real Madrid,4-4-2 duplo 6,Imanol Alguacil,35765,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607577
17,dom 12/12/2021,14:30,Betis,Real Sociedad,4-2-3-1,Imanol Alguacil,52158,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607591
18,sáb 18/12/2021,12:15,Real Sociedad,Villarreal,4-2-3-1,Imanol Alguacil,29679,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607606
19,dom 02/01/2022,14:30,Alavés,Real Sociedad,4-2-3-1,Imanol Alguacil,13498,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607609
20,sáb 08/01/2022,12:15,Real Sociedad,Celta de Vigo,4-3-3 ofensivo,Imanol Alguacil,27938,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3607625
21,qua 02/03/2022,17:00,Mallorca,Real Sociedad,4-2-3-1,Imanol Alguacil,11550,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3610275
22,dom 23/01/2022,14:30,Real Sociedad,Getafe,4-3-3 ofensivo,Imanol Alguacil,27368,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3610296
23,dom 06/02/2022,10:00,Valencia,Real Sociedad,4-3-3 ofensivo,Imanol Alguacil,31351,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3610328
24,dom 13/02/2022,14:30,Real Sociedad,Granada CF,4-2-3-1,Imanol Alguacil,29847,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3610346
25,dom 20/02/2022,17:00,Athletic Club,Real Sociedad,4-2-3-1,Imanol Alguacil,40698,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3610360
