round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 18/08/2024,16:30,Mallorca,Real Madrid,4-3-3 ofensivo,Carlo Ancelotti,23010,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4361547
2,dom 25/08/2024,12:00,Real Madrid,Valladolid,4-2-3-1,Carlo Ancelotti,70178,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4361557
3,qui 29/08/2024,16:30,Las Palmas,Real Madrid,4-3-3 ofensivo,Carlo Ancelotti,31192,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4361567
4,dom 01/09/2024,16:30,Real Madrid,Betis,4-3-3 ofensivo,Carlo Ancelotti,73072,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4364912
5,sáb 14/09/2024,16:00,Real Sociedad,Real Madrid,4-2-3-1,Carlo Ancelotti,37370,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4405327
6,sáb 21/09/2024,16:00,Real Madrid,Espanyol,4-3-3 ofensivo,Carlo Ancelotti,72102,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4405338
7,ter 24/09/2024,16:00,Real Madrid,Alavés,4-3-3 ofensivo,Carlo Ancelotti,67480,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4405348
8,dom 29/09/2024,16:00,Atlético,Real Madrid,4-3-1-2,Carlo Ancelotti,70112,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4405350
9,sáb 05/10/2024,16:00,Real Madrid,Villarreal,4-4-2,Carlo Ancelotti,73842,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4405360
10,sáb 19/10/2024,16:00,Celta de Vigo,Real Madrid,3-4-2-1,Carlo Ancelotti,24445,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4405371
11,sáb 26/10/2024,16:00,Real Madrid,Barcelona,4-4-2,Carlo Ancelotti,78192,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407518
12,sex 03/01/2025,17:00,Valencia,Real Madrid,4-2-3-1,Carlo Ancelotti,46420,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407701
13,sáb 09/11/2024,10:00,Real Madrid,Osasuna,4-3-3 ofensivo,Carlo Ancelotti,72462,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407671
14,dom 24/11/2024,14:30,Leganés,Real Madrid,4-4-2,Carlo Ancelotti,12338,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407648
15,dom 01/12/2024,12:15,Real Madrid,Getafe,4-3-3 ofensivo,Carlo Ancelotti,74341,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407661
16,sáb 07/12/2024,17:00,Girona,Real Madrid,4-2-3-1,Carlo Ancelotti,13827,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407687
17,sáb 14/12/2024,17:00,Rayo Vallecano,Real Madrid,4-2-3-1,Carlo Ancelotti,14168,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407706
18,dom 22/12/2024,12:15,Real Madrid,Sevilla,4-2-3-1,Carlo Ancelotti,75227,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4407678
