round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 31/08/2008,14:00,Córdoba,Hércules CF,5-3-2,Juan Carlos Mandiá,10000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919633
2,sáb 06/09/2008,13:30,Hércules CF,Rayo Vallecano,4-5-1,Juan Carlos Mandiá,7000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919644
3,dom 14/09/2008,13:00,Levante,Hércules CF,4-3-3 ofensivo,Juan Carlos Mandiá,5000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919654
4,dom 21/09/2008,14:00,Hércules CF,Real Sociedad,4-4-2,Juan Carlos Mandiá,13000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919665
5,sáb 27/09/2008,13:30,Las Palmas,Hércules CF,4-3-3 ofensivo,Juan Carlos Mandiá,12113,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919675
6,sáb 04/10/2008,13:30,Hércules CF,Zaragoza,4-3-3 ofensivo,Juan Carlos Mandiá,12000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919695
7,sáb 11/10/2008,13:30,Real Murcia,Hércules CF,5-3-2,Juan Carlos Mandiá,13000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919706
8,dom 19/10/2008,08:00,Hércules CF,Elche,4-4-2,Juan Carlos Mandiá,17000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919707
9,dom 26/10/2008,16:00,Hércules CF,Alavés,5-3-2,Juan Carlos Mandiá,8000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919726
10,dom 02/11/2008,15:00,Sevilha Atl.,Hércules CF,5-3-2,Juan Carlos Mandiá,800,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919737
11,dom 09/11/2008,10:00,Hércules CF,Xerez CD,4-3-3 ofensivo,Juan Carlos Mandiá,8000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919740
12,dom 16/11/2008,14:00,Girona,Hércules CF,4-3-3 ofensivo,Juan Carlos Mandiá,6200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919754
13,sáb 22/11/2008,15:30,Hércules CF,Castellón,4-3-3 ofensivo,Juan Carlos Mandiá,8000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919771
14,dom 30/11/2008,09:00,Gimnàstic,Hércules CF,4-4-2,Juan Carlos Mandiá,5000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919776
15,dom 07/12/2008,15:00,Hércules CF,Eibar,4-4-2,Juan Carlos Mandiá,8000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919787
16,dom 14/12/2008,15:00,Tenerife,Hércules CF,4-3-3 ofensivo,Juan Carlos Mandiá,11600,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919803
17,sáb 20/12/2008,15:30,Hércules CF,SD Huesca,4-4-2,Juan Carlos Mandiá,8000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/919810
18,dom 04/01/2009,09:00,Celta de Vigo,Hércules CF,4-3-3 ofensivo,Juan Carlos Mandiá,6270,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933134
19,sáb 10/01/2009,15:30,Hércules CF,Alicante,4-3-3 ofensivo,Juan Carlos Mandiá,9000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933708
20,sáb 17/01/2009,15:30,Albacete,Hércules CF,4-3-3 ofensivo,Juan Carlos Mandiá,6263,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/934022
21,dom 25/01/2009,09:00,Hércules CF,UD Salamanca,4-4-2,Juan Carlos Mandiá,10000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/934456
22,sáb 31/01/2009,15:30,Hércules CF,Córdoba,4-4-2,Juan Carlos Mandiá,7000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/934803
23,sáb 07/02/2009,15:00,Rayo Vallecano,Hércules CF,4-4-2,Juan Carlos Mandiá,11000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/935681
24,sáb 14/02/2009,15:30,Hércules CF,Levante,4-4-2,Juan Carlos Mandiá,7000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936097
25,dom 22/02/2009,13:00,Real Sociedad,Hércules CF,4-4-2,Juan Carlos Mandiá,17000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936529
26,sáb 28/02/2009,14:30,Hércules CF,Las Palmas,4-4-2,Juan Carlos Mandiá,10000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/937089
27,dom 08/03/2009,13:00,Zaragoza,Hércules CF,4-4-2,Juan Carlos Mandiá,23000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/937815
28,dom 15/03/2009,08:00,Hércules CF,Real Murcia,4-4-2,Juan Carlos Mandiá,15000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/938295
29,dom 22/03/2009,08:00,Elche,Hércules CF,4-3-3 ofensivo,Juan Carlos Mandiá,14614,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939724
30,dom 29/03/2009,15:30,Alavés,Hércules CF,4-5-1,Juan Carlos Mandiá,9328,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/940242
31,dom 05/04/2009,14:00,Hércules CF,Sevilha Atl.,4-4-2,Juan Carlos Mandiá,15000,8:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942274
32,sáb 11/04/2009,13:30,Xerez CD,Hércules CF,4-4-2,Juan Carlos Mandiá,13000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942373
33,dom 19/04/2009,07:00,Hércules CF,Girona,4-3-3 ofensivo,Juan Carlos Mandiá,8000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/943415
34,sáb 25/04/2009,13:30,Castellón,Hércules CF,4-4-2,Juan Carlos Mandiá,5179,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/944178
35,dom 03/05/2009,07:00,Hércules CF,Gimnàstic,4-5-1,Juan Carlos Mandiá,11000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/945212
36,sáb 09/05/2009,13:30,Eibar,Hércules CF,4-4-2,Juan Carlos Mandiá,1442,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/945556
37,sáb 16/05/2009,13:00,Hércules CF,Tenerife,4-4-2,Juan Carlos Mandiá,24000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/946205
38,dom 24/05/2009,13:00,SD Huesca,Hércules CF,4-4-2,Juan Carlos Mandiá,4800,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/946860
39,dom 31/05/2009,07:00,Hércules CF,Celta de Vigo,4-3-3 ofensivo,Juan Carlos Mandiá,17000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/947184
40,sáb 06/06/2009,13:30,Alicante,Hércules CF,4-4-2,Juan Carlos Mandiá,6000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/948663
41,sáb 13/06/2009,13:30,Hércules CF,Albacete,4-4-2,Juan Carlos Mandiá,14000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/948674
42,sáb 20/06/2009,13:30,UD Salamanca,Hércules CF,4-5-1,Juan Carlos Mandiá,3051,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/948686
