round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 18/08/2012,14:00,Girona,CE Sabadell,?,Lluís Carreras,3201,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2250688
2,sáb 25/08/2012,14:00,CE Sabadell,Villarreal,?,Lluís Carreras,3300,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2250699
3,dom 02/09/2012,13:00,Barcelona B,CE Sabadell,?,Lluís Carreras,4535,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243233
4,sáb 08/09/2012,13:00,CE Sabadell,UD Almería,?,Lluís Carreras,2126,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243207
5,sex 14/09/2012,16:00,RM Castilla,CE Sabadell,?,Lluís Carreras,2560,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2250712
6,sáb 22/09/2012,13:00,CE Sabadell,Xerez CD,?,Lluís Carreras,3302,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243241
7,sáb 29/09/2012,15:00,CE Sabadell,CD Guadalajara,?,Lluís Carreras,1630,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243211
8,sáb 06/10/2012,13:00,Ponferradina,CE Sabadell,?,Lluís Carreras,6000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243300
9,dom 14/10/2012,12:00,CE Sabadell,Hércules CF,?,Lluís Carreras,3820,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243346
10,dom 21/10/2012,15:00,Las Palmas,CE Sabadell,?,Lluís Carreras,10040,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243280
11,sáb 27/10/2012,14:00,CE Sabadell,Córdoba,?,Lluís Carreras,3464,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243290
12,dom 04/11/2012,17:00,Real Sporting,CE Sabadell,?,Lluís Carreras,17000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243261
13,sáb 10/11/2012,17:00,CE Sabadell,SD Huesca,?,Lluís Carreras,4937,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243322
14,dom 18/11/2012,09:00,Recr. Huelva,CE Sabadell,?,Lluís Carreras,6500,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243305
15,sáb 24/11/2012,17:00,CE Sabadell,Mirandés,?,Lluís Carreras,3464,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243313
16,dom 02/12/2012,14:00,Numância,CE Sabadell,?,Lluís Carreras,3000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243283
17,sáb 08/12/2012,17:00,CE Sabadell,Real Murcia,?,Lluís Carreras,3148,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243247
18,dom 16/12/2012,09:00,Rac. Santander,CE Sabadell,?,Lluís Carreras,6916,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243268
19,sáb 22/12/2012,15:00,CE Sabadell,Lugo,?,Lluís Carreras,3028,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2250739
20,dom 06/01/2013,14:00,Elche,CE Sabadell,?,Lluís Carreras,18000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243412
21,dom 13/01/2013,14:00,CE Sabadell,AD Alcorcón,?,Lluís Carreras,3118,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243385
22,sáb 19/01/2013,15:00,CE Sabadell,Girona,?,Lluís Carreras,2760,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243398
23,sex 25/01/2013,18:00,Villarreal,CE Sabadell,4-3-3 defensivo,Lluís Carreras,8000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243401
24,sáb 02/02/2013,15:00,CE Sabadell,Barcelona B,?,Lluís Carreras,3825,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243442
25,sex 08/02/2013,18:00,UD Almería,CE Sabadell,?,Lluís Carreras,9720,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243361
26,sáb 16/02/2013,17:00,CE Sabadell,RM Castilla,?,Lluís Carreras,6420,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2250753
27,dom 24/02/2013,17:00,Xerez CD,CE Sabadell,?,Lluís Carreras,4736,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243381
28,dom 03/03/2013,13:00,CD Guadalajara,CE Sabadell,?,Lluís Carreras,2900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243416
29,sáb 09/03/2013,16:00,CE Sabadell,Ponferradina,?,Lluís Carreras,3717,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243403
30,dom 17/03/2013,13:00,Hércules CF,CE Sabadell,?,Lluís Carreras,7500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243458
31,dom 24/03/2013,15:00,CE Sabadell,Las Palmas,?,Lluís Carreras,5241,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243380
32,sáb 30/03/2013,17:00,Córdoba,CE Sabadell,?,Lluís Carreras,7480,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243497
33,dom 07/04/2013,15:00,CE Sabadell,Real Sporting,?,Lluís Carreras,3758,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243486
34,dom 14/04/2013,16:00,SD Huesca,CE Sabadell,?,Lluís Carreras,3000,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243540
35,sex 19/04/2013,16:00,CE Sabadell,Recr. Huelva,?,Lluís Carreras,1500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243517
36,sex 26/04/2013,16:00,Mirandés,CE Sabadell,?,Lluís Carreras,4800,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243500
37,dom 05/05/2013,16:00,CE Sabadell,Numância,?,Lluís Carreras,2525,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243495
38,sáb 11/05/2013,15:00,Real Murcia,CE Sabadell,?,Lluís Carreras,7312,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2243464
