round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 20/08/2016,16:00,Córdoba,Tenerife,4-2-3-1,José Luis Oltra,12456,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2724197
2,dom 28/08/2016,14:00,UCAM Murcia,Córdoba,4-2-3-1,José Luis Oltra,2813,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2735747
3,sex 02/09/2016,16:00,Córdoba,Lugo,4-2-3-1,José Luis Oltra,14517,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732980
4,dom 11/09/2016,13:00,SD Huesca,Córdoba,4-2-3-1,José Luis Oltra,2664,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732988
5,sáb 17/09/2016,13:00,Córdoba,Levante,4-2-3-1,José Luis Oltra,13568,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2732991
6,ter 20/09/2016,15:00,AD Alcorcón,Córdoba,4-4-2 duplo 6,José Luis Oltra,2442,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733188
7,sáb 24/09/2016,13:00,Córdoba,Gimnàstic,4-2-3-1,José Luis Oltra,13615,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733005
8,sáb 01/10/2016,14:30,Zaragoza,Córdoba,4-2-3-1,José Luis Oltra,17100,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733185
9,sáb 08/10/2016,13:00,Numância,Córdoba,4-4-2 duplo 6,José Luis Oltra,3047,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733007
10,dom 16/10/2016,12:00,Córdoba,Sevilha Atl.,4-2-3-1,José Luis Oltra,15192,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733203
11,sáb 22/10/2016,12:00,Elche,Córdoba,4-2-3-1,José Luis Oltra,7053,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733200
12,sáb 29/10/2016,16:00,Córdoba,Valladolid,4-2-3-1,José Luis Oltra,13227,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733015
13,dom 06/11/2016,15:00,UD Almería,Córdoba,4-2-3-1,José Luis Oltra,7964,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733025
14,sex 11/11/2016,17:00,Córdoba,Mallorca,4-2-3-1,José Luis Oltra,11805,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733275
15,dom 20/11/2016,17:00,Mirandés,Córdoba,4-2-3-1,José Luis Oltra,2496,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733268
16,dom 27/11/2016,15:00,Córdoba,Getafe,4-2-3-1,José Luis Oltra,10946,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733298
17,dom 04/12/2016,17:00,Reus Deportiu,Córdoba,4-2-3-1,Luis Carrión,3689,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2735785
18,dom 11/12/2016,13:00,Córdoba,Cádiz CF,4-5-1 plano,Luis Carrión,15600,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2734185
19,sáb 17/12/2016,15:00,Real Oviedo,Córdoba,4-3-3 ofensivo,Luis Carrión,12414,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733057
20,sáb 07/01/2017,17:00,Córdoba,Rayo Vallecano,4-2-3-1,Luis Carrión,12622,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733215
21,dom 15/01/2017,17:00,Girona,Córdoba,4-3-3 ofensivo,Luis Carrión,3826,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733075
22,sáb 21/01/2017,15:00,Tenerife,Córdoba,4-2-3-1,Luis Carrión,11462,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733095
23,dom 29/01/2017,13:00,Córdoba,UCAM Murcia,4-2-3-1,Luis Carrión,10906,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2753239
24,sáb 04/02/2017,15:00,Lugo,Córdoba,4-2-3-1,Luis Carrión,2423,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733097
25,dom 12/02/2017,09:00,Córdoba,SD Huesca,4-2-3-1,Luis Carrión,8522,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733106
26,sáb 18/02/2017,15:00,Levante,Córdoba,5-4-1 plano,Luis Carrión,11940,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733276
27,sáb 25/02/2017,12:00,Córdoba,AD Alcorcón,4-2-3-1,Luis Carrión,11677,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733236
28,dom 05/03/2017,14:00,Gimnàstic,Córdoba,3-5-2,Luis Carrión,9121,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733112
29,sáb 11/03/2017,16:30,Córdoba,Zaragoza,3-5-2,Luis Carrión,11010,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733291
30,sáb 18/03/2017,12:00,Córdoba,Numância,4-4-2 duplo 6,Luis Carrión,11246,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733283
31,dom 26/03/2017,13:00,Sevilha Atl.,Córdoba,4-2-3-1,Luis Carrión,5512,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733250
32,dom 02/04/2017,13:00,Córdoba,Elche,4-2-3-1,Luis Carrión,10176,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733282
33,dom 09/04/2017,07:00,Valladolid,Córdoba,4-2-3-1,Luis Carrión,6690,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733138
34,dom 16/04/2017,13:00,Córdoba,UD Almería,4-2-3-1,Luis Carrión,11286,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733131
35,dom 23/04/2017,11:00,Mallorca,Córdoba,4-2-3-1,Luis Carrión,10869,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733144
36,dom 30/04/2017,13:00,Córdoba,Mirandés,4-2-3-1,Luis Carrión,10348,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733157
