round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 14/08/2023,14:00,Mirandés,AD Alcorcón,4-2-3-1,Fran Fernández,2634,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094220
2,sáb 19/08/2023,17:00,AD Alcorcón,Leganés,4-2-3-1,Fran Fernández,2722,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094227
3,sáb 26/08/2023,16:30,Valladolid,AD Alcorcón,4-4-2,Fran Fernández,16301,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094244
4,sex 01/09/2023,14:30,AD Alcorcón,Racing Ferrol,4-4-2 duplo 6,Fran Fernández,3508,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094254
5,seg 11/09/2023,16:00,Eldense,AD Alcorcón,4-4-2,Fran Fernández,3960,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094269
6,sáb 16/09/2023,13:30,AD Alcorcón,Levante,4-2-3-1,Fran Fernández,3505,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094276
7,sáb 23/09/2023,16:00,AD Alcorcón,SD Huesca,4-2-3-1,Fran Fernández,3302,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094286
8,sáb 30/09/2023,16:00,Villarreal CF B,AD Alcorcón,4-4-2,Fran Fernández,1775,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094305
9,ter 03/10/2023,14:00,AD Alcorcón,Albacete,4-2-3-1,Fran Fernández,3395,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094313
10,dom 08/10/2023,16:00,Zaragoza,AD Alcorcón,5-3-2,Fran Fernández,23574,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094373
11,dom 15/10/2023,11:15,FC Andorra,AD Alcorcón,5-4-1 plano,Fran Fernández,1830,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094387
12,seg 23/10/2023,16:00,AD Alcorcón,FC Cartagena,5-4-1 plano,Fran Fernández,2282,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094392
13,dom 29/10/2023,14:30,Real Oviedo,AD Alcorcón,4-3-3 ofensivo,Fran Fernández,15225,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094462
14,dom 05/11/2023,14:30,AD Alcorcón,Rac. Santander,4-3-3 ofensivo,Fran Fernández,4325,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094468
15,dom 12/11/2023,10:00,Burgos CF,AD Alcorcón,4-2-3-1,Fran Fernández,8753,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094484
16,sáb 18/11/2023,12:15,AD Alcorcón,Real Sporting,4-2-3-1,Fran Fernández,4414,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116560
17,dom 26/11/2023,17:00,Espanyol,AD Alcorcón,4-2-3-1,Fran Fernández,16547,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116576
18,dom 03/12/2023,12:15,AD Alcorcón,Elche,4-4-2,Fran Fernández,3545,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116582
19,seg 11/12/2023,17:00,Tenerife,AD Alcorcón,4-4-2 duplo 6,Mehdi Nafti,13406,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116596
20,dom 17/12/2023,10:00,AD Alcorcón,Eibar,4-4-2 duplo 6,Mehdi Nafti,2782,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116604
21,qui 21/12/2023,17:30,SD Amorebieta,AD Alcorcón,4-4-2,Mehdi Nafti,890,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116619
22,sáb 13/01/2024,10:00,AD Alcorcón,Mirandés,4-2-3-1,Mehdi Nafti,3265,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204507
23,sáb 20/01/2024,10:00,Albacete,AD Alcorcón,4-4-2,Mehdi Nafti,8923,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204518
24,sáb 27/01/2024,12:15,AD Alcorcón,Zaragoza,4-3-3 ofensivo,Mehdi Nafti,3972,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204529
25,sáb 03/02/2024,12:15,SD Huesca,AD Alcorcón,4-2-3-1,Mehdi Nafti,5279,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204545
26,dom 11/02/2024,12:15,AD Alcorcón,FC Andorra,4-2-3-1,Mehdi Nafti,3188,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204551
27,dom 18/02/2024,12:15,Leganés,AD Alcorcón,4-4-2,Mehdi Nafti,10114,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204567
28,dom 25/02/2024,12:15,AD Alcorcón,Tenerife,4-2-3-1,Mehdi Nafti,3382,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204573
