round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 13/08/2023,17:00,Leganés,FC Andorra,4-3-3 ofensivo,Eder Sarabia,5007,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094221
2,sex 18/08/2023,14:00,FC Andorra,FC Cartagena,4-3-3 ofensivo,Eder Sarabia,2520,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094228
3,dom 27/08/2023,14:30,SD Amorebieta,FC Andorra,4-3-3 ofensivo,Eder Sarabia,1015,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094237
4,dom 03/09/2023,09:00,FC Andorra,Tenerife,4-3-3 ofensivo,Eder Sarabia,2010,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094255
5,dom 10/09/2023,13:30,Mirandés,FC Andorra,4-3-3 ofensivo,Eder Sarabia,2818,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094271
6,seg 18/09/2023,16:00,FC Andorra,Real Oviedo,4-3-3 ofensivo,Eder Sarabia,1820,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094278
7,sáb 23/09/2023,09:00,FC Andorra,Real Sporting,4-3-3 ofensivo,Eder Sarabia,2120,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094287
8,sáb 30/09/2023,16:00,Albacete,FC Andorra,4-2-3-1,Eder Sarabia,10458,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094297
9,qui 05/10/2023,14:00,FC Andorra,Zaragoza,4-2-3-1,Eder Sarabia,2521,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094308
10,seg 09/10/2023,14:00,Elche,FC Andorra,4-3-3 ofensivo,Eder Sarabia,15073,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094374
11,dom 15/10/2023,11:15,FC Andorra,AD Alcorcón,4-3-3 ofensivo,Eder Sarabia,1830,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094387
12,dom 22/10/2023,16:00,Valladolid,FC Andorra,4-3-3 ofensivo,Eder Sarabia,14753,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094395
13,sáb 28/10/2023,13:30,FC Andorra,Levante,4-3-3 ofensivo,Eder Sarabia,1730,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094456
14,dom 05/11/2023,10:00,Racing Ferrol,FC Andorra,4-3-3 ofensivo,Eder Sarabia,5318,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094472
15,dom 12/11/2023,12:15,FC Andorra,Eldense,4-3-3 ofensivo,Eder Sarabia,1931,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094478
16,dom 19/11/2023,14:30,Villarreal CF B,FC Andorra,4-3-3 ofensivo,Eder Sarabia,5022,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116565
17,sáb 25/11/2023,12:15,Burgos CF,FC Andorra,4-3-3 ofensivo,Eder Sarabia,8531,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116578
18,dom 03/12/2023,10:00,FC Andorra,SD Huesca,4-3-3 ofensivo,Eder Sarabia,2120,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116584
19,dom 10/12/2023,14:30,Eibar,FC Andorra,4-3-3 ofensivo,Eder Sarabia,5493,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116598
20,sáb 16/12/2023,12:15,FC Andorra,Espanyol,4-3-3 ofensivo,Eder Sarabia,3020,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116606
21,ter 19/12/2023,15:00,Rac. Santander,FC Andorra,4-3-3 ofensivo,Eder Sarabia,12729,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116620
22,dom 14/01/2024,10:00,FC Andorra,Leganés,4-3-3 ofensivo,Eder Sarabia,1531,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204508
23,sáb 20/01/2024,12:15,Zaragoza,FC Andorra,5-3-2,Eder Sarabia,17854,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204523
24,dom 28/01/2024,12:15,FC Andorra,Elche,4-3-3 ofensivo,Eder Sarabia,2398,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204530
25,sáb 03/02/2024,17:00,Tenerife,FC Andorra,4-3-3 ofensivo,Eder Sarabia,14824,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204546
26,dom 11/02/2024,12:15,AD Alcorcón,FC Andorra,4-3-3 ofensivo,Eder Sarabia,3188,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204551
27,sáb 17/02/2024,12:15,FC Andorra,Villarreal CF B,4-3-3 ofensivo,Eder Sarabia,2319,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204563
28,qua 13/03/2024,15:00,Levante,FC Andorra,4-3-3 ofensivo,Eder Sarabia,12015,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204580
29,dom 03/03/2024,10:00,FC Andorra,Valladolid,3-5-2 plano,Eder Sarabia,2014,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204584
30,sex 08/03/2024,16:30,SD Huesca,FC Andorra,3-5-2 plano,Eder Sarabia,4900,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204602
31,seg 18/03/2024,16:30,FC Andorra,SD Amorebieta,3-5-2 plano,Eder Sarabia,2034,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204613
32,sáb 23/03/2024,14:30,FC Cartagena,FC Andorra,4-3-3 ofensivo,Eder Sarabia,9555,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204622
33,sáb 30/03/2024,12:15,FC Andorra,Mirandés,4-2-3-1,Toni Astorgano,2004,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204630
34,sáb 06/04/2024,11:15,Eldense,FC Andorra,4-2-3-1,Ferran Costa,4300,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204647
35,dom 14/04/2024,11:15,FC Andorra,Eibar,4-2-3-1,Ferran Costa,2463,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204652
36,dom 21/04/2024,09:00,Espanyol,FC Andorra,4-2-3-1,Ferran Costa,24644,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204667
37,sex 26/04/2024,15:30,FC Andorra,Rac. Santander,4-2-3-1,Ferran Costa,2065,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204674
38,dom 05/05/2024,11:15,FC Andorra,Albacete,4-3-3 ofensivo,Ferran Costa,2414,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204687
39,sáb 11/05/2024,11:15,Real Sporting,FC Andorra,4-3-3 ofensivo,Ferran Costa,19146,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204701
40,sáb 18/05/2024,09:00,FC Andorra,Burgos CF,4-3-3 ofensivo,Ferran Costa,1210,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204706
41,dom 26/05/2024,13:30,Real Oviedo,FC Andorra,4-3-3 ofensivo,Ferran Costa,26798,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204724
42,dom 02/06/2024,11:15,FC Andorra,Racing Ferrol,4-3-3 ofensivo,Ferran Costa,1120,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204728
