round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 13/08/2023,12:00,Burgos CF,SD Huesca,5-4-1 plano,Cuco Ziganda,7358,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094217
2,seg 21/08/2023,16:30,SD Huesca,Tenerife,5-4-1 plano,Cuco Ziganda,5434,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094231
3,seg 28/08/2023,16:30,Rac. Santander,SD Huesca,4-2-3-1,Cuco Ziganda,13043,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094247
4,dom 03/09/2023,16:00,SD Huesca,Mirandés,4-4-2,Cuco Ziganda,4710,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094258
5,sáb 09/09/2023,16:00,Leganés,SD Huesca,4-2-3-1,Cuco Ziganda,6948,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094274
6,sáb 16/09/2023,11:15,SD Huesca,Villarreal CF B,4-2-3-1,Cuco Ziganda,5025,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094281
7,sáb 23/09/2023,16:00,AD Alcorcón,SD Huesca,4-4-2,Cuco Ziganda,3302,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094286
8,dom 01/10/2023,16:00,SD Huesca,Real Sporting,4-4-2,Cuco Ziganda,4884,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094303
9,qua 04/10/2023,14:00,Real Oviedo,SD Huesca,4-3-3 ofensivo,Cuco Ziganda,12119,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094317
10,sáb 07/10/2023,11:15,SD Huesca,Eldense,4-4-2,Cuco Ziganda,4708,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094377
11,dom 15/10/2023,13:30,Eibar,SD Huesca,5-3-2,Antonio Hidalgo,5438,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094382
12,dom 22/10/2023,11:15,SD Huesca,Elche,5-3-2,Antonio Hidalgo,5363,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094398
13,dom 29/10/2023,12:15,SD Huesca,Albacete,4-2-3-1,Antonio Hidalgo,5021,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094461
14,dom 05/11/2023,12:15,SD Amorebieta,SD Huesca,5-4-1 plano,Antonio Hidalgo,1137,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094469
15,dom 12/11/2023,14:30,SD Huesca,Espanyol,5-3-2,Antonio Hidalgo,7303,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094487
16,sáb 18/11/2023,14:30,Zaragoza,SD Huesca,4-4-2,Antonio Hidalgo,28667,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116569
17,sex 24/11/2023,17:00,SD Huesca,Valladolid,5-4-1 plano,Antonio Hidalgo,5214,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116573
18,dom 03/12/2023,10:00,FC Andorra,SD Huesca,5-4-1 plano,Antonio Hidalgo,2120,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116584
19,dom 10/12/2023,17:00,SD Huesca,Racing Ferrol,4-2-3-1,Antonio Hidalgo,3745,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116601
20,dom 17/12/2023,12:15,Levante,SD Huesca,4-2-3-1,Antonio Hidalgo,13281,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116613
21,qui 21/12/2023,15:00,SD Huesca,FC Cartagena,4-2-3-1,Antonio Hidalgo,5299,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4116622
22,dom 14/01/2024,12:15,Real Sporting,SD Huesca,4-2-3-1,Antonio Hidalgo,19471,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204517
23,dom 21/01/2024,14:30,SD Huesca,Eibar,4-3-3 ofensivo,Antonio Hidalgo,5011,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204526
24,dom 28/01/2024,12:15,Villarreal CF B,SD Huesca,5-4-1 plano,Antonio Hidalgo,2203,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204537
25,sáb 03/02/2024,12:15,SD Huesca,AD Alcorcón,4-4-2,Antonio Hidalgo,5279,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204545
26,sáb 10/02/2024,12:15,Eldense,SD Huesca,4-4-2,Antonio Hidalgo,4005,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204556
27,dom 18/02/2024,14:30,SD Huesca,SD Amorebieta,5-4-1 plano,Antonio Hidalgo,5630,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204568
28,seg 26/02/2024,16:30,Mirandés,SD Huesca,4-2-3-1,Antonio Hidalgo,2079,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204581
29,sáb 02/03/2024,12:15,Espanyol,SD Huesca,5-4-1 plano,Antonio Hidalgo,22472,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204587
30,sex 08/03/2024,16:30,SD Huesca,FC Andorra,5-3-2,Antonio Hidalgo,4900,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204602
31,sáb 16/03/2024,14:30,Tenerife,SD Huesca,4-3-3 ofensivo,Antonio Hidalgo,12898,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204616
32,dom 24/03/2024,12:15,SD Huesca,Burgos CF,4-3-3 ofensivo,Antonio Hidalgo,5997,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204623
33,sáb 30/03/2024,14:30,Albacete,SD Huesca,4-3-3 ofensivo,Antonio Hidalgo,7187,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204628
34,dom 07/04/2024,09:00,SD Huesca,Leganés,4-3-3 ofensivo,Antonio Hidalgo,6228,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204642
35,dom 14/04/2024,16:00,Racing Ferrol,SD Huesca,4-3-3 ofensivo,Antonio Hidalgo,6421,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204654
36,sáb 20/04/2024,16:00,SD Huesca,Zaragoza,4-3-3 ofensivo,Antonio Hidalgo,8181,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204664
37,dom 28/04/2024,13:30,Valladolid,SD Huesca,4-4-2,Antonio Hidalgo,19225,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204682
38,sáb 04/05/2024,11:15,SD Huesca,Real Oviedo,4-2-3-1,Antonio Hidalgo,6607,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204685
39,dom 12/05/2024,16:00,Elche,SD Huesca,5-4-1 plano,Antonio Hidalgo,15370,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204698
40,sáb 18/05/2024,11:15,SD Huesca,Rac. Santander,5-3-2,Antonio Hidalgo,6758,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204709
41,dom 26/05/2024,13:30,FC Cartagena,SD Huesca,5-4-1 plano,Antonio Hidalgo,7924,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204719
42,dom 02/06/2024,11:15,SD Huesca,Levante,5-3-2,Antonio Hidalgo,5034,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4204731
