round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 18/08/2024,12:00,Real Sporting,Levante,4-2-3-1,Rubén Albés,23319,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426821
2,sáb 24/08/2024,12:00,Real Sporting,Eldense,4-3-3 ofensivo,Rubén Albés,20890,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426502
3,sáb 31/08/2024,16:30,UD Almería,Real Sporting,5-4-1 plano,Rubén Albés,12787,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426822
4,sáb 07/09/2024,13:30,Real Sporting,Real Oviedo,4-3-3 ofensivo,Rubén Albés,25706,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426798
5,sáb 14/09/2024,13:30,Rac. Santander,Real Sporting,4-3-3 ofensivo,Rubén Albés,20846,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426509
6,dom 22/09/2024,09:00,Tenerife,Real Sporting,5-4-1 plano,Rubén Albés,15531,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426865
7,sáb 28/09/2024,13:30,Real Sporting,Zaragoza,4-3-3 ofensivo,Rubén Albés,22426,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426882
8,sáb 05/10/2024,11:15,Eibar,Real Sporting,4-3-3 ofensivo,Rubén Albés,5960,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426869
9,seg 14/10/2024,15:30,Real Sporting,Castellón,4-3-3 ofensivo,Rubén Albés,19940,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426840
10,dom 20/10/2024,13:30,Elche,Real Sporting,4-3-3 ofensivo,Rubén Albés,17421,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426848
11,qui 24/10/2024,16:00,Real Sporting,SD Huesca,4-3-3 ofensivo,Rubén Albés,18690,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426896
12,dom 27/10/2024,14:30,Albacete,Real Sporting,4-4-2,Rubén Albés,7305,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426899
13,sáb 02/11/2024,12:15,Real Sporting,Cádiz CF,4-3-3 ofensivo,Rubén Albés,22250,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426918
14,dom 10/11/2024,12:15,Burgos CF,Real Sporting,4-3-3 ofensivo,Rubén Albés,11100,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426922
15,sáb 16/11/2024,17:00,Real Sporting,Granada CF,4-3-3 ofensivo,Rubén Albés,22526,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426951
16,dom 24/11/2024,12:15,Deportivo,Real Sporting,4-3-3 ofensivo,Rubén Albés,25619,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426935
17,dom 01/12/2024,17:00,Real Sporting,Córdoba,4-3-3 ofensivo,Rubén Albés,18746,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426521
18,seg 09/12/2024,16:30,FC Cartagena,Real Sporting,4-3-3 ofensivo,Rubén Albés,5083,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426802
19,dom 15/12/2024,10:00,Real Sporting,Racing Ferrol,4-3-3 ofensivo,Rubén Albés,20079,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426533
20,qua 18/12/2024,17:15,Mirandés,Real Sporting,5-4-1 plano,Rubén Albés,3291,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426540
21,sáb 21/12/2024,14:30,Real Sporting,Málaga CF,5-4-1 plano,Rubén Albés,21146,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426557
22,sáb 11/01/2025,17:00,Real Oviedo,Real Sporting,4-3-3 ofensivo,Rubén Albés,28123,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426562
23,sáb 18/01/2025,14:30,Real Sporting,Elche,4-4-2,Rubén Albés,21372,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426597
24,dom 26/01/2025,10:00,Granada CF,Real Sporting,4-3-3 ofensivo,Rubén Albés,15450,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426573
25,sáb 01/02/2025,12:15,Real Sporting,Burgos CF,5-3-2,Rubén Albés,20308,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426662
26,sáb 08/02/2025,14:30,Real Sporting,Eibar,4-4-2,Rubén Albés,21558,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426654
27,dom 16/02/2025,10:00,Levante,Real Sporting,4-3-3 ofensivo,Rubén Albés,16906,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426583
28,sáb 22/02/2025,17:00,Real Sporting,UD Almería,3-5-2 plano,Rubén Albés,20046,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426632
29,sáb 01/03/2025,14:30,Zaragoza,Real Sporting,3-4-3 plano,Rubén Albés,16864,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426645
30,sáb 08/03/2025,14:30,Real Sporting,Rac. Santander,4-3-3 ofensivo,Rubén Albés,23678,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426623
31,sáb 15/03/2025,17:00,Córdoba,Real Sporting,4-2-3-1,Rubén Albés,16319,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426606
32,dom 23/03/2025,12:15,Real Sporting,Albacete,4-5-1 plano,Rubén Albés,19792,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426672
33,dom 30/03/2025,13:30,SD Huesca,Real Sporting,4-2-3-1,Rubén Albés,6718,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426684
34,sáb 05/04/2025,16:00,Real Sporting,Tenerife,4-3-3 ofensivo,Rubén Albés,19046,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426695
35,dom 13/04/2025,13:30,Eldense,Real Sporting,4-2-3-1,Asier Garitano,5257,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426705
36,sex 18/04/2025,14:00,Real Sporting,Mirandés,4-2-3-1,Asier Garitano,22642,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4426722
