round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 21/08/1998,19:00,FC Porto,Rio Ave,4-2-3-1,Fernando Santos,30000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855168
2,sáb 29/08/1998,17:00,Beira-Mar,FC Porto,4-2-3-1,Fernando Santos,7000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855177
3,sex 11/09/1998,19:00,FC Porto,Farense,?,Fernando Santos,20000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855188
4,sáb 19/09/1998,19:00,Marítimo,FC Porto,4-2-3-1,Fernando Santos,8000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855200
5,sex 25/09/1998,19:00,FC Porto,Vit. Guimarães,4-2-3-1,Fernando Santos,20000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855205
6,dom 04/10/1998,17:00,Alverca,FC Porto,4-3-3 ofensivo,Fernando Santos,5000,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855214
7,sáb 17/10/1998,20:00,FC Porto,Boavista,4-2-3-1,Fernando Santos,20000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855224
8,dom 25/10/1998,21:00,Leiria,FC Porto,?,Fernando Santos,12000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855238
9,sáb 31/10/1998,15:30,FC Porto,Salgueiros,4-3-3 ofensivo,Fernando Santos,20000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855240
10,dom 08/11/1998,21:00,Braga,FC Porto,4-3-3 ofensivo,Fernando Santos,8000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855255
11,sáb 14/11/1998,19:00,Campomaiorense,FC Porto,4-3-3 ofensivo,Fernando Santos,5000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855259
12,sáb 21/11/1998,19:15,FC Porto,Benfica,4-3-3 ofensivo,Fernando Santos,45000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855267
13,dom 29/11/1998,21:00,Vitória FC,FC Porto,?,Fernando Santos,5000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855283
14,sex 04/12/1998,21:00,FC Porto,Chaves,4-3-3 ofensivo,Fernando Santos,15000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855286
15,dom 13/12/1998,21:00,Académica,FC Porto,?,Fernando Santos,7000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855301
16,sáb 19/12/1998,19:30,FC Porto,Sporting,4-3-3 ofensivo,Fernando Santos,40000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855303
17,seg 04/01/1999,19:00,CF Estrela,FC Porto,4-3-3 ofensivo,Fernando Santos,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855317
18,dom 17/01/1999,21:00,Rio Ave,FC Porto,4-2-3-1,Fernando Santos,8000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855328
19,dom 24/01/1999,19:00,FC Porto,Beira-Mar,4-3-3 ofensivo,Fernando Santos,15000,7:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855334
20,sáb 30/01/1999,14:00,Farense,FC Porto,4-3-3 ofensivo,Fernando Santos,5000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855341
21,qui 04/02/1999,21:00,FC Porto,Marítimo,?,Fernando Santos,20000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855347
22,sex 12/02/1999,21:00,Vit. Guimarães,FC Porto,?,Fernando Santos,12000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855357
23,sáb 20/02/1999,20:00,FC Porto,Alverca,?,Fernando Santos,15000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855373
24,sáb 27/02/1999,20:00,Boavista,FC Porto,?,Fernando Santos,8000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855377
25,sex 12/03/1999,20:00,FC Porto,Leiria,4-3-3 ofensivo,Fernando Santos,10000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855384
26,sáb 20/03/1999,18:00,Salgueiros,FC Porto,4-3-3 ofensivo,Fernando Santos,7000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855393
27,sáb 10/04/1999,12:00,FC Porto,Braga,4-3-3 ofensivo,Fernando Santos,26552,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855409
28,dom 18/04/1999,14:00,FC Porto,Campomaiorense,4-3-3 ofensivo,Fernando Santos,24011,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855415
