round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qui 20/08/1998,19:00,Braga,Beira-Mar,?,Vítor Oliveira,5000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855167
2,sáb 29/08/1998,19:00,Farense,Braga,?,Vítor Oliveira,3000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855184
3,sex 11/09/1998,19:00,Braga,Marítimo,?,Vítor Oliveira,5000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855186
4,dom 20/09/1998,19:00,Vit. Guimarães,Braga,?,Vítor Oliveira,5000,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855202
5,sáb 26/09/1998,19:00,Braga,Alverca,?,Vítor Oliveira,5000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855210
6,dom 04/10/1998,19:00,Boavista,Braga,?,Vítor Oliveira,5000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855220
7,sáb 17/10/1998,20:00,Braga,Leiria,?,Vítor Oliveira,8000,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855227
8,dom 25/10/1998,21:00,Salgueiros,Braga,?,Vítor Oliveira,2000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855237
9,sáb 31/10/1998,21:00,Campomaiorense,Braga,?,Carlos Manuel,2000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855243
10,dom 08/11/1998,21:00,Braga,FC Porto,4-3-1-2,Carlos Manuel,8000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855255
11,dom 15/11/1998,19:00,Benfica,Braga,5-4-1 plano,Carlos Manuel,3000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855261
12,sex 20/11/1998,21:00,Braga,Vitória FC,?,Carlos Manuel,7000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855268
13,sáb 28/11/1998,21:00,Chaves,Braga,?,Carlos Manuel,4000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855279
14,dom 06/12/1998,21:00,Braga,Académica,?,Carlos Manuel,6000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855292
15,sáb 12/12/1998,21:00,Sporting,Braga,?,Carlos Manuel,25000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855294
16,sáb 19/12/1998,21:00,Braga,CF Estrela,?,Carlos Manuel,2000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855306
17,sáb 02/01/1999,21:00,Rio Ave,Braga,?,Carlos Manuel,4000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855313
18,sáb 16/01/1999,21:00,Beira-Mar,Braga,?,Carlos Manuel,2000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855325
19,dom 24/01/1999,21:00,Braga,Farense,?,Carlos Manuel,3000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855337
20,sáb 30/01/1999,21:00,Marítimo,Braga,?,Carlos Manuel,5000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855344
21,sex 05/02/1999,21:00,Braga,Vit. Guimarães,?,Carlos Manuel,8000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855349
22,sex 12/02/1999,21:00,Alverca,Braga,?,Carlos Manuel,1000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855358
23,sex 19/02/1999,21:00,Braga,Boavista,4-4-2,Carlos Manuel,5000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855367
24,qui 25/02/1999,20:00,Leiria,Braga,?,Carlos Manuel,1000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855374
25,sáb 13/03/1999,20:00,Braga,Salgueiros,?,Manuel Cajuda,5000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855386
26,sáb 20/03/1999,20:00,Braga,Campomaiorense,?,Manuel Cajuda,3000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855397
27,sáb 10/04/1999,12:00,FC Porto,Braga,4-3-3 ofensivo,Manuel Cajuda,26552,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855409
28,sex 16/04/1999,19:00,Braga,Benfica,?,Manuel Cajuda,10000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855411
29,qui 22/04/1999,19:00,Vitória FC,Braga,?,Manuel Cajuda,2599,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855419
30,sáb 01/05/1999,19:00,Braga,Chaves,?,Manuel Cajuda,5000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855434
31,sex 07/05/1999,19:00,Académica,Braga,?,Manuel Cajuda,1500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855441
32,sex 14/05/1999,19:00,Braga,Sporting,?,Manuel Cajuda,9000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855450
33,sáb 22/05/1999,19:00,CF Estrela,Braga,?,Manuel Cajuda,1000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855461
34,sáb 29/05/1999,19:00,Braga,Rio Ave,?,Manuel Cajuda,4000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855471
