round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 22/08/1998,19:00,Boavista,Vit. Guimarães,?,Zoran Filipovic,7000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855171
2,sáb 29/08/1998,19:00,Vit. Guimarães,Leiria,?,Zoran Filipovic,9000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855179
3,sex 11/09/1998,19:00,Salgueiros,Vit. Guimarães,?,Zoran Filipovic,6000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855187
4,dom 20/09/1998,19:00,Vit. Guimarães,Braga,?,Zoran Filipovic,5000,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855202
5,sex 25/09/1998,19:00,FC Porto,Vit. Guimarães,?,Zoran Filipovic,20000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855205
6,dom 04/10/1998,16:30,Vit. Guimarães,Benfica,4-2-3-1,Zoran Filipovic,10000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855215
7,qui 15/10/1998,20:00,Vitória FC,Vit. Guimarães,?,Zoran Filipovic,4000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855221
8,sáb 24/10/1998,20:00,Vit. Guimarães,Chaves,?,Zoran Filipovic,6000,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855232
9,sáb 31/10/1998,21:00,Académica,Vit. Guimarães,?,Zoran Filipovic,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855246
10,sex 06/11/1998,21:00,Vit. Guimarães,Sporting,?,Zoran Filipovic,7500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855249
11,sex 13/11/1998,21:00,CF Estrela,Vit. Guimarães,?,Zoran Filipovic,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855258
12,qui 19/11/1998,21:00,Vit. Guimarães,Rio Ave,?,Zoran Filipovic,6000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855266
13,sáb 28/11/1998,21:00,Beira-Mar,Vit. Guimarães,?,Zoran Filipovic,2000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855277
14,sáb 05/12/1998,21:00,Vit. Guimarães,Farense,?,Zoran Filipovic,8000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855291
15,sáb 12/12/1998,21:00,Marítimo,Vit. Guimarães,?,Zoran Filipovic,4000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855293
16,sáb 19/12/1998,21:00,Campomaiorense,Vit. Guimarães,?,Zoran Filipovic,500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855310
17,sáb 02/01/1999,21:00,Vit. Guimarães,Alverca,?,Zoran Filipovic,3000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855314
18,sáb 16/01/1999,21:00,Vit. Guimarães,Boavista,?,Quinito,7000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855323
19,qui 21/01/1999,21:00,Leiria,Vit. Guimarães,?,Quinito,2000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855329
20,dom 31/01/1999,21:00,Vit. Guimarães,Salgueiros,?,Quinito,5000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855346
21,sex 05/02/1999,21:00,Braga,Vit. Guimarães,?,Quinito,8000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855349
22,sex 12/02/1999,21:00,Vit. Guimarães,FC Porto,?,Quinito,12000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855357
23,sáb 20/02/1999,20:00,Benfica,Vit. Guimarães,?,Quinito,25000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855368
24,dom 28/02/1999,20:00,Vit. Guimarães,Vitória FC,?,Quinito,7000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855382
25,sex 12/03/1999,20:00,Chaves,Vit. Guimarães,?,Quinito,3000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855385
26,sáb 20/03/1999,20:00,Vit. Guimarães,Académica,?,Quinito,6000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855399
27,sex 02/04/1999,19:00,Sporting,Vit. Guimarães,?,Quinito,10000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855402
28,sex 16/04/1999,19:00,Vit. Guimarães,CF Estrela,?,Quinito,5000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855413
29,dom 25/04/1999,19:00,Rio Ave,Vit. Guimarães,?,Quinito,3000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2855427
